[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 文化传媒 | 002027 | 分众传媒 | 850.6 |  22.9  | -1.5 |  -2.8   |  -2.2   |
| 文化传媒 | 300413 | 芒果超媒 | 564.6 |  27.8  | -4.6 |  -4.5   |  -2.0   |
| 文化传媒 | 002739 | 万达电影 | 256.3 | 142.4  | -4.1 |  -7.1   |  -4.9   |
| 文化传媒 | 300251 | 光线传媒 | 238.5 |  79.9  | -4.5 |  -4.3   |  -2.8   |
| 文化传媒 | 600637 | 东方明珠 | 227.7 |  31.7  | -2.2 |  -3.6   |  -2.6   |
| 文化传媒 | 600977 | 中国电影 | 202.6 |  43.7  | -3.7 |  -8.0   |  -5.3   |
| 文化传媒 | 601921 | 浙版传媒 | 163.3 |  32.8  | -3.8 |  -4.5   |  -4.4   |
| 文化传媒 | 601928 | 凤凰传媒 | 160.6 |  8.5   | -3.4 |  -5.5   |  -5.5   |
| 文化传媒 | 601098 | 中南传媒 | 158.4 |  14.7  | -2.1 |  -1.8   |  -1.9   |
| 文化传媒 | 600959 | 江苏有线 | 154.0 |  41.9  | -2.8 |  -4.6   |  -4.9   |
| 文化传媒 | 300058 | 蓝色光标 | 139.7 | 106.9  | -5.7 |  -6.5   |  -3.4   |
| 文化传媒 | 600556 |  天下秀  | 134.7 |  36.1  | -5.1 |  -4.7   |  -2.5   |
| 文化传媒 | 300182 | 捷成股份 | 133.9 |  11.6  | -4.6 |  -7.3   |  -1.9   |
| 文化传媒 | 000156 | 华数传媒 | 131.6 |  16.2  | -4.4 |  -5.8   |  -5.3   |
| 文化传媒 | 600373 | 中文传媒 | 121.8 |  7.9   | -3.0 |  -3.2   |  -3.8   |
| 文化传媒 | 601019 | 山东出版 | 120.8 |  14.2  | -2.7 |  -4.5   |  -3.5   |
