[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 旅游酒店 | 601888 | 中国中免 | 4027.0 |  51.1   | -2.6 |  -6.2   |  -6.1   |
| 旅游酒店 | 600754 | 锦江酒店 | 672.5  | -140.1  | -0.2 |  -1.9   |  -1.6   |
| 旅游酒店 | 300144 | 宋城演艺 | 331.8  | -215.0  | -1.9 |  -5.4   |  -6.1   |
| 旅游酒店 | 600258 | 首旅酒店 | 234.5  |  -25.2  | -1.6 |  -4.9   |  -3.2   |
| 旅游酒店 | 600138 |  中青旅  |  75.4  |  -16.8  | -4.0 |  -7.3   |  -6.5   |
| 旅游酒店 | 301073 | 君亭酒店 |  73.3  |  466.9  | -5.0 |  -9.7   |  -3.0   |
| 旅游酒店 | 600054 | 黄山旅游 |  72.5  |  -21.6  | -3.3 |  -6.2   |  -7.1   |
| 旅游酒店 | 002059 | 云南旅游 |  67.1  | -181.4  | -6.1 |  -8.0   |  -7.4   |
| 旅游酒店 | 000524 | 岭南控股 |  60.3  |  -19.9  | -3.4 |  -7.4   |  -6.2   |
| 旅游酒店 | 002707 | 众信旅游 |  54.0  |  -23.7  | -5.8 |  -10.5  |  -9.4   |
| 旅游酒店 | 605108 |  同庆楼  |  49.0  |  53.7   | -5.9 |  -11.0  |  -7.6   |
| 旅游酒店 | 002033 | 丽江股份 |  44.8  |  -39.6  | -6.3 |  -11.9  |  -9.4   |
| 旅游酒店 | 300859 | 西域旅游 |  44.4  |  -63.2  | -6.4 |  -14.3  |  -13.1  |
| 旅游酒店 | 603136 |  天目湖  |  41.5  |  -48.2  | -0.4 |  -5.2   |  -8.8   |
| 旅游酒店 | 000796 |  ST凯撒  |  40.5  |  -16.1  | -4.9 |  -9.0   |  -5.8   |
| 旅游酒店 | 000428 | 华天酒店 |  39.7  |  -29.9  | -6.7 |  -9.9   |  -9.9   |
| 旅游酒店 | 000888 | 峨眉山Ａ  |  36.9  |  208.5  | -5.0 |  -9.0   |  -8.8   |
| 旅游酒店 | 601007 | 金陵饭店 |  31.1  |  -83.8  | -3.2 |  -6.2   |  -6.0   |
| 旅游酒店 | 000978 | 桂林旅游 |  28.0  |  -9.8   | -4.5 |  -7.0   |  -6.3   |
| 旅游酒店 | 002306 | 中科云网 |  27.2  | -1090.0 | -4.4 |  -3.3   |   4.5   |
| 旅游酒店 | 600749 | 西藏旅游 |  24.9  |  -27.6  | -6.6 |  -10.2  |  -10.8  |
| 旅游酒店 | 000430 |  张家界  |  24.4  |  -9.8   | -5.3 |  -7.4   |  -6.8   |
| 旅游酒店 | 603199 | 九华旅游 |  24.1  |  -36.6  | -4.5 |  -8.0   |  -8.1   |
| 旅游酒店 | 002186 |  全聚德  |  24.0  |  -12.7  | -4.3 |  -6.1   |  -4.5   |
| 旅游酒店 | 000721 | 西安饮食 |  23.6  |  -11.7  | -5.5 |  -9.7   |  -7.6   |
| 旅游酒店 | 600706 | 曲江文旅 |  23.2  |  -11.5  | -8.5 |  -11.0  |  -11.5  |
| 旅游酒店 | 603099 |  长白山  |  21.1  |  -15.3  | -4.6 |  -7.5   |  -4.0   |
| 旅游酒店 | 300756 | 金马游乐 |  20.1  |  173.4  | -4.6 |  -5.3   |  -4.5   |
| 旅游酒店 | 000610 | 西安旅游 |  20.1  |  -14.8  | -5.9 |  -9.1   |  -7.3   |
| 旅游酒店 | 002159 | 三特索道 |  19.0  |  -21.8  | -3.8 |  -3.6   |  -0.8   |
| 旅游酒店 | 600593 | 大连圣亚 |  17.5  |  -14.6  | -6.3 |  -8.7   |   0.7   |
+----------+--------+----------+--------+---------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 旅游酒店 | 600754 | 锦江酒店 | 672.5  | -140.1  | -0.2 |  -1.9   |  -1.6   |
| 旅游酒店 | 603136 |  天目湖  |  41.5  |  -48.2  | -0.4 |  -5.2   |  -8.8   |
| 旅游酒店 | 600258 | 首旅酒店 | 234.5  |  -25.2  | -1.6 |  -4.9   |  -3.2   |
| 旅游酒店 | 300144 | 宋城演艺 | 331.8  | -215.0  | -1.9 |  -5.4   |  -6.1   |
| 旅游酒店 | 601888 | 中国中免 | 4027.0 |  51.1   | -2.6 |  -6.2   |  -6.1   |
| 旅游酒店 | 601007 | 金陵饭店 |  31.1  |  -83.8  | -3.2 |  -6.2   |  -6.0   |
| 旅游酒店 | 600054 | 黄山旅游 |  72.5  |  -21.6  | -3.3 |  -6.2   |  -7.1   |
| 旅游酒店 | 000524 | 岭南控股 |  60.3  |  -19.9  | -3.4 |  -7.4   |  -6.2   |
| 旅游酒店 | 002159 | 三特索道 |  19.0  |  -21.8  | -3.8 |  -3.6   |  -0.8   |
| 旅游酒店 | 600138 |  中青旅  |  75.4  |  -16.8  | -4.0 |  -7.3   |  -6.5   |
| 旅游酒店 | 002186 |  全聚德  |  24.0  |  -12.7  | -4.3 |  -6.1   |  -4.5   |
| 旅游酒店 | 002306 | 中科云网 |  27.2  | -1090.0 | -4.4 |  -3.3   |   4.5   |
| 旅游酒店 | 000978 | 桂林旅游 |  28.0  |  -9.8   | -4.5 |  -7.0   |  -6.3   |
| 旅游酒店 | 603199 | 九华旅游 |  24.1  |  -36.6  | -4.5 |  -8.0   |  -8.1   |
| 旅游酒店 | 603099 |  长白山  |  21.1  |  -15.3  | -4.6 |  -7.5   |  -4.0   |
| 旅游酒店 | 300756 | 金马游乐 |  20.1  |  173.4  | -4.6 |  -5.3   |  -4.5   |
| 旅游酒店 | 000796 |  ST凯撒  |  40.5  |  -16.1  | -4.9 |  -9.0   |  -5.8   |
| 旅游酒店 | 000888 | 峨眉山Ａ  |  36.9  |  208.5  | -5.0 |  -9.0   |  -8.8   |
| 旅游酒店 | 301073 | 君亭酒店 |  73.3  |  466.9  | -5.0 |  -9.7   |  -3.0   |
| 旅游酒店 | 000430 |  张家界  |  24.4  |  -9.8   | -5.3 |  -7.4   |  -6.8   |
| 旅游酒店 | 000721 | 西安饮食 |  23.6  |  -11.7  | -5.5 |  -9.7   |  -7.6   |
| 旅游酒店 | 002707 | 众信旅游 |  54.0  |  -23.7  | -5.8 |  -10.5  |  -9.4   |
| 旅游酒店 | 000610 | 西安旅游 |  20.1  |  -14.8  | -5.9 |  -9.1   |  -7.3   |
| 旅游酒店 | 605108 |  同庆楼  |  49.0  |  53.7   | -5.9 |  -11.0  |  -7.6   |
| 旅游酒店 | 002059 | 云南旅游 |  67.1  | -181.4  | -6.1 |  -8.0   |  -7.4   |
| 旅游酒店 | 600593 | 大连圣亚 |  17.5  |  -14.6  | -6.3 |  -8.7   |   0.7   |
| 旅游酒店 | 002033 | 丽江股份 |  44.8  |  -39.6  | -6.3 |  -11.9  |  -9.4   |
| 旅游酒店 | 300859 | 西域旅游 |  44.4  |  -63.2  | -6.4 |  -14.3  |  -13.1  |
| 旅游酒店 | 600749 | 西藏旅游 |  24.9  |  -27.6  | -6.6 |  -10.2  |  -10.8  |
| 旅游酒店 | 000428 | 华天酒店 |  39.7  |  -29.9  | -6.7 |  -9.9   |  -9.9   |
| 旅游酒店 | 600706 | 曲江文旅 |  23.2  |  -11.5  | -8.5 |  -11.0  |  -11.5  |
+----------+--------+----------+--------+---------+------+---------+---------+
