[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 有色金属 | 601600 | 中国铝业 | 757.4 |  12.0  | -4.5  |  -4.5   |  -4.1   |
| 有色金属 | 600362 | 江西铜业 | 569.3 |  9.7   | -2.7  |  -3.5   |  -0.8   |
| 有色金属 | 688122 | 西部超导 | 463.5 |  53.9  |  0.5  |  -3.0   |   0.7   |
| 有色金属 | 600219 | 南山铝业 | 426.6 |  14.8  | -3.2  |   2.6   |   4.7   |
| 有色金属 | 002532 | 天山铝业 | 406.6 |  9.2   |  9.0  |  31.8   |  35.9   |
| 有色金属 | 000933 | 神火股份 | 337.0 |  4.3   |  0.3  |   3.2   |   8.2   |
| 有色金属 | 000807 | 云铝股份 | 331.2 |  7.4   | -5.5  |  -3.0   |  -3.0   |
| 有色金属 | 603876 | 鼎胜新材 | 319.0 |  37.0  | -3.9  |  -9.2   |  -0.4   |
| 有色金属 | 000630 | 铜陵有色 | 308.4 |  12.3  | -3.6  |  -3.9   |  -3.3   |
| 有色金属 | 601677 | 明泰铝业 | 275.6 |  11.7  | -0.9  |   0.8   |   5.1   |
| 有色金属 | 600497 | 驰宏锌锗 | 269.8 |  13.3  | -3.6  |  -1.3   |   0.8   |
| 有色金属 | 601168 | 西部矿业 | 255.7 |  7.9   | -4.6  |  -5.5   |  -4.9   |
| 有色金属 | 600338 | 西藏珠峰 | 248.7 |  76.3  | -5.7  |  -5.8   |  -4.4   |
| 有色金属 | 002203 | 海亮股份 | 236.8 |  18.9  | -0.2  |  -0.1   |  -1.9   |
| 有色金属 | 601702 | 华峰铝业 | 226.8 |  55.2  |  5.6  |  16.5   |  34.4   |
| 有色金属 | 300034 | 钢研高纳 | 226.0 |  92.0  | -4.5  |  -6.6   |  -4.9   |
| 有色金属 | 000688 | 国城矿业 | 210.9 | 123.0  | -2.8  |   0.5   |   4.2   |
| 有色金属 | 601212 | 白银有色 | 203.6 | 121.4  | -2.1  |  -2.8   |  -0.7   |
| 有色金属 | 000878 | 云南铜业 | 190.0 |  12.7  | -2.2  |  -1.9   |   0.1   |
| 有色金属 | 601137 | 博威合金 | 170.3 |  31.3  | -0.9  |  13.2   |  22.1   |
| 有色金属 | 000060 | 中金岭南 | 161.8 |  12.2  | -3.1  |  -3.1   |  -1.8   |
| 有色金属 | 600595 | 中孚实业 | 157.4 |  9.3   | -2.5  |  -3.2   |  -3.2   |
| 有色金属 | 002182 | 云海金属 | 157.1 |  12.9  | -7.3  |  -9.2   |  -10.1  |
| 有色金属 | 002171 | 楚江新材 | 144.4 |  31.7  | -1.9  |   0.7   |  10.6   |
| 有色金属 | 300855 | 图南股份 | 136.3 |  84.4  | -2.8  |  -3.9   |  -2.6   |
| 有色金属 | 600888 | 新疆众和 | 135.7 |  8.9   | -5.3  |  -0.8   |   2.6   |
| 有色金属 | 300337 | 银邦股份 | 132.2 |  81.6  |  3.9  |  31.4   |  37.4   |
| 有色金属 | 000426 | 兴业矿业 | 131.5 |  54.2  | -4.8  |  -5.3   |  -1.6   |
| 有色金属 | 603132 | 金徽股份 | 128.1 |  28.7  | -4.0  |  -4.4   |  -3.0   |
| 有色金属 | 601609 | 金田股份 | 124.2 |  23.1  |  0.0  |   3.7   |   8.3   |
| 有色金属 | 000737 | 北方铜业 | 107.1 |  10.0  | -4.1  |  -5.0   |  -0.5   |
| 有色金属 | 002824 | 和胜股份 | 106.2 |  52.7  |  0.5  |  -16.2  |  -6.3   |
| 有色金属 | 688231 | 隆达股份 | 105.7 | 165.6  | -4.4  |  -3.8   |   7.2   |
| 有色金属 | 002996 | 顺博合金 | 99.5  |  19.6  | -1.6  |  -3.1   |  12.8   |
| 有色金属 | 601388 | 怡球资源 | 94.2  |  15.8  | -5.3  |  -0.9   |  10.6   |
| 有色金属 | 300057 | 万顺新材 | 91.4  |  42.3  | -4.6  |  -5.8   |  10.3   |
| 有色金属 | 000758 | 中色股份 | 90.8  |  25.4  | -4.2  |  -5.5   |  -3.0   |
| 有色金属 | 003038 | 鑫铂股份 | 84.7  |  46.1  | -4.4  |  -5.5   |  21.5   |
| 有色金属 | 002540 | 亚太科技 | 81.3  |  24.4  | -7.1  |  -3.9   |   4.2   |
| 有色金属 | 000603 | 盛达资源 | 81.1  |  57.7  | -4.1  |   4.3   |   8.1   |
| 有色金属 | 600490 | 鹏欣资源 | 79.9  |  30.6  | -4.0  |  -5.5   |  -5.7   |
| 有色金属 | 002501 | 利源精制 | 79.2  | -25.9  | -4.7  |  -1.8   |  -5.1   |
| 有色金属 | 000612 | 焦作万方 | 72.8  |  9.0   | -3.8  |  -3.8   |  -0.3   |
| 有色金属 | 601020 | 华钰矿业 | 72.1  | -464.7 | -5.0  |  -6.7   |  -3.4   |
| 有色金属 | 301266 | 宇邦新材 | 68.0  |  84.5  | -5.6  |  -11.3  |  -1.8   |
| 有色金属 | 688102 | 斯瑞新材 | 62.6  |  50.1  | -3.2  |  11.6   |  18.5   |
| 有色金属 | 600331 | 宏达股份 | 62.2  |  47.7  | -6.7  |  -8.1   |  -7.5   |
| 有色金属 | 688786 | 悦安新材 | 60.5  |  56.1  | 20.0  |  41.6   |  57.0   |
| 有色金属 | 600531 | 豫光金铅 | 56.7  |  17.0  | -3.2  |  -2.3   |  -0.9   |
| 有色金属 | 603115 | 海星股份 | 52.8  |  20.7  | -6.0  |   2.5   |   4.2   |
| 有色金属 | 300986 | 志特新材 | 52.2  | 250.9  | -0.2  |  -5.9   |   3.1   |
| 有色金属 | 002578 | 闽发铝业 | 51.4  |  80.3  | -6.0  |  -6.8   |  -5.8   |
| 有色金属 | 603527 | 众源新材 | 50.3  |  33.4  | -6.6  |  -1.3   |  11.0   |
| 有色金属 | 600255 | 鑫科材料 | 49.9  |  90.0  | -5.1  |  -9.8   |  -7.0   |
| 有色金属 | 000751 | 锌业股份 | 47.0  |  72.2  | -4.6  |  -2.6   |  -1.5   |
| 有色金属 | 603978 | 深圳新星 | 46.7  |  38.8  | -5.1  |  -4.7   |  -0.4   |
| 有色金属 | 600961 | 株冶集团 | 43.5  |  31.9  | -5.8  |  -5.3   |  -4.7   |
| 有色金属 | 002160 | 常铝股份 | 43.0  |  45.2  | -5.6  |  -1.5   |   6.3   |
| 有色金属 | 002379 | 宏创控股 | 39.9  |  90.5  | -10.0 |  -10.9  |  10.8   |
| 有色金属 | 300930 | 屹通新材 | 37.2  |  34.2  | -6.8  |  -8.0   |  -8.3   |
| 有色金属 | 688257 | 新锐股份 | 36.2  |  24.5  | -5.3  |  -0.7   |   4.6   |
| 有色金属 | 002988 | 豪美新材 | 35.5  |  25.6  | -5.5  |  -5.0   |   4.4   |
| 有色金属 | 300697 | 电工合金 | 34.3  |  24.6  | -3.9  |  -6.3   |  -1.6   |
| 有色金属 | 300963 | 中洲特材 | 31.8  |  64.0  |  0.6  |   1.8   |  22.6   |
| 有色金属 | 300828 | 锐新科技 | 30.6  |  35.0  | -4.5  |  -3.0   |   4.0   |
| 有色金属 | 688456 | 有研粉材 | 30.2  |  48.8  | -3.3  |   1.2   |   8.7   |
| 有色金属 | 603937 | 丽岛新材 | 25.8  |  21.8  | -7.8  |  -9.2   |   0.3   |
| 有色金属 | 002806 | 华锋股份 | 24.9  |  89.6  | -6.9  |  -8.1   |  -3.5   |
| 有色金属 | 002114 | 罗平锌电 | 23.0  | -13.0  | -5.3  |  -7.4   |  -4.9   |
| 有色金属 | 300489 | 光智科技 | 21.9  | -20.4  | -5.2  |  -4.2   |   0.5   |
| 有色金属 | 002295 | 精艺股份 | 20.6  |  25.7  | -10.0 |   2.4   |  14.8   |
| 有色金属 | 603045 | 福达合金 | 20.4  | 133.0  | -3.1  |  -12.6  |  -12.2  |
| 有色金属 | 600768 | 宁波富邦 | 12.8  | -183.3 | -5.1  |  -2.5   |  -0.5   |
+----------+--------+----------+-------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 有色金属 | 688786 | 悦安新材 | 60.5  |  56.1  | 20.0  |  41.6   |  57.0   |
| 有色金属 | 002532 | 天山铝业 | 406.6 |  9.2   |  9.0  |  31.8   |  35.9   |
| 有色金属 | 601702 | 华峰铝业 | 226.8 |  55.2  |  5.6  |  16.5   |  34.4   |
| 有色金属 | 300337 | 银邦股份 | 132.2 |  81.6  |  3.9  |  31.4   |  37.4   |
| 有色金属 | 300963 | 中洲特材 | 31.8  |  64.0  |  0.6  |   1.8   |  22.6   |
| 有色金属 | 688122 | 西部超导 | 463.5 |  53.9  |  0.5  |  -3.0   |   0.7   |
| 有色金属 | 002824 | 和胜股份 | 106.2 |  52.7  |  0.5  |  -16.2  |  -6.3   |
| 有色金属 | 000933 | 神火股份 | 337.0 |  4.3   |  0.3  |   3.2   |   8.2   |
| 有色金属 | 601609 | 金田股份 | 124.2 |  23.1  |  0.0  |   3.7   |   8.3   |
| 有色金属 | 002203 | 海亮股份 | 236.8 |  18.9  | -0.2  |  -0.1   |  -1.9   |
| 有色金属 | 300986 | 志特新材 | 52.2  | 250.9  | -0.2  |  -5.9   |   3.1   |
| 有色金属 | 601137 | 博威合金 | 170.3 |  31.3  | -0.9  |  13.2   |  22.1   |
| 有色金属 | 601677 | 明泰铝业 | 275.6 |  11.7  | -0.9  |   0.8   |   5.1   |
| 有色金属 | 002996 | 顺博合金 | 99.5  |  19.6  | -1.6  |  -3.1   |  12.8   |
| 有色金属 | 002171 | 楚江新材 | 144.4 |  31.7  | -1.9  |   0.7   |  10.6   |
| 有色金属 | 601212 | 白银有色 | 203.6 | 121.4  | -2.1  |  -2.8   |  -0.7   |
| 有色金属 | 000878 | 云南铜业 | 190.0 |  12.7  | -2.2  |  -1.9   |   0.1   |
| 有色金属 | 600595 | 中孚实业 | 157.4 |  9.3   | -2.5  |  -3.2   |  -3.2   |
| 有色金属 | 600362 | 江西铜业 | 569.3 |  9.7   | -2.7  |  -3.5   |  -0.8   |
| 有色金属 | 300855 | 图南股份 | 136.3 |  84.4  | -2.8  |  -3.9   |  -2.6   |
| 有色金属 | 000688 | 国城矿业 | 210.9 | 123.0  | -2.8  |   0.5   |   4.2   |
| 有色金属 | 000060 | 中金岭南 | 161.8 |  12.2  | -3.1  |  -3.1   |  -1.8   |
| 有色金属 | 603045 | 福达合金 | 20.4  | 133.0  | -3.1  |  -12.6  |  -12.2  |
| 有色金属 | 688102 | 斯瑞新材 | 62.6  |  50.1  | -3.2  |  11.6   |  18.5   |
| 有色金属 | 600531 | 豫光金铅 | 56.7  |  17.0  | -3.2  |  -2.3   |  -0.9   |
| 有色金属 | 600219 | 南山铝业 | 426.6 |  14.8  | -3.2  |   2.6   |   4.7   |
| 有色金属 | 688456 | 有研粉材 | 30.2  |  48.8  | -3.3  |   1.2   |   8.7   |
