[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 水泥建材 | 600585 | 海螺水泥 | 1660.0 |  8.4   | -3.2 |  -5.0   |  -5.6   |
| 水泥建材 | 000877 | 天山股份 | 928.7  |  22.7  | -4.5 |  -6.9   |  -6.9   |
| 水泥建材 | 600801 | 华新水泥 | 361.5  |  13.4  | -3.5 |  -4.4   |  -4.1   |
| 水泥建材 | 601992 | 金隅集团 | 274.4  |  24.9  | -1.5 |  -1.9   |  -1.5   |
| 水泥建材 | 000401 | 冀东水泥 | 245.4  | -26.3  | -3.8 |  -4.7   |  -4.0   |
| 水泥建材 | 002541 | 鸿路钢构 | 198.6  |  29.7  | -3.1 |  -5.5   |  -6.5   |
| 水泥建材 | 000935 | 四川双马 | 156.5  |  14.7  | -3.6 |  -5.8   |  -5.9   |
| 水泥建材 | 600477 | 杭萧钢构 | 137.4  |  64.6  | -7.6 |  -3.0   |  16.2   |
| 水泥建材 | 000672 | 上峰水泥 | 135.6  |  9.9   | -4.8 |  -6.0   |  -4.7   |
| 水泥建材 | 000546 | 金圆股份 | 128.9  | -224.2 | -6.1 |  -4.4   |  -7.2   |
| 水泥建材 | 002233 | 塔牌集团 |  94.9  |  27.2  | -3.2 |  -4.2   |  -3.0   |
| 水泥建材 | 002302 | 西部建设 |  93.5  |  12.4  | -5.0 |  -4.6   |  -4.8   |
| 水泥建材 | 600496 | 精工钢构 |  85.1  |  11.9  | -7.4 |  -10.8  |  -6.4   |
| 水泥建材 | 600720 |  祁连山  |  82.9  | 739.2  | -4.7 |  -6.9   |  -7.1   |
| 水泥建材 | 600881 | 亚泰集团 |  81.9  |  -4.5  | -3.8 |  -4.2   |  -4.5   |
| 水泥建材 | 000789 |  万年青  |  78.6  |  9.4   | -3.2 |  -4.7   |  -3.4   |
| 水泥建材 | 600425 | 青松建化 |  58.7  | 583.7  | -3.2 |  -3.2   |  -3.0   |
| 水泥建材 | 600724 | 宁波富达 |  56.1  |  19.2  | -3.2 |  -4.7   |  -3.5   |
| 水泥建材 | 600449 | 宁夏建材 |  55.0  |  93.5  | -3.7 |  -3.9   |  -3.5   |
| 水泥建材 | 003037 | 三和管桩 |  54.3  | 251.6  | -5.4 |  -6.5   |  -6.8   |
| 水泥建材 | 600326 | 西藏天路 |  48.0  | -21.2  | -5.4 |  -6.5   |  -5.4   |
| 水泥建材 | 600668 | 尖峰集团 |  41.4  |  52.1  | -5.5 |  -6.8   |  -7.5   |
| 水泥建材 | 002596 | 海南瑞泽 |  34.5  | 210.8  | -5.9 |  -8.0   |  -7.1   |
| 水泥建材 | 605122 | 四方新材 |  30.0  |  24.2  | -5.2 |  -8.0   |  -5.7   |
| 水泥建材 | 600802 | 福建水泥 |  28.6  | -14.7  | 4.7  |   3.1   |   4.5   |
| 水泥建材 | 002742 | 三圣股份 |  27.0  | 128.8  | -0.3 |   0.5   |  -5.3   |
| 水泥建材 | 002671 | 龙泉股份 |  26.9  | -15.0  | -6.5 |  -16.3  |  -2.1   |
