[行业>市值]
+------------+--------+-------------+--------+--------+-------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+--------+-------+---------+---------+
| 汽车零部件 | 002920 |  德赛西威   | 1096.0 |  86.1  |  0.2  |   6.0   |  13.5   |
| 汽车零部件 | 000338 |  潍柴动力   | 1010.0 |  24.0  | -4.6  |  -4.4   |  -3.6   |
| 汽车零部件 | 601689 |  拓普集团   | 963.8  |  62.4  | -0.4  |   0.3   |   3.7   |
| 汽车零部件 | 600741 |  华域汽车   | 653.9  |  9.6   | -4.0  |  -2.4   |  -0.9   |
| 汽车零部件 | 601799 |  星宇股份   | 532.2  |  49.4  |  0.6  |  13.1   |  12.1   |
| 汽车零部件 | 603596 |   伯特利    | 420.8  |  76.0  | -1.9  |   5.1   |  13.6   |
| 汽车零部件 | 002472 |  双环传动   | 298.8  |  62.9  | -2.1  |   1.9   |  17.9   |
| 汽车零部件 | 601717 |   郑煤机    | 289.9  |  10.6  | -1.9  |  -2.4   |   0.1   |
| 汽车零部件 | 600699 |  均胜电子   | 286.3  | -45.3  | -4.9  |   3.1   |   7.9   |
| 汽车零部件 | 688326 | 经纬恒润-W  | 283.2  | -223.1 |  7.4  |  26.5   |  25.5   |
| 汽车零部件 | 000887 |  中鼎股份   | 281.9  |  28.1  | -2.3  |  -2.0   |   4.5   |
| 汽车零部件 | 603786 |   科博达    | 277.8  |  75.8  | -4.0  |   0.1   |   2.5   |
| 汽车零部件 | 002906 |  华阳集团   | 265.4  |  96.0  | -2.5  |   2.7   |  10.7   |
| 汽车零部件 | 603305 |  旭升股份   | 262.9  |  54.8  | -4.0  |   6.8   |   8.1   |
| 汽车零部件 | 603348 |  文灿股份   | 254.4  |  80.1  |  2.1  |  10.2   |  25.2   |
| 汽车零部件 | 300432 |  富临精工   | 237.1  |  28.1  | -5.3  |  -5.8   |  -5.2   |
| 汽车零部件 | 300428 |  立中集团   | 233.8  |  42.2  |  0.5  |   1.0   |   9.2   |
| 汽车零部件 | 002865 |  钧达股份   | 228.6  |  41.9  |  2.8  |  -0.3   |  31.2   |
| 汽车零部件 | 000559 |  万向钱潮   | 204.2  |  19.6  | -3.4  |  -3.3   |  -1.9   |
