[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 消费电子 | 002475 | 立讯精密 | 2457.0 |  34.1  | -3.5  |   3.4   |  12.6   |
| 消费电子 | 601138 | 工业富联 | 1969.0 |  15.1  | -1.5  |  -2.0   |  -0.4   |
| 消费电子 | 002241 | 歌尔股份 | 1096.0 |  30.4  | -2.5  |  -0.6   |   3.9   |
| 消费电子 | 600745 | 闻泰科技 | 887.6  |  44.1  | -1.6  |  -0.1   |   5.7   |
| 消费电子 | 688036 | 传音控股 | 552.4  |  17.4  | -3.1  |  -5.1   |  -5.6   |
| 消费电子 | 300433 | 蓝思科技 | 541.6  | -32.9  | -3.2  |   0.1   |   5.5   |
| 消费电子 | 002841 | 视源股份 | 445.4  |  36.1  | -3.0  |  -4.7   |  -3.2   |
| 消费电子 | 601231 | 环旭电子 | 388.1  |  17.9  | -2.6  |  -2.2   |   9.5   |
| 消费电子 | 002600 | 领益智造 | 354.3  |  29.4  | -3.6  |  -2.9   |   1.8   |
| 消费电子 | 300866 | 安克创新 | 291.4  |  36.6  | -6.3  |  -5.5   |  -1.8   |
| 消费电子 | 300679 | 电连技术 | 192.8  |  54.7  | -5.6  |  -1.5   |   7.2   |
| 消费电子 | 002139 | 拓邦股份 | 192.6  |  39.1  |  5.2  |   4.3   |  26.2   |
| 消费电子 | 001308 | 康冠科技 | 192.1  |  21.1  |  0.6  |  -2.9   |  -4.9   |
| 消费电子 | 000021 |  深科技  | 181.0  |  18.7  | -4.2  |  -3.3   |  -1.1   |
| 消费电子 | 300083 |  创世纪  | 174.8  |  26.0  | -4.6  |  -5.9   |   2.5   |
| 消费电子 | 002402 |  和而泰  | 172.6  |  60.4  |  1.3  |   1.8   |   9.5   |
| 消费电子 | 300136 | 信维通信 | 161.7  |  44.0  | -5.0  |  -4.1   |  -1.4   |
| 消费电子 | 002925 | 盈趣科技 | 155.6  |  25.0  | -3.5  |  -3.5   |   1.1   |
| 消费电子 | 300115 | 长盈精密 | 154.2  | -19.7  |  4.5  |  10.6   |  20.9   |
| 消费电子 | 688007 | 光峰科技 | 123.6  | 173.0  | -1.8  |  -2.3   |  18.0   |
| 消费电子 | 002635 | 安洁科技 | 122.4  |  36.0  | -5.8  |  11.0   |  22.7   |
| 消费电子 | 603595 | 东尼电子 | 120.3  | 162.8  | -1.6  |  -6.7   |  -7.4   |
| 消费电子 | 002782 |  可立克  | 114.0  |  92.3  |  2.3  |  15.8   |  26.4   |
| 消费电子 | 002993 | 奥海科技 | 109.7  |  26.2  | -3.2  |  -7.0   |   4.4   |
| 消费电子 | 002881 | 美格智能 |  97.4  |  98.9  |  7.6  |  21.9   |  27.6   |
| 消费电子 | 603327 | 福蓉科技 |  95.5  |  24.9  | -6.2  |  -2.4   |   9.3   |
| 消费电子 | 301180 | 万祥科技 |  87.2  |  41.3  | -5.3  |  -1.9   |   1.2   |
| 消费电子 | 300735 | 光弘科技 |  83.0  |  44.6  | -4.7  |  -5.2   |  -2.5   |
| 消费电子 | 300602 |  飞荣达  |  83.0  | -115.9 | -5.5  |  -1.6   |  10.3   |
| 消费电子 | 002547 | 春兴精工 |  82.7  | 123.7  | -9.9  |  -10.6  |  -7.0   |
| 消费电子 | 002885 |  京泉华  |  81.9  |  74.6  | -0.1  |   5.7   |   5.0   |
| 消费电子 | 002681 | 奋达科技 |  78.8  |  91.5  | -4.4  |  -4.8   |  -4.0   |
| 消费电子 | 002055 | 得润电子 |  76.8  | 213.0  | -4.1  |  -3.5   |  -0.1   |
| 消费电子 | 301123 | 奕东电子 |  75.0  |  46.6  | -3.7  |  -1.5   |  16.3   |
| 消费电子 | 002937 | 兴瑞科技 |  74.6  |  54.9  | -1.9  |  11.9   |  23.6   |
| 消费电子 | 002351 |  漫步者  |  74.6  |  33.8  | -3.9  |  -2.6   |   0.4   |
| 消费电子 | 002866 | 传艺科技 |  72.0  |  40.1  |  1.6  |  -1.9   |  -0.1   |
| 消费电子 | 300709 | 精研科技 |  60.1  |  64.0  | -5.6  |  -0.1   |  12.1   |
| 消费电子 | 300131 | 英唐智控 |  58.8  |  51.0  | -4.5  |  -8.1   |   5.0   |
| 消费电子 | 300951 | 博硕科技 |  57.8  |  23.3  | -3.9  |  -0.7   |   3.4   |
| 消费电子 | 603380 |  易德龙  |  55.2  |  24.9  | -4.1  |  -3.2   |  -0.7   |
| 消费电子 | 300787 | 海能实业 |  54.6  |  23.4  | -5.6  |  -7.1   |  -5.5   |
| 消费电子 | 300322 |  硕贝德  |  54.3  | 496.7  | -4.7  |  -5.3   |   7.4   |
| 消费电子 | 300916 | 朗特智能 |  53.8  |  67.3  | -5.8  |  -3.1   |  -4.6   |
| 消费电子 | 003028 | 振邦智能 |  51.8  |  30.5  | -6.0  |  -6.1   |   2.2   |
| 消费电子 | 300793 | 佳禾智能 |  51.7  |  66.3  | -6.7  |  -10.8  |  -3.4   |
| 消费电子 | 002655 | 共达电声 |  50.8  |  65.7  | -4.5  |  -1.1   |   7.3   |
| 消费电子 | 300032 | 金龙机电 |  48.3  |  98.4  | -5.1  |  -4.5   |  -1.0   |
| 消费电子 | 300647 |  超频三  |  48.1  |  45.5  | -7.6  |  -10.3  |  -6.2   |
| 消费电子 | 002947 |  恒铭达  |  47.4  |  34.1  | -2.8  |   5.2   |  11.6   |
| 消费电子 | 603633 | 徕木股份 |  45.8  |  76.1  | -6.4  |  -9.0   |   5.1   |
| 消费电子 | 300976 | 达瑞电子 |  45.6  |  51.7  | -3.8  |  -3.5   |   3.1   |
| 消费电子 | 603890 | 春秋电子 |  45.5  |  23.2  | -2.7  |  -4.4   |   0.6   |
| 消费电子 | 688678 |  福立旺  |  44.3  |  29.0  | -7.3  |   0.3   |   9.0   |
| 消费电子 | 603626 | 科森科技 |  42.2  | 179.4  | -4.2  |  -5.8   |  -0.1   |
| 消费电子 | 002045 | 国光电器 |  42.1  | 175.1  | -5.4  |  -9.1   |  -1.2   |
| 消费电子 | 300684 | 中石科技 |  41.8  |  43.2  | -4.8  |  -3.2   |   1.7   |
| 消费电子 | 600203 | 福日电子 |  40.6  |  40.3  | -4.1  |  -5.5   |  -1.3   |
| 消费电子 | 301086 |  鸿富瀚  |  40.4  |  31.9  | -3.9  |   3.2   |  14.7   |
| 消费电子 | 300847 | 中船汉光 |  40.1  |  36.4  |  2.6  |   2.2   |   6.6   |
| 消费电子 | 300857 | 协创数据 |  40.1  |  33.9  | -4.6  |  -4.9   |  -0.9   |
| 消费电子 | 688683 | 莱尔科技 |  38.5  |  93.7  | -1.7  |  -0.7   |   4.5   |
| 消费电子 | 605277 | 新亚电子 |  38.2  |  27.9  | -3.8  |  -6.0   |   2.1   |
| 消费电子 | 300968 | 格林精密 |  36.7  |  91.9  | -3.6  |  -3.4   |   1.7   |
| 消费电子 | 300843 | 胜蓝股份 |  36.0  |  38.5  | -3.6  |  -7.3   |   2.9   |
| 消费电子 | 002369 | 卓翼科技 |  35.7  | -28.1  | -10.0 |  -7.6   |  22.8   |
| 消费电子 | 603629 | 利通电子 |  34.7  |  51.4  | -1.7  |  -0.8   |   2.9   |
| 消费电子 | 301318 |  维海德  |  33.7  |  21.4  |  0.0  |   0.0   |   0.0   |
| 消费电子 | 002976 | 瑞玛精密 |  31.0  |  44.5  | -5.2  |   3.0   |  12.3   |
| 消费电子 | 300686 |  智动力  |  30.8  |  72.3  | -3.3  |  -1.9   |   1.1   |
| 消费电子 | 300543 | 朗科智能 |  29.9  |  34.1  | -4.9  |  -5.1   |   1.2   |
| 消费电子 | 301135 | 瑞德智能 |  29.7  |  78.7  | -8.3  |  -3.5   |  -3.5   |
| 消费电子 | 002660 | 茂硕电源 |  29.5  |  76.5  | -6.5  |  -6.8   |  -3.5   |
| 消费电子 | 600130 | 波导股份 |  29.4  | 133.0  | -5.0  |  -3.8   |  -2.8   |
| 消费电子 | 300279 | 和晶科技 |  27.4  | -18.1  | -5.3  |  -4.4   |  -1.3   |
| 消费电子 | 300822 | 贝仕达克 |  27.4  |  38.6  | -3.6  |  -4.7   |   1.5   |
| 消费电子 | 688260 | 昀冢科技 |  25.4  | 109.8  |  2.7  |  19.5   |  38.7   |
| 消费电子 | 300256 | *ST星星  |  23.8  | -16.9  | -6.4  |  -10.8  |  -12.7  |
| 消费电子 | 301182 | 凯旺科技 |  23.3  |  63.2  | -6.3  |  -6.9   |  -1.1   |
| 消费电子 | 002981 | 朝阳科技 |  22.3  | 134.5  | -5.6  |  -7.6   |  -9.4   |
| 消费电子 | 300956 | 英力股份 |  22.0  |  42.5  | -6.1  |  -6.9   |  -5.8   |
| 消费电子 | 001229 | 魅视科技 |  21.7  |  37.0  |  0.0  |   0.0   |   0.0   |
| 消费电子 | 603133 | 碳元科技 |  21.6  | -41.0  | -5.0  |  -5.1   |  -5.2   |
| 消费电子 | 002855 | 捷荣技术 |  21.1  | -13.8  | -2.8  |  -1.2   |   2.9   |
| 消费电子 | 600898 | 国美通讯 |  18.4  | -44.1  | -8.4  |  -12.0  |  -16.4  |
| 消费电子 | 002888 | 惠威科技 |  18.3  | 912.9  | -6.5  |  -6.9   |  -1.2   |
| 消费电子 | 002861 | 瀛通通讯 |  16.6  | -38.5  | -4.6  |  -3.8   |  -1.0   |
+----------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 消费电子 | 002881 | 美格智能 |  97.4  |  98.9  |  7.6  |  21.9   |  27.6   |
| 消费电子 | 002139 | 拓邦股份 | 192.6  |  39.1  |  5.2  |   4.3   |  26.2   |
| 消费电子 | 300115 | 长盈精密 | 154.2  | -19.7  |  4.5  |  10.6   |  20.9   |
| 消费电子 | 688260 | 昀冢科技 |  25.4  | 109.8  |  2.7  |  19.5   |  38.7   |
| 消费电子 | 300847 | 中船汉光 |  40.1  |  36.4  |  2.6  |   2.2   |   6.6   |
| 消费电子 | 002782 |  可立克  | 114.0  |  92.3  |  2.3  |  15.8   |  26.4   |
| 消费电子 | 002866 | 传艺科技 |  72.0  |  40.1  |  1.6  |  -1.9   |  -0.1   |
| 消费电子 | 002402 |  和而泰  | 172.6  |  60.4  |  1.3  |   1.8   |   9.5   |
| 消费电子 | 001308 | 康冠科技 | 192.1  |  21.1  |  0.6  |  -2.9   |  -4.9   |
| 消费电子 | 301318 |  维海德  |  33.7  |  21.4  |  0.0  |   0.0   |   0.0   |
