[行业>市值]
+------+--------+----------+-------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+-------+---------+---------+
| 游戏 | 002555 | 三七互娱 | 424.1 |  13.9  | -2.6  |  -5.3   |  -6.8   |
| 游戏 | 002602 | 世纪华通 | 318.2 |  38.1  | -4.7  |  -6.8   |  -6.8   |
| 游戏 | 002624 | 完美世界 | 280.1 |  8.3   | -4.2  |  -2.2   |   1.6   |
| 游戏 | 603444 |  吉比特  | 250.8 |  17.9  | -3.0  |  -4.9   |  -5.3   |
| 游戏 | 300418 | 昆仑万维 | 164.7 |  11.0  | -4.7  |  -6.2   |  -5.8   |
| 游戏 | 002558 | 巨人网络 | 163.2 |  15.1  | -3.8  |  -3.8   |  -3.8   |
| 游戏 | 002517 | 恺英网络 | 128.7 |  13.0  | -1.0  |  -0.5   |  -1.0   |
| 游戏 | 300459 |  汤姆猫  | 121.3 |  16.6  | -6.2  |  -5.5   |  -3.9   |
| 游戏 | 300113 | 顺网科技 | 87.1  |  69.5  | -6.2  |  -6.1   |  -6.5   |
| 游戏 | 300315 | 掌趣科技 | 84.4  |  66.5  | -5.0  |  -5.8   |  -5.3   |
| 游戏 | 002174 | 游族网络 | 80.5  |  25.2  | -4.1  |  -4.3   |  -3.5   |
| 游戏 | 300002 | 神州泰岳 | 79.4  |  31.5  | -5.4  |  -4.9   |  -4.0   |
| 游戏 | 600633 | 浙数文化 | 77.1  |  38.4  | -5.1  |  -6.9   |  -6.0   |
| 游戏 | 300031 | 宝通科技 | 71.5  |  26.0  | -3.8  |   1.3   |   3.0   |
| 游戏 | 300518 |  盛讯达  | 71.3  | 236.8  | -5.0  |  -1.6   |   1.9   |
| 游戏 | 002354 | 天娱数科 | 58.9  | 161.1  | -5.8  |  -4.3   |  -4.8   |
| 游戏 | 300052 |  中青宝  | 58.2  | 334.8  | -3.1  |  -0.2   |   3.4   |
| 游戏 | 002445 | 中南文化 | 54.5  |  13.9  | -5.0  |  -5.4   |  -1.3   |
| 游戏 | 002425 | 凯撒文化 | 49.4  |  74.7  | -6.2  |  -3.7   |  -2.3   |
| 游戏 | 603258 | 电魂网络 | 47.8  |  16.7  | -3.9  |  -4.0   |  -2.8   |
| 游戏 | 300533 | 冰川网络 | 42.5  |  4.9   | -5.8  |  -10.3  |  -4.9   |
| 游戏 | 002168 | 惠程科技 | 40.3  | -35.1  | -10.0 |  -24.2  |  -9.0   |
| 游戏 | 600715 | 文投控股 | 40.2  | -12.6  | -3.6  |  -5.7   |  -5.2   |
| 游戏 | 300299 | 富春股份 | 39.8  |  81.4  | -8.2  |  -8.2   |  -5.1   |
| 游戏 | 300494 | 盛天网络 | 36.0  |  17.2  | -5.2  |  -6.4   |  -3.9   |
| 游戏 | 300043 | 星辉娱乐 | 35.8  | -94.0  | -5.0  |  -8.0   |  -6.8   |
| 游戏 | 300148 | 天舟文化 | 26.4  | -112.3 | -5.1  |  -6.0   |  -5.4   |
| 游戏 | 600892 | 大晟文化 | 22.9  | 396.2  | -2.4  |  -4.2   |  -2.4   |
| 游戏 | 300467 | 迅游科技 | 22.3  | -29.2  | -6.7  |  -7.3   |  -3.8   |
| 游戏 | 300051 | 三五互联 | 20.4  | -361.8 | -5.1  |  -6.5   |  -10.6  |
| 游戏 | 002113 |  ST天润  | 17.8  | -24.9  | -4.8  |  -10.6  |  -4.8   |
+------+--------+----------+-------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+-------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+-------+---------+---------+
| 游戏 | 002517 | 恺英网络 | 128.7 |  13.0  | -1.0  |  -0.5   |  -1.0   |
| 游戏 | 600892 | 大晟文化 | 22.9  | 396.2  | -2.4  |  -4.2   |  -2.4   |
| 游戏 | 002555 | 三七互娱 | 424.1 |  13.9  | -2.6  |  -5.3   |  -6.8   |
| 游戏 | 603444 |  吉比特  | 250.8 |  17.9  | -3.0  |  -4.9   |  -5.3   |
| 游戏 | 300052 |  中青宝  | 58.2  | 334.8  | -3.1  |  -0.2   |   3.4   |
| 游戏 | 600715 | 文投控股 | 40.2  | -12.6  | -3.6  |  -5.7   |  -5.2   |
| 游戏 | 300031 | 宝通科技 | 71.5  |  26.0  | -3.8  |   1.3   |   3.0   |
| 游戏 | 002558 | 巨人网络 | 163.2 |  15.1  | -3.8  |  -3.8   |  -3.8   |
| 游戏 | 603258 | 电魂网络 | 47.8  |  16.7  | -3.9  |  -4.0   |  -2.8   |
| 游戏 | 002174 | 游族网络 | 80.5  |  25.2  | -4.1  |  -4.3   |  -3.5   |
| 游戏 | 002624 | 完美世界 | 280.1 |  8.3   | -4.2  |  -2.2   |   1.6   |
| 游戏 | 300418 | 昆仑万维 | 164.7 |  11.0  | -4.7  |  -6.2   |  -5.8   |
| 游戏 | 002602 | 世纪华通 | 318.2 |  38.1  | -4.7  |  -6.8   |  -6.8   |
| 游戏 | 002113 |  ST天润  | 17.8  | -24.9  | -4.8  |  -10.6  |  -4.8   |
| 游戏 | 300043 | 星辉娱乐 | 35.8  | -94.0  | -5.0  |  -8.0   |  -6.8   |
| 游戏 | 300315 | 掌趣科技 | 84.4  |  66.5  | -5.0  |  -5.8   |  -5.3   |
| 游戏 | 300518 |  盛讯达  | 71.3  | 236.8  | -5.0  |  -1.6   |   1.9   |
| 游戏 | 002445 | 中南文化 | 54.5  |  13.9  | -5.0  |  -5.4   |  -1.3   |
| 游戏 | 300051 | 三五互联 | 20.4  | -361.8 | -5.1  |  -6.5   |  -10.6  |
| 游戏 | 300148 | 天舟文化 | 26.4  | -112.3 | -5.1  |  -6.0   |  -5.4   |
| 游戏 | 600633 | 浙数文化 | 77.1  |  38.4  | -5.1  |  -6.9   |  -6.0   |
| 游戏 | 300494 | 盛天网络 | 36.0  |  17.2  | -5.2  |  -6.4   |  -3.9   |
| 游戏 | 300002 | 神州泰岳 | 79.4  |  31.5  | -5.4  |  -4.9   |  -4.0   |
| 游戏 | 002354 | 天娱数科 | 58.9  | 161.1  | -5.8  |  -4.3   |  -4.8   |
| 游戏 | 300533 | 冰川网络 | 42.5  |  4.9   | -5.8  |  -10.3  |  -4.9   |
| 游戏 | 002425 | 凯撒文化 | 49.4  |  74.7  | -6.2  |  -3.7   |  -2.3   |
| 游戏 | 300113 | 顺网科技 | 87.1  |  69.5  | -6.2  |  -6.1   |  -6.5   |
| 游戏 | 300459 |  汤姆猫  | 121.3 |  16.6  | -6.2  |  -5.5   |  -3.9   |
| 游戏 | 300467 | 迅游科技 | 22.3  | -29.2  | -6.7  |  -7.3   |  -3.8   |
| 游戏 | 300299 | 富春股份 | 39.8  |  81.4  | -8.2  |  -8.2   |  -5.1   |
| 游戏 | 002168 | 惠程科技 | 40.3  | -35.1  | -10.0 |  -24.2  |  -9.0   |
+------+--------+----------+-------+--------+-------+---------+---------+
