[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 煤炭行业 | 601088 | 中国神华 | 5557.0 |  7.3   | -1.6 |  -2.7   |  -2.2   |
| 煤炭行业 | 600188 | 兖矿能源 | 1865.0 |  7.0   | -1.5 |  -0.6   |   3.6   |
| 煤炭行业 | 601225 | 陕西煤业 | 1859.0 |  8.2   | -1.9 |  -1.5   |   1.1   |
| 煤炭行业 | 601898 | 中煤能源 | 1146.0 |  4.2   | -2.5 |  -3.3   |  -1.8   |
| 煤炭行业 | 600348 | 华阳股份 | 531.3  |  10.2  | -3.2 |   0.6   |  24.8   |
| 煤炭行业 | 000983 | 山西焦煤 | 473.6  |  4.8   | -2.7 |  -6.7   |  -1.6   |
| 煤炭行业 | 000723 | 美锦能源 | 464.6  |  17.2  | -6.3 |  -5.0   |  -4.9   |
| 煤炭行业 | 601699 | 潞安环能 | 401.4  |  4.1   | -3.5 |  -6.8   |  -0.8   |
| 煤炭行业 | 600985 | 淮北矿业 | 325.8  |  5.0   | -0.8 |  -1.4   |   3.1   |
| 煤炭行业 | 600546 | 山煤国际 | 287.1  |  4.3   | -5.5 |  -7.2   |  -1.2   |
| 煤炭行业 | 601666 | 平煤股份 | 269.7  |  4.1   | -3.1 |  -5.5   |   0.5   |
| 煤炭行业 | 002128 | 电投能源 | 246.2  |  4.1   | -4.0 |  -4.7   |  -1.8   |
| 煤炭行业 | 601001 | 晋控煤业 | 231.8  |  6.4   | -1.6 |  -4.5   |   0.9   |
| 煤炭行业 | 000937 | 冀中能源 | 230.7  |  5.9   | -4.2 |  -5.0   |  -0.8   |
| 煤炭行业 | 600395 | 盘江股份 | 178.0  |  9.3   | -3.8 |  -4.0   |  -3.3   |
| 煤炭行业 | 600123 | 兰花科创 | 157.8  |  4.5   | -4.3 |  -8.1   |  -1.9   |
| 煤炭行业 | 600740 | 山西焦化 | 155.8  |  3.5   | -4.0 |  -6.6   |   0.2   |
| 煤炭行业 | 601918 | 新集能源 | 122.8  |  5.8   | -2.9 |  -4.0   |  -3.3   |
| 煤炭行业 | 600532 | *ST未来  | 120.7  | -253.6 | 5.0  |  15.7   |  32.8   |
| 煤炭行业 | 600403 | 大有能源 | 118.8  |  12.3  | -4.4 |  -8.3   |  -7.8   |
