[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 物流行业 | 002352 | 顺丰控股 | 2361.0 |  57.8  | -1.4 |  -4.9   |  -8.4   |
| 物流行业 | 601816 | 京沪高铁 | 2215.0 | 251.4  | -1.1 |  -4.3   |  -3.0   |
| 物流行业 | 601006 | 大秦铁路 | 887.6  |  7.5   | -0.8 |  -1.2   |  -1.2   |
| 物流行业 | 600233 | 圆通速递 | 686.5  |  19.4  | 0.1  |   4.1   |   0.2   |
| 物流行业 | 002120 | 韵达股份 | 527.4  |  38.0  | -1.3 |  -2.1   |  -4.6   |
| 物流行业 | 601598 | 中国外运 | 270.1  |  6.9   | -3.4 |  -4.5   |  -3.4   |
| 物流行业 | 601156 | 东航物流 | 269.9  |  4.9   | -3.2 |  -5.5   |  -6.0   |
| 物流行业 | 603713 | 密尔克卫 | 241.5  |  39.7  | -0.1 |  -1.1   |  -2.5   |
| 物流行业 | 600704 | 物产中大 | 239.0  |  5.8   | -3.6 |  -5.2   |  -4.6   |
| 物流行业 | 001213 | 中铁特货 | 211.6  |  45.9  | -4.0 |  -7.6   |  -3.8   |
| 物流行业 | 600179 | 安通控股 | 185.9  |  8.8   | -2.1 |  -0.5   |   0.0   |
| 物流行业 | 600057 | 厦门象屿 | 185.7  |  10.0  | -2.7 |  -1.1   |   0.1   |
| 物流行业 | 002468 | 申通快递 | 179.1  |  42.1  | -1.9 |  -4.8   |  -7.3   |
| 物流行业 | 000927 | 中国铁物 | 168.2  |  19.9  | -1.8 |  -4.8   |  -1.4   |
| 物流行业 | 002010 | 传化智联 | 153.3  |  25.1  | -4.5 |  -5.5   |  -5.8   |
| 物流行业 | 002183 |  怡亚通  | 153.0  |  67.2  | -8.7 |  -11.4  |  -15.4  |
| 物流行业 | 601333 | 广深铁路 | 142.4  |  -8.9  | -1.9 |  -3.8   |  -3.4   |
| 物流行业 | 603056 | 德邦股份 | 135.8  | -42.6  | -0.3 |  -1.6   |  -5.2   |
| 物流行业 | 600575 | 淮河能源 | 120.5  |  14.2  | -4.0 |  -4.0   |  -3.7   |
| 物流行业 | 600787 | 中储股份 | 115.4  |  8.8   | -4.2 |  -7.0   |  -5.4   |
| 物流行业 | 603128 | 华贸物流 | 109.2  |  10.8  | -5.0 |  -7.8   |  -6.4   |
| 物流行业 | 603223 | 恒通股份 | 100.8  | 251.9  | -0.9 |   5.7   |  14.9   |
| 物流行业 | 002930 | 宏川智慧 | 100.6  |  46.4  | -3.3 |  -0.7   |   2.1   |
| 物流行业 | 603871 | 嘉友国际 |  99.0  |  22.9  | -4.0 |  -0.2   |   8.3   |
| 物流行业 | 605050 |  福然德  |  77.0  |  27.4  | -4.7 |   1.0   |  -1.1   |
| 物流行业 | 002210 | 飞马国际 |  74.2  | -317.0 | -3.5 |   2.2   |   1.1   |
| 物流行业 | 600180 |  瑞茂通  |  71.8  |  6.5   | -6.4 |  -7.3   |  -6.0   |
| 物流行业 | 600125 | 铁龙物流 |  64.0  |  12.8  | -4.7 |  -9.4   |  -8.8   |
| 物流行业 | 001228 |  永泰运  |  62.9  |  31.2  | -2.2 |  -2.9   |   6.7   |
