[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 环保行业 | 603568 | 伟明环保 | 519.1 |  28.2  | -3.2  |   2.1   |   1.0   |
| 环保行业 | 002266 | 浙富控股 | 245.4 |  15.2  | -5.0  |  -3.6   |  -3.2   |
| 环保行业 | 300070 |  碧水源  | 194.6 | 129.4  | -2.4  |  -2.4   |   4.9   |
| 环保行业 | 603279 | 景津装备 | 192.1 |  31.3  | -0.3  |   7.2   |  13.3   |
| 环保行业 | 600323 | 瀚蓝环境 | 166.4 |  26.1  | -3.0  |  -2.9   |  -2.2   |
| 环保行业 | 000035 | 中国天楹 | 160.0 |  93.8  | -2.3  |  -1.7   |  14.9   |
| 环保行业 | 603588 | 高能环境 | 156.5 |  17.6  | -5.5  |  -4.3   |   0.3   |
| 环保行业 | 000967 | 盈峰环境 | 156.4 |  27.6  | -3.5  |  -4.5   |  -3.9   |
| 环保行业 | 600388 |  ST龙净  | 134.4 |  18.9  | -1.3  |   4.7   |   5.7   |
| 环保行业 | 002645 | 华宏科技 | 126.2 |  12.4  | -3.6  |   0.1   |  -2.2   |
| 环保行业 | 300203 | 聚光科技 | 122.4 | -51.8  | -3.2  |  -5.0   |   0.1   |
| 环保行业 | 601827 | 三峰环境 | 116.5 |  9.6   | -3.6  |  -5.1   |  -4.8   |
| 环保行业 | 301175 | 中科环保 | 108.2 |  55.5  | -8.3  |  -7.8   |  -10.8  |
| 环保行业 | 601200 | 上海环境 | 107.8 |  18.0  | -4.4  |  -5.0   |  -5.0   |
| 环保行业 | 002034 | 旺能环境 | 105.2 |  15.6  | -4.0  |   2.2   |   9.3   |
| 环保行业 | 601330 | 绿色动力 | 104.0 |  14.4  | -5.9  |  -6.8   |  -6.9   |
| 环保行业 | 002573 | 清新环境 | 85.6  |  16.3  | -4.7  |  -4.7   |  -3.2   |
| 环保行业 | 300055 |  万邦达  | 80.0  |  77.2  | -3.5  |  -2.5   |  -0.4   |
| 环保行业 | 301109 | 军信股份 | 70.0  |  18.8  | -5.6  |  -5.5   |  -7.7   |
| 环保行业 | 600217 | 中再资环 | 67.8  | 103.5  | -4.3  |  -2.8   |  -1.4   |
| 环保行业 | 300774 |  倍杰特  | 66.2  |  44.5  | -7.1  |  -9.0   |  -9.1   |
| 环保行业 | 300197 | 节能铁汉 | 66.1  | -13.8  | -4.1  |  -6.4   |  -5.7   |
| 环保行业 | 002310 | 东方园林 | 62.6  |  -4.4  | -6.0  |  -7.5   |  -11.4  |
| 环保行业 | 300355 | 蒙草生态 | 59.8  |  47.7  | -6.3  |  -7.9   |  -8.3   |
| 环保行业 | 300266 | 兴源环境 | 58.3  | -58.2  | -5.4  |  -6.8   |  -8.4   |
| 环保行业 | 300815 |  玉禾田  | 56.2  |  10.9  | -7.1  |  -9.0   |  -7.8   |
| 环保行业 | 300867 | 圣元环保 | 55.9  |  19.2  | -7.1  |  -9.0   |  -12.1  |
| 环保行业 | 002672 | 东江环保 | 55.4  | 264.3  | -6.5  |  -7.3   |  -10.6  |
| 环保行业 | 603359 | 东珠生态 | 52.1  |  15.9  | -4.6  |  -5.8   |  -5.4   |
| 环保行业 | 002973 | 侨银股份 | 51.0  |  16.5  | -6.0  |  -6.9   |  -9.4   |
| 环保行业 | 000826 | 启迪环境 | 49.9  |  -5.2  | -5.9  |  -14.9  |  -17.7  |
| 环保行业 | 600292 | 远达环保 | 49.1  |  71.3  | -5.8  |  -2.6   |  -5.7   |
| 环保行业 | 688101 |  三达膜  | 47.2  |  20.3  | -7.9  |  -7.2   |  -3.9   |
| 环保行业 | 688057 |  金达莱  | 47.0  |  12.2  | -6.3  |  -7.2   |  -5.7   |
| 环保行业 | 300388 | 节能国祯 | 46.5  |  21.4  | -5.0  |  -5.4   |  -5.5   |
| 环保行业 | 300614 | 百川畅银 | 45.2  |  41.1  | -7.7  |  -9.7   |  -13.4  |
| 环保行业 | 002717 | 岭南股份 | 45.1  | -18.9  | -4.6  |  -6.9   |  -6.9   |
| 环保行业 | 301127 | 天源环保 | 45.0  |  58.8  | -5.8  |  -8.3   |  -7.6   |
| 环保行业 | 603324 | 盛剑环境 | 43.0  |  76.2  | -4.5  |  -8.6   |  -5.2   |
| 环保行业 | 002479 | 富春环保 | 42.5  |  52.5  | -5.9  |  -7.5   |  -6.1   |
| 环保行业 | 603686 |  福龙马  | 42.0  |  13.3  | -5.0  |  -3.1   |  -1.4   |
| 环保行业 | 300187 | 永清环保 | 41.8  | 129.4  | -8.6  |  -10.5  |  -15.4  |
| 环保行业 | 000551 | 创元科技 | 40.9  |  27.1  |  2.3  |   7.4   |  11.4   |
| 环保行业 | 603126 | 中材节能 | 40.8  |  31.9  | -7.5  |  -8.5   |  -7.1   |
| 环保行业 | 600526 | 菲达环保 | 37.7  | 239.3  | -6.9  |  -8.8   |  -10.0  |
| 环保行业 | 300664 | 鹏鹞环保 | 37.5  |  13.0  | -6.2  |  -7.0   |  -7.4   |
| 环保行业 | 300800 | 力合科技 | 37.0  |  25.7  | -6.2  |  -7.2   |  -4.1   |
| 环保行业 | 603817 | 海峡环保 | 36.9  |  23.2  | -7.6  |  -5.7   |  -7.0   |
| 环保行业 | 000068 | 华控赛格 | 36.7  | -94.4  | -4.7  |  -6.7   |  -7.8   |
| 环保行业 | 300190 |  维尔利  | 36.7  |  29.8  | -4.9  |  -5.4   |  -6.0   |
| 环保行业 | 603603 | *ST博天  | 35.1  | -10.1  | -5.0  |  -9.7   |  -9.7   |
| 环保行业 | 001230 | 劲旅环境 | 35.1  |  28.9  | -6.8  |  -10.1  |  -9.9   |
| 环保行业 | 000920 | 沃顿科技 | 35.1  |  43.1  | -6.8  |  -7.6   |  -5.1   |
| 环保行业 | 300172 | 中电环保 | 34.6  |  23.9  | -4.8  |  -3.2   |  -4.1   |
| 环保行业 | 603797 | 联泰环保 | 33.8  |  12.4  | -5.8  |  -6.0   |  -6.6   |
| 环保行业 | 300864 | 南大环境 | 32.6  |  22.6  | -8.2  |  -8.3   |  -6.4   |
| 环保行业 | 300631 | 久吾高科 | 32.5  | 179.2  | -7.7  |  -5.6   |  -3.1   |
| 环保行业 | 300425 | 中建环能 | 31.9  |  32.7  | -7.1  |  -6.9   |  -6.9   |
| 环保行业 | 300137 | 先河环保 | 31.5  | 141.5  | -5.2  |  -6.2   |  -8.4   |
| 环保行业 | 301030 | 仕净科技 | 31.3  |  61.3  | -3.5  |   3.2   |   8.9   |
| 环保行业 | 300692 | 中环环保 | 30.9  |  17.0  | -5.3  |  -5.8   |  -6.2   |
| 环保行业 | 301148 | 嘉戎技术 | 30.4  |  36.5  | -6.7  |  -7.0   |  -3.6   |
| 环保行业 | 301259 |  艾布鲁  | 30.1  |  66.2  | -9.6  |  -11.1  |  -14.2  |
| 环保行业 | 300422 |  博世科  | 29.8  |  -8.1  | -5.4  |  -7.2   |  -6.8   |
| 环保行业 | 300786 | 国林科技 | 29.7  | 175.8  | -1.5  |  -2.7   |  14.8   |
| 环保行业 | 603200 | 上海洗霸 | 29.6  |  29.3  | -8.5  |  -11.7  |  -5.9   |
| 环保行业 | 300140 | 中环装备 | 29.1  | -159.5 | -6.2  |  -6.6   |  -7.1   |
| 环保行业 | 300056 | 中创环保 | 28.5  | 169.4  | -4.2  |  10.0   |   4.4   |
| 环保行业 | 603177 | 德创环保 | 28.3  |  70.0  | -8.0  |  -9.7   |  -9.2   |
| 环保行业 | 688069 |  德林海  | 27.4  | 221.8  | -4.4  |  -5.2   |  -3.9   |
| 环保行业 | 301049 | 超越科技 | 27.3  |  80.9  | -8.3  |  -6.2   |  -13.4  |
| 环保行业 | 300958 | 建工修复 | 27.1  |  43.5  | -8.6  |  -9.1   |  -7.2   |
| 环保行业 | 603903 | 中持股份 | 26.7  |  31.6  | -1.2  |   1.0   |   1.1   |
| 环保行业 | 000711 | 京蓝科技 | 26.0  |  -7.4  | -3.8  |  -7.0   |  -6.6   |
| 环保行业 | 301288 | 清研环境 | 25.7  | 100.6  | -10.3 |  -11.7  |  -8.2   |
| 环保行业 | 002887 | 绿茵生态 | 25.5  |  22.1  | -7.0  |  -8.2   |  -7.6   |
| 环保行业 | 301081 | 严牌股份 | 25.4  |  28.4  | -6.1  |  -5.5   |  -8.0   |
| 环保行业 | 300152 | 科融环境 | 25.0  | 320.0  | -6.2  |  -6.9   |  -7.9   |
| 环保行业 | 300961 | 深水海纳 | 23.6  |  96.0  | -7.2  |  -11.2  |  -5.3   |
| 环保行业 | 000820 | *ST节能  | 23.6  | -213.0 | -4.9  |  -5.1   |  -8.0   |
| 环保行业 | 003027 | 同兴环保 | 22.3  |  17.4  | -6.5  |  -8.4   |  -7.7   |
| 环保行业 | 300385 | 雪浪环境 | 22.2  | 247.4  | -5.3  |  -6.3   |  -5.4   |
| 环保行业 | 605069 | 正和生态 | 22.1  | -22.6  | -6.6  |  -8.9   |  -10.1  |
| 环保行业 | 300334 | 津膜科技 | 22.0  | -42.5  | -6.9  |  -9.2   |  -5.6   |
| 环保行业 | 301068 | 大地海洋 | 21.6  |  94.7  | -5.3  |  -9.2   |  -8.7   |
| 环保行业 | 688335 | 复洁环保 | 21.1  |  29.1  | -5.3  |  -4.1   |  -2.2   |
| 环保行业 | 688021 | 奥福环保 | 20.7  |  52.2  | -5.2  |  -6.8   |  -1.9   |
| 环保行业 | 300948 | 冠中生态 | 20.7  | 153.9  | -9.4  |  -11.1  |  -9.4   |
| 环保行业 | 300262 | 巴安水务 | 20.7  |  -9.6  | -5.8  |  -8.0   |  -6.7   |
| 环保行业 | 688156 | 路德环境 | 19.4  | 126.2  | -2.0  |  -0.9   |  -0.5   |
| 环保行业 | 300335 | 迪森股份 | 19.1  | 183.3  | -5.7  |  -9.1   |   0.6   |
| 环保行业 | 605081 |  太和水  | 18.7  |  60.6  | -5.0  |  -6.3   |  -6.3   |
| 环保行业 | 300854 | 中兰环保 | 18.5  | -53.7  | -9.7  |  -12.6  |  -14.5  |
| 环保行业 | 000005 |  ST星源  | 18.2  | 290.8  | -5.0  |  -6.0   |  -4.4   |
| 环保行业 | 688659 | 元琛科技 | 17.6  |  91.2  | -7.2  |  -4.2   |  -1.3   |
| 环保行业 | 300929 | 华骐环保 | 17.3  |  26.6  | -7.1  |  -8.7   |  -7.6   |
| 环保行业 | 300210 | 森远股份 | 16.6  | -26.4  | -4.2  |  -5.2   |  -2.8   |
| 环保行业 | 688466 | 金科环境 | 16.3  |  72.9  | -4.9  |  -5.3   |  -4.5   |
| 环保行业 | 688501 | 青达环保 | 15.9  | -68.1  | -1.9  |   5.0   |   4.8   |
| 环保行业 | 688565 | 力源科技 | 15.9  |  65.3  | -5.8  |  -5.2   |  -5.5   |
