[行业>市值]
+----------+--------+------------+--------+---------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+---------+------+---------+---------+
| 生物制品 | 300122 |  智飞生物  | 1531.0 |  19.9   | -2.1 |  -6.2   |  -11.5  |
| 生物制品 | 688235 | 百济神州-U | 1289.0 |  -11.2  | -3.7 |  -6.3   |  -9.4   |
| 生物制品 | 000661 |  长春高新  | 820.0  |  18.0   | 3.7  |   1.4   |  -1.7   |
| 生物制品 | 300142 |  沃森生物  | 650.4  |  421.0  | -4.8 |  -4.8   |  -7.7   |
| 生物制品 | 688180 | 君实生物-U | 535.7  |  -33.8  | -3.3 |  -5.8   |  -8.8   |
| 生物制品 | 688185 |   康希诺   | 374.4  |  77.1   | -5.4 |  -5.8   |  -9.7   |
| 生物制品 | 002252 |  上海莱士  | 365.4  |  16.7   | -4.6 |  -7.8   |  -9.8   |
| 生物制品 | 300601 |  康泰生物  | 361.6  |  33.0   | -1.7 |  -6.8   |  -11.2  |
| 生物制品 | 002007 |  华兰生物  | 350.3  |  37.4   | -3.5 |  -5.7   |  -6.8   |
| 生物制品 | 600161 |  天坛生物  | 324.9  |  42.2   | -2.1 |  -3.9   |  -7.8   |
| 生物制品 | 688331 |  荣昌生物  | 258.0  |  -22.5  | -1.6 |  -7.1   |  -6.5   |
| 生物制品 | 688276 |  百克生物  | 251.0  |  362.4  | 0.6  |   4.7   |   1.8   |
| 生物制品 | 300357 |  我武生物  | 240.7  |  66.5   | -2.7 |  -1.5   |  -4.0   |
| 生物制品 | 688520 | 神州细胞-U | 237.5  |  -41.4  | -3.0 |  -3.6   |  -2.3   |
| 生物制品 | 603087 |  甘李药业  | 216.8  |  47.8   | -4.7 |  -7.5   |  -8.3   |
| 生物制品 | 688739 |  成大生物  | 192.5  |  31.9   | -4.4 |  -5.8   |  -6.3   |
| 生物制品 | 301207 |  华兰疫苗  | 186.9  | -5498.3 | -4.2 |  -5.8   |  -7.6   |
| 生物制品 | 600867 |  通化东宝  | 185.5  |   5.6   | -3.1 |  -5.4   |  -4.8   |
| 生物制品 | 300294 |  博雅生物  | 159.8  |  38.6   | -3.2 |  -6.2   |  -3.7   |
| 生物制品 | 301047 |  义翘神州  | 143.5  |  31.4   | -5.0 |  -6.6   |  -9.2   |
| 生物制品 | 300009 |  安科生物  | 143.5  |  20.8   | -4.2 |  -7.6   |  -8.1   |
| 生物制品 | 688046 |  药康生物  | 138.4  |  114.1  | -1.2 |   0.0   |   6.2   |
| 生物制品 | 000403 |  派林生物  | 136.4  |  32.3   | -2.6 |  -6.0   |  -9.4   |
| 生物制品 | 002581 |  未名医药  | 128.0  | 1744.2  | -3.6 |   9.9   |   9.5   |
| 生物制品 | 300841 |  康华生物  | 127.1  |  23.5   | -3.9 |  -4.0   |  -9.1   |
| 生物制品 | 688278 |  特宝生物  | 102.3  |  44.5   | -4.3 |  -5.9   |  -4.8   |
| 生物制品 | 002038 |  双鹭药业  |  94.6  |  37.4   | -4.1 |  -4.4   |  -5.8   |
| 生物制品 | 688336 |  三生国健  |  84.1  | 6021.0  | -6.5 |  -8.2   |  -8.3   |
| 生物制品 | 600645 |  中源协和  |  79.9  |  55.8   | -5.1 |  -6.2   |  -6.2   |
| 生物制品 | 688177 |   百奥泰   |  78.5  |  -17.8  | -4.7 |  -9.3   |  -9.0   |
| 生物制品 | 688382 | 益方生物-U |  77.0  |  -17.1  | -7.1 |  -14.8  |  -12.4  |
| 生物制品 | 000534 |  万泽股份  |  72.0  |  48.3   | -4.0 |  -5.5   |  -0.8   |
| 生物制品 | 688319 |  欧林生物  |  68.1  | -250.1  | -0.2 |  -2.2   |   0.4   |
| 生物制品 | 688176 | 亚虹医药-U |  65.7  |  -34.7  | -3.5 |  -4.0   |  -3.6   |
| 生物制品 | 688062 | 迈威生物-U |  61.5  |  -7.0   | -3.9 |  -4.9   |  -3.4   |
| 生物制品 | 300485 |  赛升药业  |  56.5  |  13.2   | -5.7 |  -7.0   |  -7.3   |
| 生物制品 | 300204 |   舒泰神   |  55.7  |  -57.0  | -8.2 |  -10.7  |   0.3   |
| 生物制品 | 002880 |  卫光生物  |  55.6  |  54.8   | -2.5 |  -4.8   |  -3.6   |
| 生物制品 | 688373 |  盟科药业  |  53.5  |  -26.2  | 0.0  |   0.0   |   0.0   |
| 生物制品 | 300683 |  海特生物  |  53.4  |  141.5  | -0.3 |  -3.1   |  -1.3   |
| 生物制品 | 688265 |  南模生物  |  52.2  |  93.8   | -1.7 |   3.1   |   7.8   |
| 生物制品 | 688136 |  科兴制药  |  49.4  |  42.4   | -4.9 |  -6.8   |  -7.1   |
| 生物制品 | 688488 |  艾迪药业  |  47.7  |  -53.5  | -6.9 |  -7.6   |  -2.9   |
| 生物制品 | 300239 |  东宝生物  |  47.7  |  50.2   | -5.5 |  -3.6   |   4.4   |
| 生物制品 | 603590 |  康辰药业  |  39.6  |  24.1   | -5.9 |  -6.0   |  -9.4   |
| 生物制品 | 688253 |  C英诺特   |  38.2  |  17.6   | -6.2 |  -15.0  |   7.6   |
| 生物制品 | 688302 | 海创药业-U |  35.6  |  -10.2  | -6.1 |  -7.4   |  -9.8   |
| 生物制品 | 688197 | 首药控股-U |  34.9  |  -17.2  | -3.4 |  -4.9   |  -6.2   |
| 生物制品 | 000518 |  四环生物  |  30.8  |  -33.1  | -4.2 |  -5.7   |  -6.3   |
| 生物制品 | 600530 |  交大昂立  |  28.9  |  78.7   | -5.1 |  -7.0   |  -7.0   |
| 生物制品 | 688687 |  凯因科技  |  27.7  |  27.8   | -5.8 |  -7.3   |  -6.5   |
| 生物制品 | 688163 |  赛伦生物  |  24.5  |  154.5  | -4.8 |  -5.7   |  -2.8   |
| 生物制品 | 688193 |  仁度生物  |  21.0  |  31.3   | -5.4 |  -5.0   |  -5.6   |
| 生物制品 | 002693 |  双成药业  |  19.6  |  672.6  | -4.2 |  -6.5   |  -8.7   |
+----------+--------+------------+--------+---------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+------------+--------+---------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+---------+------+---------+---------+
| 生物制品 | 000661 |  长春高新  | 820.0  |  18.0   | 3.7  |   1.4   |  -1.7   |
| 生物制品 | 688276 |  百克生物  | 251.0  |  362.4  | 0.6  |   4.7   |   1.8   |
| 生物制品 | 688373 |  盟科药业  |  53.5  |  -26.2  | 0.0  |   0.0   |   0.0   |
| 生物制品 | 688319 |  欧林生物  |  68.1  | -250.1  | -0.2 |  -2.2   |   0.4   |
| 生物制品 | 300683 |  海特生物  |  53.4  |  141.5  | -0.3 |  -3.1   |  -1.3   |
| 生物制品 | 688046 |  药康生物  | 138.4  |  114.1  | -1.2 |   0.0   |   6.2   |
| 生物制品 | 688331 |  荣昌生物  | 258.0  |  -22.5  | -1.6 |  -7.1   |  -6.5   |
| 生物制品 | 688265 |  南模生物  |  52.2  |  93.8   | -1.7 |   3.1   |   7.8   |
| 生物制品 | 300601 |  康泰生物  | 361.6  |  33.0   | -1.7 |  -6.8   |  -11.2  |
| 生物制品 | 300122 |  智飞生物  | 1531.0 |  19.9   | -2.1 |  -6.2   |  -11.5  |
| 生物制品 | 600161 |  天坛生物  | 324.9  |  42.2   | -2.1 |  -3.9   |  -7.8   |
| 生物制品 | 002880 |  卫光生物  |  55.6  |  54.8   | -2.5 |  -4.8   |  -3.6   |
| 生物制品 | 000403 |  派林生物  | 136.4  |  32.3   | -2.6 |  -6.0   |  -9.4   |
| 生物制品 | 300357 |  我武生物  | 240.7  |  66.5   | -2.7 |  -1.5   |  -4.0   |
| 生物制品 | 688520 | 神州细胞-U | 237.5  |  -41.4  | -3.0 |  -3.6   |  -2.3   |
| 生物制品 | 600867 |  通化东宝  | 185.5  |   5.6   | -3.1 |  -5.4   |  -4.8   |
| 生物制品 | 300294 |  博雅生物  | 159.8  |  38.6   | -3.2 |  -6.2   |  -3.7   |
| 生物制品 | 688180 | 君实生物-U | 535.7  |  -33.8  | -3.3 |  -5.8   |  -8.8   |
| 生物制品 | 688197 | 首药控股-U |  34.9  |  -17.2  | -3.4 |  -4.9   |  -6.2   |
| 生物制品 | 002007 |  华兰生物  | 350.3  |  37.4   | -3.5 |  -5.7   |  -6.8   |
| 生物制品 | 688176 | 亚虹医药-U |  65.7  |  -34.7  | -3.5 |  -4.0   |  -3.6   |
| 生物制品 | 002581 |  未名医药  | 128.0  | 1744.2  | -3.6 |   9.9   |   9.5   |
| 生物制品 | 688235 | 百济神州-U | 1289.0 |  -11.2  | -3.7 |  -6.3   |  -9.4   |
| 生物制品 | 688062 | 迈威生物-U |  61.5  |  -7.0   | -3.9 |  -4.9   |  -3.4   |
| 生物制品 | 300841 |  康华生物  | 127.1  |  23.5   | -3.9 |  -4.0   |  -9.1   |
| 生物制品 | 000534 |  万泽股份  |  72.0  |  48.3   | -4.0 |  -5.5   |  -0.8   |
| 生物制品 | 002038 |  双鹭药业  |  94.6  |  37.4   | -4.1 |  -4.4   |  -5.8   |
| 生物制品 | 301207 |  华兰疫苗  | 186.9  | -5498.3 | -4.2 |  -5.8   |  -7.6   |
| 生物制品 | 300009 |  安科生物  | 143.5  |  20.8   | -4.2 |  -7.6   |  -8.1   |
| 生物制品 | 000518 |  四环生物  |  30.8  |  -33.1  | -4.2 |  -5.7   |  -6.3   |
| 生物制品 | 002693 |  双成药业  |  19.6  |  672.6  | -4.2 |  -6.5   |  -8.7   |
| 生物制品 | 688278 |  特宝生物  | 102.3  |  44.5   | -4.3 |  -5.9   |  -4.8   |
| 生物制品 | 688739 |  成大生物  | 192.5  |  31.9   | -4.4 |  -5.8   |  -6.3   |
| 生物制品 | 002252 |  上海莱士  | 365.4  |  16.7   | -4.6 |  -7.8   |  -9.8   |
| 生物制品 | 603087 |  甘李药业  | 216.8  |  47.8   | -4.7 |  -7.5   |  -8.3   |
| 生物制品 | 688177 |   百奥泰   |  78.5  |  -17.8  | -4.7 |  -9.3   |  -9.0   |
| 生物制品 | 688163 |  赛伦生物  |  24.5  |  154.5  | -4.8 |  -5.7   |  -2.8   |
| 生物制品 | 300142 |  沃森生物  | 650.4  |  421.0  | -4.8 |  -4.8   |  -7.7   |
| 生物制品 | 688136 |  科兴制药  |  49.4  |  42.4   | -4.9 |  -6.8   |  -7.1   |
| 生物制品 | 301047 |  义翘神州  | 143.5  |  31.4   | -5.0 |  -6.6   |  -9.2   |
| 生物制品 | 600645 |  中源协和  |  79.9  |  55.8   | -5.1 |  -6.2   |  -6.2   |
| 生物制品 | 600530 |  交大昂立  |  28.9  |  78.7   | -5.1 |  -7.0   |  -7.0   |
| 生物制品 | 688193 |  仁度生物  |  21.0  |  31.3   | -5.4 |  -5.0   |  -5.6   |
| 生物制品 | 688185 |   康希诺   | 374.4  |  77.1   | -5.4 |  -5.8   |  -9.7   |
| 生物制品 | 300239 |  东宝生物  |  47.7  |  50.2   | -5.5 |  -3.6   |   4.4   |
| 生物制品 | 300485 |  赛升药业  |  56.5  |  13.2   | -5.7 |  -7.0   |  -7.3   |
| 生物制品 | 688687 |  凯因科技  |  27.7  |  27.8   | -5.8 |  -7.3   |  -6.5   |
| 生物制品 | 603590 |  康辰药业  |  39.6  |  24.1   | -5.9 |  -6.0   |  -9.4   |
| 生物制品 | 688302 | 海创药业-U |  35.6  |  -10.2  | -6.1 |  -7.4   |  -9.8   |
| 生物制品 | 688253 |  C英诺特   |  38.2  |  17.6   | -6.2 |  -15.0  |   7.6   |
| 生物制品 | 688336 |  三生国健  |  84.1  | 6021.0  | -6.5 |  -8.2   |  -8.3   |
| 生物制品 | 688488 |  艾迪药业  |  47.7  |  -53.5  | -6.9 |  -7.6   |  -2.9   |
| 生物制品 | 688382 | 益方生物-U |  77.0  |  -17.1  | -7.1 |  -14.8  |  -12.4  |
| 生物制品 | 300204 |   舒泰神   |  55.7  |  -57.0  | -8.2 |  -10.7  |   0.3   |
+----------+--------+------------+--------+---------+------+---------+---------+
