[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 电力行业 | 600900 | 长江电力 | 5372.0 |  42.8   | -0.7  |  -1.2   |  -2.0   |
| 电力行业 | 600905 | 三峡能源 | 1726.0 |  16.8   | -2.6  |  -3.5   |  -3.5   |
| 电力行业 | 001289 | 龙源电力 | 1653.0 |  18.3   | -5.0  |  -6.8   |  -5.9   |
| 电力行业 | 003816 | 中国广核 | 1353.0 |  11.9   | -2.2  |  -3.2   |  -3.2   |
| 电力行业 | 600025 | 华能水电 | 1251.0 |  16.3   | -2.4  |  -2.1   |  -0.7   |
| 电力行业 | 601985 | 中国核电 | 1107.0 |   9.6   | -2.8  |  -5.3   |  -5.5   |
| 电力行业 | 600011 | 华能国际 | 1017.0 |  -16.9  | -4.3  |  -6.8   |  -3.0   |
| 电力行业 | 600886 | 国投电力 | 754.4  |  18.2   | -2.3  |  -2.0   |  -3.8   |
| 电力行业 | 600795 | 国电电力 | 658.1  |  15.6   | -3.7  |  -3.4   |  -4.7   |
| 电力行业 | 600674 | 川投能源 | 546.5  |  17.5   | -3.0  |  -1.7   |  -4.1   |
| 电力行业 | 601991 | 大唐发电 | 484.9  |  -29.6  | -5.1  |  -4.0   |  -4.4   |
| 电力行业 | 600236 | 桂冠电力 | 465.8  |  15.3   | -3.1  |  -4.5   |  -5.6   |
| 电力行业 | 600023 | 浙能电力 | 461.1  |  18.4   | -1.7  |  -2.9   |  -3.4   |
| 电力行业 | 600027 | 华电国际 | 421.4  |  17.1   | -2.3  |  -0.5   |  -1.4   |
| 电力行业 | 600157 | 永泰能源 | 371.0  |  28.4   | -2.9  |  -4.6   |  -4.6   |
| 电力行业 | 000155 | 川能动力 | 317.8  |  36.3   | -6.3  |  -9.0   |  -12.6  |
| 电力行业 | 000883 | 湖北能源 | 314.7  |  14.3   | -3.2  |  -4.6   |  -1.6   |
| 电力行业 | 000027 | 深圳能源 | 290.2  |  13.1   | -3.8  |  -4.4   |  -3.9   |
| 电力行业 | 600642 | 申能股份 | 281.5  |  34.9   | -2.7  |  -2.0   |   0.7   |
| 电力行业 | 600032 | 浙江新能 | 277.9  |  34.0   | -6.7  |  -5.9   |  -6.4   |
| 电力行业 | 002015 | 协鑫能科 | 258.1  |  37.9   | -5.6  |  -7.8   |  -7.6   |
| 电力行业 | 601016 | 节能风电 | 253.1  |  15.0   | -6.3  |  -4.0   |  -4.0   |
| 电力行业 | 002608 | 江苏国信 | 252.0  |  17.5   | -6.2  |   0.3   |  -0.3   |
| 电力行业 | 600021 | 上海电力 | 250.4  |  61.8   | -5.4  |  -7.7   |  -6.5   |
| 电力行业 | 000591 |  太阳能  | 248.7  |  23.8   | -4.5  |  -1.7   |  -0.2   |
| 电力行业 | 600863 | 内蒙华电 | 222.6  |   9.5   | -5.0  |  -5.8   |  -6.6   |
| 电力行业 | 000537 | 广宇发展 | 220.7  |  40.8   | -7.6  |  -11.0  |  -14.2  |
| 电力行业 | 600483 | 福能股份 | 218.5  |   8.5   | -4.1  |  -4.9   |  -4.8   |
| 电力行业 | 600578 | 京能电力 | 215.3  |  18.4   | -5.8  |  -5.8   |  -6.1   |
| 电力行业 | 000539 | 粤电力Ａ  | 214.7  |  -11.9  | -5.1  |  -4.7   |  -4.7   |
| 电力行业 | 601908 |  京运通  | 210.1  |  588.5  | -5.2  |  -5.4   |  -2.8   |
| 电力行业 | 600116 | 三峡水利 | 203.6  |  516.4  | -5.1  |  -3.5   |  -0.8   |
| 电力行业 | 600098 | 广州发展 | 194.9  |  18.7   | -4.8  |  -5.3   |  -5.3   |
| 电力行业 | 000875 | 吉电股份 | 184.4  |  11.1   | -8.4  |  -9.3   |  -8.3   |
| 电力行业 | 600167 | 联美控股 | 167.5  |   6.2   | -3.0  |  -0.9   |   1.2   |
| 电力行业 | 601778 | 晶科科技 | 154.0  |  -64.3  | -6.5  |  -6.3   |  -7.3   |
| 电力行业 | 000966 | 长源电力 | 140.8  |  44.0   | -5.4  |  -7.1   |  -7.2   |
| 电力行业 | 000899 | 赣能股份 | 133.7  | -3292.4 | -3.7  |  10.7   |  -7.7   |
| 电力行业 | 600163 | 中闽能源 | 131.5  |  11.3   | -6.0  |  -6.0   |  -4.6   |
| 电力行业 | 603693 | 江苏新能 | 126.1  |  24.6   | -8.0  |  -5.3   |  -4.7   |
| 电力行业 | 600452 | 涪陵电力 | 114.7  |  15.3   | -2.0  |   0.2   |   0.3   |
| 电力行业 | 000767 | 晋控电力 | 112.9  |  974.3  | -5.9  |  -5.7   |  -3.7   |
| 电力行业 | 600821 | 金开新能 | 107.9  |  15.5   | -5.4  |  -1.4   |  -0.7   |
| 电力行业 | 000690 | 宝新能源 | 104.2  |  694.8  | -2.8  |  -4.0   |  -5.5   |
| 电力行业 | 601619 | 嘉泽新能 | 103.9  |  13.1   | -6.6  |  -3.0   |  -2.3   |
| 电力行业 | 000543 | 皖能电力 | 101.3  |  18.4   | -4.7  |  -2.8   |  -3.7   |
| 电力行业 | 001896 | 豫能控股 |  90.0  |  -4.9   | -5.8  |  -5.8   |  -3.8   |
| 电力行业 | 000600 | 建投能源 |  85.1  |  30.6   | -5.9  |  -5.4   |  -6.3   |
| 电力行业 | 600744 | 华银电力 |  81.8  |  -18.4  | -5.0  |  -6.1   |  -5.9   |
| 电力行业 | 600995 | 文山电力 |  76.0  |  19.5   | -6.3  |  -7.1   |  -4.2   |
| 电力行业 | 000791 | 甘肃电投 |  75.0  |  -68.2  | -7.1  |  -6.8   |  -4.3   |
