[行业>市值]
+----------+--------+-------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+--------+------+---------+---------+
| 电子元件 | 300124 |  汇川技术   | 1750.0 |  61.0  | -1.1 |   0.3   |   8.8   |
| 电子元件 | 002179 |  中航光电   | 974.4  |  33.0  | -1.4 |  -3.3   |  -1.7   |
| 电子元件 | 002938 |  鹏鼎控股   | 800.3  |  33.7  | 2.1  |  11.1   |  16.8   |
| 电子元件 | 600884 |  杉杉股份   | 637.7  |  19.8  | -3.4 |   1.0   |   0.3   |
| 电子元件 | 000733 |  振华科技   | 609.3  |  25.1  | -2.2 |  -3.8   |  -3.9   |
| 电子元件 | 300408 |  三环集团   | 535.3  |  26.9  | -0.1 |   3.0   |   7.8   |
| 电子元件 | 002384 |  东山精密   | 492.4  |  33.8  | 0.1  |  11.0   |  24.0   |
| 电子元件 | 600563 |  法拉电子   | 468.2  |  57.3  | -1.1 |  -2.0   |  -0.8   |
| 电子元件 | 002916 |  深南电路   | 448.5  |  32.2  | -1.0 |  -1.8   |   0.3   |
| 电子元件 | 300390 |  天华超净   | 439.5  |  7.2   | -5.7 |  -5.8   |  -4.4   |
| 电子元件 | 688375 |  国博电子   | 413.7  | 103.1  | -3.5 |   3.5   |   7.7   |
| 电子元件 | 002414 |  高德红外   | 394.6  |  31.7  | -3.1 |  -5.3   |   0.1   |
| 电子元件 | 002008 |  大族激光   | 373.4  |  28.1  | 5.0  |  11.4   |  23.0   |
| 电子元件 | 688778 |  厦钨新能   | 369.8  |  34.7  | -1.1 |  -0.6   |   2.0   |
| 电子元件 | 600183 |  生益科技   | 368.8  |  19.1  | -1.9 |  -1.9   |   1.5   |
| 电子元件 | 002025 |  航天电器   | 318.4  |  50.1  | -0.9 |  -3.8   |   4.9   |
| 电子元件 | 603267 |  鸿远电子   | 279.4  |  27.0  | 1.3  |  -1.5   |   5.5   |
| 电子元件 | 002463 |  沪电股份   | 245.8  |  24.6  | 0.1  |   1.8   |   8.1   |
| 电子元件 | 002484 |  江海股份   | 232.1  |  49.4  | -1.5 |   3.3   |   8.1   |
| 电子元件 | 000988 |  华工科技   | 226.8  |  20.1  | -2.3 |  -1.2   |   2.5   |
| 电子元件 | 002138 |  顺络电子   | 219.6  |  37.4  | 0.5  |  10.6   |  16.0   |
| 电子元件 | 603678 |  火炬电子   | 217.1  |  28.0  | -3.6 |  -5.4   |  -3.0   |
| 电子元件 | 300726 |  宏达电子   | 213.7  |  30.4  | -2.1 |  -3.9   |   2.3   |
| 电子元件 | 002436 |  兴森科技   | 206.8  |  25.7  | 2.5  |   7.8   |  15.4   |
| 电子元件 | 603228 |  景旺电子   | 204.3  |  29.1  | 2.4  |   4.8   |  12.3   |
| 电子元件 | 000636 |  风华高科   | 199.6  |  27.7  | -3.3 |  -2.9   |   3.4   |
| 电子元件 | 300747 |  锐科激光   | 183.1  | 218.9  | 5.1  |   6.6   |  13.9   |
| 电子元件 | 002389 |  航天彩虹   | 182.3  | 131.3  | 0.1  |  -2.2   |   1.2   |
| 电子元件 | 688776 |  国光电气   | 161.8  |  97.2  | 4.0  |   1.0   |   3.5   |
| 电子元件 | 688322 | 奥比中光-UW | 161.3  | -66.2  | 3.5  |   2.8   |   6.6   |
| 电子元件 | 688800 |   瑞可达    | 157.4  |  70.6  | -0.1 |   1.5   |  13.0   |
| 电子元件 | 300476 |  胜宏科技   | 152.6  |  18.9  | 0.7  |   8.1   |   9.4   |
