[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 电网设备 | 600406 | 国电南瑞 | 1883.0 |  124.2  | -3.2  |  -1.2   |  -1.1   |
| 电网设备 | 600089 | 特变电工 | 895.4  |   7.2   | -4.4  |  -5.2   |  -5.9   |
| 电网设备 | 601877 | 正泰电器 | 738.3  |  31.4   | -4.5  |  -6.0   |  -6.1   |
| 电网设备 | 603606 | 东方电缆 | 541.8  |  48.7   | -1.3  |   1.9   |  -2.4   |
| 电网设备 | 600885 | 宏发股份 | 430.5  |  38.5   | -2.5  |   0.8   |   4.3   |
| 电网设备 | 002028 | 思源电气 | 338.7  |  35.8   |  0.5  |  -1.7   |  -1.6   |
| 电网设备 | 600517 | 国网英大 | 307.7  |  48.6   | -4.8  |  -5.3   |  -4.6   |
| 电网设备 | 601179 | 中国西电 | 250.7  |  48.0   | -5.6  |  -2.0   |  -1.0   |
| 电网设备 | 688248 | 南网科技 | 231.0  | 1275.8  | -2.3  |  -2.3   |   0.6   |
| 电网设备 | 000400 | 许继电气 | 211.4  |  52.5   | -4.4  |   1.1   |   3.8   |
| 电网设备 | 300001 |  特锐德  | 186.4  |  272.9  | -6.9  |  -4.6   |  -2.7   |
| 电网设备 | 601567 | 三星医疗 | 168.2  |  25.6   | -3.3  |  -8.6   |  -7.7   |
| 电网设备 | 002706 | 良信股份 | 161.9  |  56.1   | -1.6  |  -0.4   |  -2.0   |
| 电网设备 | 688676 | 金盘科技 | 147.5  |  87.9   |  1.6  |   0.1   |   6.1   |
| 电网设备 | 601126 | 四方股份 | 147.3  |  28.6   | -4.9  |   2.7   |   3.5   |
| 电网设备 | 600869 | 远东股份 | 144.7  |  41.8   | -4.8  |  -11.2  |  -5.5   |
| 电网设备 | 002498 | 汉缆股份 | 141.4  |  26.2   | -6.4  |  -5.1   |  -7.6   |
| 电网设备 | 600577 | 精达股份 | 139.1  |  34.0   |  2.2  |   5.5   |  14.1   |
| 电网设备 | 002121 | 科陆电子 | 126.0  |  -67.0  | -6.4  |  -10.2  |  -6.4   |
| 电网设备 | 301031 | 中熔电气 | 114.7  |  86.2   | -0.2  |   6.2   |  12.0   |
| 电网设备 | 600312 | 平高电气 | 107.9  |  67.4   | -5.2  |  -3.6   |  -3.5   |
| 电网设备 | 000682 | 东方电子 | 103.6  |  42.6   | -4.7  |  -2.8   |  -0.9   |
| 电网设备 | 002276 | 万马股份 | 102.8  |  63.3   | -0.5  |  13.0   |  15.6   |
| 电网设备 | 600550 | 保变电气 | 102.2  |  202.3  | -6.6  |  -4.8   |   0.5   |
| 电网设备 | 603191 | 望变电气 |  97.1  |  66.3   | -0.0  |   2.2   |   6.8   |
| 电网设备 | 605222 | 起帆电缆 |  92.6  |  15.4   | -5.9  |  -8.8   |  -9.5   |
| 电网设备 | 603070 | 万控智造 |  89.0  |  122.7  | -2.5  |   5.4   |   7.9   |
| 电网设备 | 688330 |  宏力达  |  89.0  |  19.7   | -4.0  |  -3.0   |  -1.9   |
