[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 纺织服装 | 300979 | 华利集团 | 669.3 |  21.4   | -5.2  |  -7.8   |  -11.6  |
| 纺织服装 | 600177 |  雅戈尔  | 292.1 |   3.5   | -2.5  |  -4.0   |  -2.9   |
| 纺织服装 | 600398 | 海澜之家 | 191.8 |   6.6   | -3.3  |  -3.3   |  -2.6   |
| 纺织服装 | 002291 |  星期六  | 148.4 |  42.8   | -4.0  |  -3.5   |  -4.2   |
| 纺织服装 | 601718 | 际华集团 | 144.0 |  33.8   | -3.8  |  -6.3   |  -1.5   |
| 纺织服装 | 002563 | 森马服饰 | 139.6 |  16.7   | -3.0  |  -3.9   |  -2.8   |
| 纺织服装 | 002612 | 朗姿股份 | 136.4 | -1520.7 | -4.2  |  -7.5   |  -5.3   |
| 纺织服装 | 603055 | 台华新材 | 129.2 |  28.1   | -3.6  |  -1.1   |  -3.8   |
| 纺织服装 | 002832 | 比音勒芬 | 124.5 |  14.6   | -1.0  |   1.8   |   1.5   |
| 纺织服装 | 600400 | 红豆股份 | 115.8 |  96.9   | -3.1  |  -4.0   |  -5.8   |
| 纺织服装 | 002003 | 伟星股份 | 107.5 |  41.2   | -2.9  |   0.8   |   1.4   |
| 纺织服装 | 603877 |  太平鸟  | 94.6  |  12.4   | -3.0  |  -2.5   |   0.8   |
| 纺织服装 | 002293 | 罗莱生活 | 89.1  |  14.0   | -2.9  |  -4.8   |  -4.2   |
| 纺织服装 | 000982 | 中银绒业 | 84.4  | -418.2  | -5.3  |  -6.2   |  -4.8   |
| 纺织服装 | 601339 | 百隆东方 | 77.5  |   5.0   | -7.0  |  -5.1   |  -2.1   |
| 纺织服装 | 603665 |  康隆达  | 75.7  |  102.0  | -3.4  |  -3.9   |  -6.6   |
| 纺织服装 | 603587 | 地素时尚 | 66.3  |  11.0   | -2.6  |  -2.6   |  -6.2   |
| 纺织服装 | 603511 | 爱慕股份 | 66.1  |  12.7   | -5.6  |  -5.7   |  -4.2   |
| 纺织服装 | 603908 |  牧高笛  | 65.6  |  44.6   | -4.5  |   5.3   |   1.3   |
| 纺织服装 | 000726 |  鲁泰Ａ   | 65.0  |  10.2   | -4.9  |  -5.7   |  -6.8   |
| 纺织服装 | 300005 |  探路者  | 64.0  |  194.6  | -5.8  |  -4.0   |  -3.9   |
| 纺织服装 | 605138 | 盛泰集团 | 61.6  |  25.0   | -6.0  |  -8.8   |  -7.0   |
| 纺织服装 | 002327 |  富安娜  | 61.4  |  14.6   | -3.6  |  -3.6   |  -3.1   |
| 纺织服装 | 002042 | 华孚时尚 | 58.7  |   9.8   | -5.0  |  -7.3   |  -6.2   |
| 纺织服装 | 605080 | 浙江自然 | 58.0  |  17.1   | -3.9  |  -0.9   |  -3.7   |
| 纺织服装 | 603555 |  贵人鸟  | 57.8  |  567.8  | -5.4  |  -7.5   |  -13.4  |
| 纺织服装 | 600220 | 江苏阳光 | 54.6  |  80.7   | -5.8  |  -5.6   |  -1.3   |
| 纺织服装 | 002154 |  报喜鸟  | 54.3  |   6.6   | -5.3  |  -6.8   |  -6.8   |
| 纺织服装 | 600987 | 航民股份 | 52.3  |   9.5   | -4.0  |  -5.1   |  -4.2   |
| 纺织服装 | 601566 |  九牧王  | 45.6  |  -19.9  | -4.3  |  -6.0   |  -3.8   |
| 纺织服装 | 002269 | 美邦服饰 | 42.0  |  -6.8   | -4.6  |  -6.2   |  -6.2   |
| 纺织服装 | 002083 | 孚日股份 | 41.7  |  11.8   | -1.9  |  -3.8   |   5.0   |
| 纺织服装 | 002029 |  七匹狼  | 39.7  |  21.9   | -4.0  |  -4.7   |  -3.7   |
| 纺织服装 | 603558 | 健盛集团 | 39.5  |  12.0   | -5.0  |  -5.1   |  -6.8   |
| 纺织服装 | 301088 | 戎美股份 | 38.5  |  20.1   | -5.8  |  -7.1   |  -6.6   |
| 纺织服装 | 601599 | 浙文影业 | 38.2  |  28.9   | -4.9  |  -8.1   |  -7.6   |
| 纺织服装 | 002503 |  搜于特  | 37.5  |  -7.4   | -5.4  |  -7.5   |  -6.8   |
| 纺织服装 | 003016 | 欣贺股份 | 36.6  |  14.7   | -9.7  |  -0.2   |   0.9   |
| 纺织服装 | 603365 | 水星家纺 | 36.3  |  10.7   | -4.8  |  -6.1   |  -4.6   |
| 纺织服装 | 002674 | 兴业科技 | 36.2  |  232.4  | -5.6  |   3.6   |  13.4   |
| 纺织服装 | 002397 | 梦洁股份 | 36.0  |  -97.7  | -2.7  |   4.4   |   4.2   |
| 纺织服装 | 000850 | 华茂股份 | 34.5  |  -5.5   | -3.4  |  -4.9   |  -5.2   |
| 纺织服装 | 002404 | 嘉欣丝绸 | 33.6  |  30.6   | -4.6  |  -4.9   |  -4.3   |
| 纺织服装 | 603808 |  歌力思  | 32.3  |  17.2   | -5.6  |  -6.4   |  -5.1   |
| 纺织服装 | 300918 | 南山智尚 | 31.6  |  22.7   | -6.1  |  -5.6   |  -2.3   |
| 纺织服装 | 300577 | 开润股份 | 31.5  |  16.9   | -7.2  |  -7.7   |  -8.2   |
| 纺织服装 | 002763 | 汇洁股份 | 30.6  |   8.9   | -2.9  |  -3.0   |  -2.1   |
| 纺织服装 | 603116 |  红蜻蜓  | 30.2  |  55.0   | -4.5  |  -3.1   |  -3.7   |
| 纺织服装 | 603889 | 新澳股份 | 30.0  |  10.1   | -4.1  |  -4.1   |  -4.9   |
| 纺织服装 | 301108 | 洁雅股份 | 29.5  |  15.6   | -7.5  |  -8.6   |  -7.1   |
| 纺织服装 | 603001 | 奥康国际 | 28.9  |  61.8   | -5.3  |  -4.2   |  -4.4   |
| 纺织服装 | 605055 | 迎丰股份 | 28.5  |  89.2   | -4.7  |  -4.8   |  -4.3   |
| 纺织服装 | 603518 | 锦泓集团 | 27.3  |  16.6   | -3.0  |  -1.9   |  -1.0   |
| 纺织服装 | 002762 | 金发拉比 | 27.2  |  110.3  | -7.2  |  -10.6  |  -5.5   |
| 纺织服装 | 600735 |  新华锦  | 27.1  |  39.8   | -6.9  |  -10.5  |  -8.0   |
| 纺织服装 | 603839 | 安正时尚 | 26.7  |  31.4   | -3.9  |  -5.3   |  -3.9   |
| 纺织服装 | 600630 | 龙头股份 | 26.6  |  -35.9  | -10.1 |  -11.7  |  -16.3  |
| 纺织服装 | 002722 | 物产金轮 | 25.7  |  17.6   | -0.1  |   1.7   |   4.0   |
| 纺织服装 | 002087 | 新野纺织 | 25.5  |  61.4   | -4.3  |  -4.9   |  -4.3   |
