[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 航天航空 | 600893 | 航发动力 | 1306.0 | 492.6  | -1.9  |  -6.3   |  -5.5   |
| 航天航空 | 600760 | 中航沈飞 | 1197.0 |  58.5  |  0.8  |  -1.3   |   5.8   |
| 航天航空 | 000768 | 中航西飞 | 843.1  | 136.3  | -2.3  |  -6.1   |  -3.8   |
| 航天航空 | 600765 | 中航重机 | 462.0  |  55.5  |  0.4  |  -2.4   |   2.4   |
| 航天航空 | 002013 | 中航机电 | 445.2  |  41.9  | -2.5  |  -4.2   |  -4.3   |
| 航天航空 | 600372 | 中航电子 | 361.9  |  45.0  | -1.4  |  -1.7   |  -1.0   |
| 航天航空 | 600862 | 中航高科 | 354.1  |  30.4  | -1.2  |  -4.1   |  -2.0   |
| 航天航空 | 000738 | 航发控制 | 353.3  |  41.3  | -1.3  |  -5.0   |  -3.7   |
| 航天航空 | 688297 | 中无人机 | 343.3  |  63.8  |  2.2  |  -3.7   |  -2.0   |
| 航天航空 | 300474 |  景嘉微  | 268.2  |  86.7  | -1.6  |  -5.9   |  -4.9   |
| 航天航空 | 600118 | 中国卫星 | 254.4  | 130.1  | -2.9  |  -2.6   |   1.9   |
| 航天航空 | 600038 | 中直股份 | 246.4  | 546.8  | -2.8  |  -6.6   |  -2.2   |
| 航天航空 | 300775 | 三角防务 | 232.1  |  41.0  | -1.1  |  -2.5   |   0.1   |
| 航天航空 | 600316 | 洪都航空 | 201.7  | 1101.4 |  0.4  |  -3.0   |   0.3   |
| 航天航空 | 600879 | 航天电子 | 180.8  |  27.1  | -2.1  |  -1.5   |   1.8   |
| 航天航空 | 002985 | 北摩高科 | 179.3  |  42.6  | -10.0 |  -14.9  |  -8.8   |
| 航天航空 | 688586 | 江航装备 | 101.7  |  44.9  | -3.7  |  -3.6   |   3.2   |
| 航天航空 | 688239 | 航宇科技 |  97.3  |  46.9  |  4.0  |   2.9   |  21.0   |
| 航天航空 | 300696 |  爱乐达  |  96.2  |  36.4  | -1.9  |  -7.2   |  -7.9   |
| 航天航空 | 300581 | 晨曦航空 |  83.9  | 327.5  |  4.0  |   2.2   |  10.2   |
| 航天航空 | 003009 | 中天火箭 |  82.3  |  53.5  | 10.0  |   8.1   |  13.5   |
| 航天航空 | 002023 | 海特高新 |  76.3  |  91.3  | -2.2  |  -4.9   |   2.3   |
| 航天航空 | 300722 | 新余国科 |  67.3  | 151.7  |  6.0  |   2.9   |   8.7   |
| 航天航空 | 600391 | 航发科技 |  63.5  | -64.4  | -3.0  |  -6.9   |  -5.9   |
| 航天航空 | 300900 | 广联航空 |  58.8  |  87.3  | -2.7  |  -4.5   |  -1.7   |
| 航天航空 | 688237 | 超卓航科 |  56.3  |  54.7  | -2.0  |   3.8   |   2.6   |
| 航天航空 | 000697 | 炼石航空 |  52.2  | -15.4  | -3.5  |  -4.4   |  -1.3   |
| 航天航空 | 002297 | 博云新材 |  49.5  | 125.1  | -3.6  |  -5.7   |   2.2   |
| 航天航空 | 688510 | 航亚科技 |  48.1  | 623.7  | -4.3  |  -7.9   |  -4.0   |
| 航天航空 | 688070 | 纵横股份 |  47.6  | -520.0 | -3.1  |   3.5   |  23.5   |
| 航天航空 | 688287 | 观典防务 |  41.2  | 168.0  |  0.9  |   0.9   |   4.2   |
| 航天航空 | 603261 | 立航科技 |  39.6  | 208.9  |  0.0  |   1.3   |   5.6   |
| 航天航空 | 300424 | 航新科技 |  34.4  | -52.3  | 14.1  |  10.1   |  26.4   |
| 航天航空 | 300159 |  ST新研  |  33.1  | -25.8  |  4.2  |   2.8   |   0.9   |
| 航天航空 | 002933 | 新兴装备 |  32.4  |  84.6  | -1.3  |  -2.8   |   4.0   |
| 航天航空 | 688685 |  迈信林  |  31.7  |  69.3  | -1.9  |  -5.3   |   6.5   |
| 航天航空 | 300719 | 安达维尔 |  30.8  | -61.4  |  2.5  |   1.0   |   8.1   |
| 航天航空 | 300965 | 恒宇信通 |  29.4  | 1069.4 | -1.9  |  -3.0   |   0.9   |
+----------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 航天航空 | 300424 | 航新科技 |  34.4  | -52.3  | 14.1  |  10.1   |  26.4   |
| 航天航空 | 003009 | 中天火箭 |  82.3  |  53.5  | 10.0  |   8.1   |  13.5   |
| 航天航空 | 300722 | 新余国科 |  67.3  | 151.7  |  6.0  |   2.9   |   8.7   |
| 航天航空 | 300159 |  ST新研  |  33.1  | -25.8  |  4.2  |   2.8   |   0.9   |
| 航天航空 | 300581 | 晨曦航空 |  83.9  | 327.5  |  4.0  |   2.2   |  10.2   |
| 航天航空 | 688239 | 航宇科技 |  97.3  |  46.9  |  4.0  |   2.9   |  21.0   |
| 航天航空 | 300719 | 安达维尔 |  30.8  | -61.4  |  2.5  |   1.0   |   8.1   |
| 航天航空 | 688297 | 中无人机 | 343.3  |  63.8  |  2.2  |  -3.7   |  -2.0   |
| 航天航空 | 688287 | 观典防务 |  41.2  | 168.0  |  0.9  |   0.9   |   4.2   |
| 航天航空 | 600760 | 中航沈飞 | 1197.0 |  58.5  |  0.8  |  -1.3   |   5.8   |
| 航天航空 | 600765 | 中航重机 | 462.0  |  55.5  |  0.4  |  -2.4   |   2.4   |
| 航天航空 | 600316 | 洪都航空 | 201.7  | 1101.4 |  0.4  |  -3.0   |   0.3   |
| 航天航空 | 603261 | 立航科技 |  39.6  | 208.9  |  0.0  |   1.3   |   5.6   |
| 航天航空 | 300775 | 三角防务 | 232.1  |  41.0  | -1.1  |  -2.5   |   0.1   |
| 航天航空 | 600862 | 中航高科 | 354.1  |  30.4  | -1.2  |  -4.1   |  -2.0   |
| 航天航空 | 000738 | 航发控制 | 353.3  |  41.3  | -1.3  |  -5.0   |  -3.7   |
| 航天航空 | 002933 | 新兴装备 |  32.4  |  84.6  | -1.3  |  -2.8   |   4.0   |
| 航天航空 | 600372 | 中航电子 | 361.9  |  45.0  | -1.4  |  -1.7   |  -1.0   |
| 航天航空 | 300474 |  景嘉微  | 268.2  |  86.7  | -1.6  |  -5.9   |  -4.9   |
| 航天航空 | 300965 | 恒宇信通 |  29.4  | 1069.4 | -1.9  |  -3.0   |   0.9   |
| 航天航空 | 688685 |  迈信林  |  31.7  |  69.3  | -1.9  |  -5.3   |   6.5   |
| 航天航空 | 600893 | 航发动力 | 1306.0 | 492.6  | -1.9  |  -6.3   |  -5.5   |
| 航天航空 | 300696 |  爱乐达  |  96.2  |  36.4  | -1.9  |  -7.2   |  -7.9   |
| 航天航空 | 688237 | 超卓航科 |  56.3  |  54.7  | -2.0  |   3.8   |   2.6   |
| 航天航空 | 600879 | 航天电子 | 180.8  |  27.1  | -2.1  |  -1.5   |   1.8   |
| 航天航空 | 002023 | 海特高新 |  76.3  |  91.3  | -2.2  |  -4.9   |   2.3   |
| 航天航空 | 000768 | 中航西飞 | 843.1  | 136.3  | -2.3  |  -6.1   |  -3.8   |
| 航天航空 | 002013 | 中航机电 | 445.2  |  41.9  | -2.5  |  -4.2   |  -4.3   |
| 航天航空 | 300900 | 广联航空 |  58.8  |  87.3  | -2.7  |  -4.5   |  -1.7   |
| 航天航空 | 600038 | 中直股份 | 246.4  | 546.8  | -2.8  |  -6.6   |  -2.2   |
| 航天航空 | 600118 | 中国卫星 | 254.4  | 130.1  | -2.9  |  -2.6   |   1.9   |
| 航天航空 | 600391 | 航发科技 |  63.5  | -64.4  | -3.0  |  -6.9   |  -5.9   |
| 航天航空 | 688070 | 纵横股份 |  47.6  | -520.0 | -3.1  |   3.5   |  23.5   |
| 航天航空 | 000697 | 炼石航空 |  52.2  | -15.4  | -3.5  |  -4.4   |  -1.3   |
| 航天航空 | 002297 | 博云新材 |  49.5  | 125.1  | -3.6  |  -5.7   |   2.2   |
| 航天航空 | 688586 | 江航装备 | 101.7  |  44.9  | -3.7  |  -3.6   |   3.2   |
| 航天航空 | 688510 | 航亚科技 |  48.1  | 623.7  | -4.3  |  -7.9   |  -4.0   |
| 航天航空 | 002985 | 北摩高科 | 179.3  |  42.6  | -10.0 |  -14.9  |  -8.8   |
+----------+--------+----------+--------+--------+-------+---------+---------+
