[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 航运港口 | 601919 | 中远海控 | 2065.0 |  1.9  | -5.2 |  -6.4   |  -7.4   |
| 航运港口 | 600018 | 上港集团 | 1246.0 |  5.7  | -2.2 |  -3.8   |  -4.1   |
| 航运港口 | 600026 | 中远海能 | 626.9  | 626.2 | -3.1 |   4.0   |   5.5   |
| 航运港口 | 601018 |  宁波港  | 600.7  | 14.0  | -2.6 |  -3.8   |  -4.5   |
| 航运港口 | 601872 | 招商轮船 | 571.6  | 10.9  | -2.8 |   0.6   |   2.5   |
| 航运港口 | 601880 | 辽港股份 | 395.8  | 20.5  | -2.4 |  -2.4   |  -3.5   |
| 航运港口 | 601866 | 中远海发 | 364.1  |  6.6  | -3.6 |  -5.6   |  -6.4   |
| 航运港口 | 601298 |  青岛港  | 342.7  |  7.5  | -3.3 |  -4.0   |  -4.0   |
| 航运港口 | 001872 | 招商港口 | 298.0  |  8.7  | -1.3 |  -0.8   |   1.8   |
| 航运港口 | 603565 | 中谷物流 | 263.9  |  8.6  | -0.5 |  14.5   |  14.7   |
| 航运港口 | 601228 |  广州港  | 213.0  | 17.2  | -4.7 |  -7.5   |  -7.3   |
| 航运港口 | 601975 | 招商南油 | 179.6  | 20.7  | -6.6 |   1.9   |   3.1   |
| 航运港口 | 601326 | 秦港股份 | 155.9  | 11.6  | -5.1 |  -7.6   |  -10.3  |
| 航运港口 | 601000 |  唐山港  | 149.3  |  9.5  | -2.7 |  -4.2   |  -5.6   |
| 航运港口 | 000582 | 北部湾港 | 131.3  | 14.1  | -5.6 |  -6.9   |  -7.4   |
| 航运港口 | 600717 |  天津港  | 113.7  | 21.9  | -3.2 |  -3.2   |  -3.9   |
| 航运港口 | 002320 | 海峡股份 | 112.6  | 29.2  | -3.3 |  -3.4   |  -3.6   |
| 航运港口 | 000088 |  盐田港  | 110.2  | 33.0  | -3.0 |  -3.0   |  -3.2   |
| 航运港口 | 600428 | 中远海特 | 104.3  | 15.6  | -4.9 |  -6.0   |  -8.7   |
| 航运港口 | 600017 |  日照港  |  91.3  |  9.2  | -5.1 |  -6.6   |  -8.9   |
| 航运港口 | 600190 |  锦州港  |  60.9  | 33.3  | -4.4 |  -5.9   |  -7.6   |
| 航运港口 | 603209 | 兴通股份 |  58.7  | 30.0  | -1.8 |  -1.1   |  -0.0   |
| 航运港口 | 000507 |  珠海港  |  50.7  | 21.8  | -4.2 |  -4.5   |  -3.8   |
| 航运港口 | 601008 |  连云港  |  49.1  | 42.1  | -6.4 |  -9.6   |  -12.0  |
| 航运港口 | 000905 | 厦门港务 |  48.7  | 18.5  | -2.8 |  -4.3   |  -3.7   |
| 航运港口 | 600279 |  重庆港  |  46.6  | 247.4 | -4.2 |  -5.8   |  -8.0   |
| 航运港口 | 600798 | 宁波海运 |  46.0  | 36.2  | -4.3 |  -5.2   |  -5.7   |
| 航运港口 | 001205 | 盛航股份 |  37.8  | 24.1  | -3.0 |  -3.2   |  -3.1   |
| 航运港口 | 603167 | 渤海轮渡 |  32.8  | 21.4  | -2.7 |  -3.1   |  -3.1   |
| 航运港口 | 002040 |  南京港  |  32.3  | 21.9  | -4.3 |  -7.1   |  -7.1   |
| 航运港口 | 000520 | 长航凤凰 |  31.7  | 74.6  | -4.3 |  -4.9   |  -4.9   |
+----------+--------+----------+--------+-------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 航运港口 | 603565 | 中谷物流 | 263.9  |  8.6  | -0.5 |  14.5   |  14.7   |
| 航运港口 | 001872 | 招商港口 | 298.0  |  8.7  | -1.3 |  -0.8   |   1.8   |
| 航运港口 | 603209 | 兴通股份 |  58.7  | 30.0  | -1.8 |  -1.1   |  -0.0   |
| 航运港口 | 600018 | 上港集团 | 1246.0 |  5.7  | -2.2 |  -3.8   |  -4.1   |
| 航运港口 | 601880 | 辽港股份 | 395.8  | 20.5  | -2.4 |  -2.4   |  -3.5   |
| 航运港口 | 601018 |  宁波港  | 600.7  | 14.0  | -2.6 |  -3.8   |  -4.5   |
| 航运港口 | 603167 | 渤海轮渡 |  32.8  | 21.4  | -2.7 |  -3.1   |  -3.1   |
| 航运港口 | 601000 |  唐山港  | 149.3  |  9.5  | -2.7 |  -4.2   |  -5.6   |
| 航运港口 | 000905 | 厦门港务 |  48.7  | 18.5  | -2.8 |  -4.3   |  -3.7   |
| 航运港口 | 601872 | 招商轮船 | 571.6  | 10.9  | -2.8 |   0.6   |   2.5   |
| 航运港口 | 000088 |  盐田港  | 110.2  | 33.0  | -3.0 |  -3.0   |  -3.2   |
| 航运港口 | 001205 | 盛航股份 |  37.8  | 24.1  | -3.0 |  -3.2   |  -3.1   |
| 航运港口 | 600026 | 中远海能 | 626.9  | 626.2 | -3.1 |   4.0   |   5.5   |
| 航运港口 | 600717 |  天津港  | 113.7  | 21.9  | -3.2 |  -3.2   |  -3.9   |
| 航运港口 | 002320 | 海峡股份 | 112.6  | 29.2  | -3.3 |  -3.4   |  -3.6   |
| 航运港口 | 601298 |  青岛港  | 342.7  |  7.5  | -3.3 |  -4.0   |  -4.0   |
| 航运港口 | 601866 | 中远海发 | 364.1  |  6.6  | -3.6 |  -5.6   |  -6.4   |
| 航运港口 | 600279 |  重庆港  |  46.6  | 247.4 | -4.2 |  -5.8   |  -8.0   |
| 航运港口 | 000507 |  珠海港  |  50.7  | 21.8  | -4.2 |  -4.5   |  -3.8   |
| 航运港口 | 600798 | 宁波海运 |  46.0  | 36.2  | -4.3 |  -5.2   |  -5.7   |
| 航运港口 | 000520 | 长航凤凰 |  31.7  | 74.6  | -4.3 |  -4.9   |  -4.9   |
| 航运港口 | 002040 |  南京港  |  32.3  | 21.9  | -4.3 |  -7.1   |  -7.1   |
| 航运港口 | 600190 |  锦州港  |  60.9  | 33.3  | -4.4 |  -5.9   |  -7.6   |
| 航运港口 | 601228 |  广州港  | 213.0  | 17.2  | -4.7 |  -7.5   |  -7.3   |
| 航运港口 | 600428 | 中远海特 | 104.3  | 15.6  | -4.9 |  -6.0   |  -8.7   |
| 航运港口 | 601326 | 秦港股份 | 155.9  | 11.6  | -5.1 |  -7.6   |  -10.3  |
| 航运港口 | 600017 |  日照港  |  91.3  |  9.2  | -5.1 |  -6.6   |  -8.9   |
| 航运港口 | 601919 | 中远海控 | 2065.0 |  1.9  | -5.2 |  -6.4   |  -7.4   |
| 航运港口 | 000582 | 北部湾港 | 131.3  | 14.1  | -5.6 |  -6.9   |  -7.4   |
| 航运港口 | 601008 |  连云港  |  49.1  | 42.1  | -6.4 |  -9.6   |  -12.0  |
| 航运港口 | 601975 | 招商南油 | 179.6  | 20.7  | -6.6 |   1.9   |   3.1   |
+----------+--------+----------+--------+-------+------+---------+---------+
