[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 装修建材 | 002271 | 东方雨虹 | 977.4 |  77.0  | -2.4 |  -7.2   |  -3.4   |
| 装修建材 | 603833 | 欧派家居 | 718.8 |  71.0  | -1.3 |  -5.5   |  -3.3   |
| 装修建材 | 000786 | 北新建材 | 464.4 |  20.7  | -2.9 |  -7.4   |  -5.7   |
| 装修建材 | 603737 |  三棵树  | 397.0 | -256.2 | 0.9  |  -1.4   |  -1.3   |
| 装修建材 | 603816 | 顾家家居 | 369.8 |  20.9  | -1.7 |  -5.3   |  -6.4   |
| 装修建材 | 002372 | 伟星新材 | 307.6 |  65.6  | -2.2 |  -4.8   |  -4.5   |
| 装修建材 | 002791 | 坚朗五金 | 245.6 | -68.6  | -3.4 |  -9.5   |  -8.7   |
| 装修建材 | 002572 |  索菲亚  | 154.5 |  33.7  | -2.9 |  -7.1   |  -6.7   |
| 装修建材 | 300737 | 科顺股份 | 121.6 |  30.7  | -4.7 |  -6.5   |  -1.4   |
| 装修建材 | 002088 | 鲁阳节能 | 119.4 |  24.5  | 1.3  |  -1.2   |  -0.3   |
| 装修建材 | 603008 |  喜临门  | 110.1 |  51.0  | -2.9 |  -8.2   |  -3.7   |
| 装修建材 | 002323 | 雅博股份 | 96.3  | 527.0  | -7.5 |  -8.8   |  -2.2   |
| 装修建材 | 003012 | 东鹏控股 | 91.7  | -29.8  | -3.0 |  -2.9   |  -1.4   |
| 装修建材 | 002043 |  兔宝宝  | 67.4  |  17.8  | -4.1 |  -9.6   |  -9.1   |
| 装修建材 | 603801 | 志邦家居 | 65.8  |  32.1  | -2.0 |  -2.9   |  -1.3   |
| 装修建材 | 002641 | 公元股份 | 63.9  |  49.6  | -4.3 |  -5.5   |   0.0   |
| 装修建材 | 603992 | 松霖科技 | 59.9  |  20.6  | -6.1 |  -7.8   |  -7.8   |
| 装修建材 | 603313 |  梦百合  | 56.4  |  45.7  | -5.0 |  -6.7   |  -7.7   |
| 装修建材 | 603208 | 江山欧派 | 53.5  |  22.9  | -4.4 |  -7.7   |  -5.5   |
| 装修建材 | 300715 | 凯伦股份 | 52.9  | 153.9  | -4.8 |  -6.6   |  -6.8   |
| 装修建材 | 002918 | 蒙娜丽莎 | 51.6  | -17.5  | -4.1 |  -6.9   |  -2.8   |
| 装修建材 | 002785 |  万里石  | 50.0  | 227.6  | -3.9 |  -5.7   |  -4.1   |
| 装修建材 | 600337 | 美克家居 | 47.9  | -12.1  | -3.0 |  -0.7   |   1.4   |
| 装修建材 | 002225 | 濮耐股份 | 46.9  |  15.7  | -5.9 |  -9.7   |  -8.3   |
| 装修建材 | 000910 | 大亚圣象 | 45.9  | -52.3  | -3.3 |  -4.1   |  -2.9   |
| 装修建材 | 002392 | 北京利尔 | 45.6  |  16.3  | -5.7 |  -7.5   |  -5.9   |
| 装修建材 | 603818 | 曲美家居 | 43.4  |  18.6  | -6.9 |  -9.4   |  -10.3  |
| 装修建材 | 300616 | 尚品宅配 | 42.8  | -10.7  | -6.2 |  -7.4   |  -5.1   |
| 装修建材 | 603610 | 麒盛科技 | 42.2  |  18.8  | -7.2 |  -9.2   |  -7.5   |
| 装修建材 | 002398 | 垒知集团 | 41.9  |  18.9  | -7.3 |  -9.2   |  -9.2   |
| 装修建材 | 603378 | 亚士创能 | 41.4  | -27.2  | -3.5 |  -8.1   |  -6.9   |
| 装修建材 | 600076 | 康欣新材 | 40.9  | -27.7  | -3.8 |  -4.4   |  -3.5   |
| 装修建材 | 300198 | 纳川股份 | 40.5  | -72.3  | -6.0 |  -4.6   |  -2.7   |
| 装修建材 | 002631 | 德尔未来 | 39.2  | -36.9  | -4.8 |  -4.2   |  -0.2   |
| 装修建材 | 002162 | 悦心健康 | 38.2  | -62.4  | -7.4 |  -12.9  |  -12.0  |
| 装修建材 | 002333 | 罗普斯金 | 37.9  | -343.8 | -5.2 |  -5.7   |  -8.4   |
| 装修建材 | 603661 | 恒林股份 | 37.4  |  12.8  | -4.8 |  -7.1   |  -6.4   |
| 装修建材 | 603180 | 金牌厨柜 | 37.1  |  30.7  | -4.9 |  -7.1   |  -5.3   |
| 装修建材 | 002790 |  瑞尔特  | 36.7  |  25.1  | -2.9 |   0.8   |   5.0   |
| 装修建材 | 603856 | 东宏股份 | 34.6  |  13.3  | -4.3 |  -1.0   |   3.2   |
| 装修建材 | 001216 | 华瓷股份 | 34.5  |  24.7  | -3.9 |  -1.6   |  -4.8   |
| 装修建材 | 601996 | 丰林集团 | 33.2  |  26.1  | -4.0 |  -5.8   |  -4.3   |
| 装修建材 | 603898 |  好莱客  | 32.9  |  20.1  | -4.4 |  -5.5   |  -1.6   |
| 装修建材 | 300234 | 开尔新材 | 31.4  |  81.9  | -6.2 |  -6.0   |  -3.7   |
| 装修建材 | 000663 | 永安林业 | 30.9  |  4.9   | -4.9 |  -8.0   |  -4.2   |
| 装修建材 | 002798 | 帝欧家居 | 30.4  |  -8.4  | -4.1 |  -4.5   |  -2.0   |
| 装修建材 | 600321 | 正源股份 | 30.2  | -21.9  | -4.8 |  -8.7   |  -10.3  |
| 装修建材 | 300599 | 雄塑科技 | 28.5  |  96.7  | -4.8 |  -5.5   |  -4.0   |
| 装修建材 | 300117 | 嘉寓股份 | 28.1  |  8.9   | -8.2 |  -9.5   |  -5.3   |
| 装修建材 | 002457 | 青龙管业 | 27.9  | -342.8 | -6.4 |  -7.8   |  -5.9   |
| 装修建材 | 002694 | 顾地科技 | 27.8  | -38.4  | -5.7 |  -8.6   |  -9.0   |
| 装修建材 | 000619 | 海螺新材 | 26.4  | -25.2  | -7.3 |  -12.2  |  -15.8  |
| 装修建材 | 603600 | 永艺股份 | 26.4  |  14.0  | -5.3 |  -5.7   |  -5.2   |
| 装修建材 | 002066 | 瑞泰科技 | 25.9  |  46.1  | -9.1 |  -8.7   |  -10.4  |
| 装修建材 | 603326 | 我乐家居 | 24.9  |  46.1  | -1.1 |   0.5   |   2.1   |
| 装修建材 | 301010 | 晶雪节能 | 24.8  | 155.6  | -9.8 |  -10.7  |  -3.7   |
| 装修建材 | 002853 |  皮阿诺  | 22.9  |  30.7  | -3.4 |  -5.8   |   0.3   |
| 装修建材 | 603268 | 松发股份 | 22.7  | -26.4  | -0.2 |  -2.1   |   0.9   |
| 装修建材 | 603838 | 四通股份 | 18.9  | -264.3 | -3.6 |  -3.9   |  -2.2   |
| 装修建材 | 002718 | 友邦吊顶 | 18.4  |  21.7  | -6.2 |  -7.9   |  -9.8   |
| 装修建材 | 603226 | 菲林格尔 | 18.3  | -65.1  | 0.4  |  -0.4   |   0.4   |
| 装修建材 | 001211 | 双枪科技 | 16.6  |  29.9  | -5.1 |  -5.3   |  -3.0   |
| 装修建材 | 300749 | 顶固集创 | 15.0  |  96.8  | -4.2 |  -5.3   |  -2.8   |
| 装修建材 | 002652 | 扬子新材 | 14.9  | -54.8  | -4.6 |  -6.7   |  -5.5   |
| 装修建材 | 603389 | 亚振家居 | 13.3  | -15.5  | -5.9 |  -7.5   |  -1.2   |
| 装修建材 | 603709 | 中源家居 | 12.6  | 131.3  | -4.1 |  -3.5   |  -2.6   |
+----------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 装修建材 | 002088 | 鲁阳节能 | 119.4 |  24.5  | 1.3  |  -1.2   |  -0.3   |
| 装修建材 | 603737 |  三棵树  | 397.0 | -256.2 | 0.9  |  -1.4   |  -1.3   |
| 装修建材 | 603226 | 菲林格尔 | 18.3  | -65.1  | 0.4  |  -0.4   |   0.4   |
| 装修建材 | 603268 | 松发股份 | 22.7  | -26.4  | -0.2 |  -2.1   |   0.9   |
| 装修建材 | 603326 | 我乐家居 | 24.9  |  46.1  | -1.1 |   0.5   |   2.1   |
| 装修建材 | 603833 | 欧派家居 | 718.8 |  71.0  | -1.3 |  -5.5   |  -3.3   |
| 装修建材 | 603816 | 顾家家居 | 369.8 |  20.9  | -1.7 |  -5.3   |  -6.4   |
| 装修建材 | 603801 | 志邦家居 | 65.8  |  32.1  | -2.0 |  -2.9   |  -1.3   |
| 装修建材 | 002372 | 伟星新材 | 307.6 |  65.6  | -2.2 |  -4.8   |  -4.5   |
| 装修建材 | 002271 | 东方雨虹 | 977.4 |  77.0  | -2.4 |  -7.2   |  -3.4   |
| 装修建材 | 002572 |  索菲亚  | 154.5 |  33.7  | -2.9 |  -7.1   |  -6.7   |
| 装修建材 | 603008 |  喜临门  | 110.1 |  51.0  | -2.9 |  -8.2   |  -3.7   |
| 装修建材 | 002790 |  瑞尔特  | 36.7  |  25.1  | -2.9 |   0.8   |   5.0   |
| 装修建材 | 000786 | 北新建材 | 464.4 |  20.7  | -2.9 |  -7.4   |  -5.7   |
| 装修建材 | 600337 | 美克家居 | 47.9  | -12.1  | -3.0 |  -0.7   |   1.4   |
| 装修建材 | 003012 | 东鹏控股 | 91.7  | -29.8  | -3.0 |  -2.9   |  -1.4   |
| 装修建材 | 000910 | 大亚圣象 | 45.9  | -52.3  | -3.3 |  -4.1   |  -2.9   |
| 装修建材 | 002853 |  皮阿诺  | 22.9  |  30.7  | -3.4 |  -5.8   |   0.3   |
| 装修建材 | 002791 | 坚朗五金 | 245.6 | -68.6  | -3.4 |  -9.5   |  -8.7   |
| 装修建材 | 603378 | 亚士创能 | 41.4  | -27.2  | -3.5 |  -8.1   |  -6.9   |
| 装修建材 | 603838 | 四通股份 | 18.9  | -264.3 | -3.6 |  -3.9   |  -2.2   |
| 装修建材 | 600076 | 康欣新材 | 40.9  | -27.7  | -3.8 |  -4.4   |  -3.5   |
| 装修建材 | 001216 | 华瓷股份 | 34.5  |  24.7  | -3.9 |  -1.6   |  -4.8   |
| 装修建材 | 002785 |  万里石  | 50.0  | 227.6  | -3.9 |  -5.7   |  -4.1   |
| 装修建材 | 601996 | 丰林集团 | 33.2  |  26.1  | -4.0 |  -5.8   |  -4.3   |
| 装修建材 | 002043 |  兔宝宝  | 67.4  |  17.8  | -4.1 |  -9.6   |  -9.1   |
| 装修建材 | 002918 | 蒙娜丽莎 | 51.6  | -17.5  | -4.1 |  -6.9   |  -2.8   |
| 装修建材 | 002798 | 帝欧家居 | 30.4  |  -8.4  | -4.1 |  -4.5   |  -2.0   |
| 装修建材 | 603709 | 中源家居 | 12.6  | 131.3  | -4.1 |  -3.5   |  -2.6   |
| 装修建材 | 300749 | 顶固集创 | 15.0  |  96.8  | -4.2 |  -5.3   |  -2.8   |
| 装修建材 | 002641 | 公元股份 | 63.9  |  49.6  | -4.3 |  -5.5   |   0.0   |
| 装修建材 | 603856 | 东宏股份 | 34.6  |  13.3  | -4.3 |  -1.0   |   3.2   |
| 装修建材 | 603208 | 江山欧派 | 53.5  |  22.9  | -4.4 |  -7.7   |  -5.5   |
| 装修建材 | 603898 |  好莱客  | 32.9  |  20.1  | -4.4 |  -5.5   |  -1.6   |
| 装修建材 | 002652 | 扬子新材 | 14.9  | -54.8  | -4.6 |  -6.7   |  -5.5   |
| 装修建材 | 300737 | 科顺股份 | 121.6 |  30.7  | -4.7 |  -6.5   |  -1.4   |
| 装修建材 | 600321 | 正源股份 | 30.2  | -21.9  | -4.8 |  -8.7   |  -10.3  |
| 装修建材 | 300599 | 雄塑科技 | 28.5  |  96.7  | -4.8 |  -5.5   |  -4.0   |
| 装修建材 | 300715 | 凯伦股份 | 52.9  | 153.9  | -4.8 |  -6.6   |  -6.8   |
