[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 装修装饰 | 002081 |  金螳螂  | 124.5 |  6.2   | -3.1  |  -5.2   |  -3.5   |
| 装修装饰 | 601886 | 江河集团 | 86.5  |  21.1  | -4.6  |  -3.4   |  -5.0   |
| 装修装饰 | 002375 | 亚厦股份 | 61.5  |  17.9  | -5.2  |  -8.8   |  -8.0   |
| 装修装饰 | 002047 | 宝鹰股份 | 58.1  | -32.0  | -7.3  |  -9.5   |  -7.3   |
| 装修装饰 | 000055 | 方大集团 | 51.1  |  29.1  | -8.6  |  -9.0   |  -12.7  |
| 装修装饰 | 603408 | 建霖家居 | 49.2  |  12.8  | -4.4  |  -5.8   |  -4.3   |
| 装修装饰 | 603081 | 大丰实业 | 43.1  |  15.5  | -3.3  |  -4.7   |  -3.7   |
| 装修装饰 | 300506 |  名家汇  | 42.5  |  83.9  | -6.3  |  -8.0   |  -7.0   |
| 装修装饰 | 605268 | 王力安防 | 42.5  | -155.5 | -4.7  |  -7.8   |  -7.6   |
| 装修装饰 | 001212 | 中旗新材 | 41.4  |  59.0  | -10.0 |  -3.3   |   3.4   |
| 装修装饰 | 300592 | 华凯易佰 | 40.7  |  29.3  | -5.0  |  -8.6   |  -7.8   |
| 装修装饰 | 002325 | 洪涛股份 | 36.7  | -11.5  | -5.0  |  -7.1   |  -8.3   |
| 装修装饰 | 002822 | 中装建设 | 33.5  | -84.9  | -5.6  |  -7.1   |  -6.4   |
| 装修装饰 | 603216 | 梦天家居 | 31.9  |  37.9  | -6.1  |  -7.5   |  -6.4   |
| 装修装饰 | 002989 | 中天精装 | 30.2  |  21.3  | -10.0 |  -9.2   |  -3.3   |
| 装修装饰 | 002482 |  ST广田  | 29.7  |  -9.6  | -4.5  |  -7.7   |  -4.5   |
| 装修装饰 | 300993 | 玉马遮阳 | 27.3  |  25.3  | -7.0  |  -10.9  |  -10.7  |
| 装修装饰 | 603385 | 惠达卫浴 | 26.8  | -485.4 | -5.2  |  -5.8   |  -4.8   |
| 装修装饰 | 300374 | 中铁装配 | 25.3  | -16.6  | -6.8  |  -8.5   |  -7.5   |
| 装修装饰 | 002084 | 海鸥住工 | 24.8  | -31.2  | -5.6  |  -6.8   |  -5.3   |
| 装修装饰 | 002713 | 东易日盛 | 24.6  |  -2.5  | -5.2  |  -9.2   |  -4.9   |
| 装修装饰 | 603929 | 亚翔集成 | 24.3  |  55.0  | -3.6  |  -5.1   |  -1.1   |
| 装修装饰 | 301113 | 雅艺科技 | 23.9  |  30.5  | -9.5  |  -13.7  |  -12.3  |
| 装修装饰 | 600193 | 创兴资源 | 23.8  |  73.5  | -3.5  |  -3.3   |   5.7   |
| 装修装饰 | 605287 | 德才股份 | 23.1  |  13.5  | -5.8  |  -6.4   |  -4.3   |
| 装修装饰 | 605178 | 时空科技 | 22.9  | -53.0  | -2.3  |   2.2   |   3.4   |
| 装修装饰 | 002620 | 瑞和股份 | 22.4  |  57.8  | -7.1  |  -9.9   |  -3.6   |
| 装修装饰 | 002789 | 建艺集团 | 21.5  | 124.3  | -8.4  |  -12.3  |  -8.1   |
| 装修装饰 | 002247 | 聚力文化 | 21.4  | 2150.9 | -4.5  |  -5.6   |  -4.5   |
| 装修装饰 | 002811 | 郑中设计 | 21.1  |  97.8  | -5.9  |  -8.4   |  -7.8   |
| 装修装饰 | 603828 |  柯利达  | 20.3  | -13.6  | -4.0  |  -5.4   |  -5.7   |
| 装修装饰 | 605318 |  法狮龙  | 19.8  |  90.9  | -7.5  |  -3.1   |  -2.3   |
| 装修装饰 | 603272 | 联翔股份 | 19.2  |  48.5  | -7.6  |  -8.7   |  -6.7   |
| 装修装饰 | 605155 |  西大门  | 18.6  |  23.9  | -5.8  |  -6.0   |  -5.6   |
| 装修装饰 | 002963 |  豪尔赛  | 18.6  | -21.4  | -5.4  |  -6.2   |  -7.1   |
| 装修装饰 | 605289 | 罗曼股份 | 18.4  | 183.0  | -6.0  |  -7.4   |  -5.3   |
| 装修装饰 | 002781 | *ST奇信  | 18.2  | -15.8  |  5.0  |  15.9   |  34.0   |
| 装修装饰 | 603030 | 全筑股份 | 17.0  | -32.0  | -5.2  |  -5.5   |   0.0   |
| 装修装饰 | 300621 | 维业股份 | 16.9  | -101.2 | -5.4  |  -7.4   |  -5.8   |
| 装修装饰 | 002504 |  ST弘高  | 16.0  | -50.5  | -4.9  |  -7.1   |  -6.6   |
| 装修装饰 | 002856 | 美芝股份 | 15.8  | 1061.5 | -3.7  |  -4.7   |  -5.2   |
| 装修装饰 | 603038 | 华立股份 | 15.8  | -265.6 | -6.0  |  -6.0   |  -2.7   |
| 装修装饰 | 002830 | 名雕股份 | 14.5  | -45.3  | -3.7  |  -2.6   |  -2.2   |
+----------+--------+----------+-------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 装修装饰 | 002781 | *ST奇信  | 18.2  | -15.8  |  5.0  |  15.9   |  34.0   |
| 装修装饰 | 605178 | 时空科技 | 22.9  | -53.0  | -2.3  |   2.2   |   3.4   |
| 装修装饰 | 002081 |  金螳螂  | 124.5 |  6.2   | -3.1  |  -5.2   |  -3.5   |
| 装修装饰 | 603081 | 大丰实业 | 43.1  |  15.5  | -3.3  |  -4.7   |  -3.7   |
| 装修装饰 | 600193 | 创兴资源 | 23.8  |  73.5  | -3.5  |  -3.3   |   5.7   |
| 装修装饰 | 603929 | 亚翔集成 | 24.3  |  55.0  | -3.6  |  -5.1   |  -1.1   |
| 装修装饰 | 002856 | 美芝股份 | 15.8  | 1061.5 | -3.7  |  -4.7   |  -5.2   |
| 装修装饰 | 002830 | 名雕股份 | 14.5  | -45.3  | -3.7  |  -2.6   |  -2.2   |
| 装修装饰 | 603828 |  柯利达  | 20.3  | -13.6  | -4.0  |  -5.4   |  -5.7   |
| 装修装饰 | 603408 | 建霖家居 | 49.2  |  12.8  | -4.4  |  -5.8   |  -4.3   |
| 装修装饰 | 002482 |  ST广田  | 29.7  |  -9.6  | -4.5  |  -7.7   |  -4.5   |
| 装修装饰 | 002247 | 聚力文化 | 21.4  | 2150.9 | -4.5  |  -5.6   |  -4.5   |
| 装修装饰 | 601886 | 江河集团 | 86.5  |  21.1  | -4.6  |  -3.4   |  -5.0   |
| 装修装饰 | 605268 | 王力安防 | 42.5  | -155.5 | -4.7  |  -7.8   |  -7.6   |
| 装修装饰 | 002504 |  ST弘高  | 16.0  | -50.5  | -4.9  |  -7.1   |  -6.6   |
| 装修装饰 | 002325 | 洪涛股份 | 36.7  | -11.5  | -5.0  |  -7.1   |  -8.3   |
| 装修装饰 | 300592 | 华凯易佰 | 40.7  |  29.3  | -5.0  |  -8.6   |  -7.8   |
| 装修装饰 | 603385 | 惠达卫浴 | 26.8  | -485.4 | -5.2  |  -5.8   |  -4.8   |
| 装修装饰 | 002375 | 亚厦股份 | 61.5  |  17.9  | -5.2  |  -8.8   |  -8.0   |
| 装修装饰 | 002713 | 东易日盛 | 24.6  |  -2.5  | -5.2  |  -9.2   |  -4.9   |
| 装修装饰 | 603030 | 全筑股份 | 17.0  | -32.0  | -5.2  |  -5.5   |   0.0   |
| 装修装饰 | 300621 | 维业股份 | 16.9  | -101.2 | -5.4  |  -7.4   |  -5.8   |
| 装修装饰 | 002963 |  豪尔赛  | 18.6  | -21.4  | -5.4  |  -6.2   |  -7.1   |
| 装修装饰 | 002084 | 海鸥住工 | 24.8  | -31.2  | -5.6  |  -6.8   |  -5.3   |
| 装修装饰 | 002822 | 中装建设 | 33.5  | -84.9  | -5.6  |  -7.1   |  -6.4   |
| 装修装饰 | 605287 | 德才股份 | 23.1  |  13.5  | -5.8  |  -6.4   |  -4.3   |
| 装修装饰 | 605155 |  西大门  | 18.6  |  23.9  | -5.8  |  -6.0   |  -5.6   |
| 装修装饰 | 002811 | 郑中设计 | 21.1  |  97.8  | -5.9  |  -8.4   |  -7.8   |
| 装修装饰 | 605289 | 罗曼股份 | 18.4  | 183.0  | -6.0  |  -7.4   |  -5.3   |
| 装修装饰 | 603038 | 华立股份 | 15.8  | -265.6 | -6.0  |  -6.0   |  -2.7   |
| 装修装饰 | 603216 | 梦天家居 | 31.9  |  37.9  | -6.1  |  -7.5   |  -6.4   |
| 装修装饰 | 300506 |  名家汇  | 42.5  |  83.9  | -6.3  |  -8.0   |  -7.0   |
| 装修装饰 | 300374 | 中铁装配 | 25.3  | -16.6  | -6.8  |  -8.5   |  -7.5   |
| 装修装饰 | 300993 | 玉马遮阳 | 27.3  |  25.3  | -7.0  |  -10.9  |  -10.7  |
| 装修装饰 | 002620 | 瑞和股份 | 22.4  |  57.8  | -7.1  |  -9.9   |  -3.6   |
| 装修装饰 | 002047 | 宝鹰股份 | 58.1  | -32.0  | -7.3  |  -9.5   |  -7.3   |
| 装修装饰 | 605318 |  法狮龙  | 19.8  |  90.9  | -7.5  |  -3.1   |  -2.3   |
| 装修装饰 | 603272 | 联翔股份 | 19.2  |  48.5  | -7.6  |  -8.7   |  -6.7   |
| 装修装饰 | 002789 | 建艺集团 | 21.5  | 124.3  | -8.4  |  -12.3  |  -8.1   |
| 装修装饰 | 000055 | 方大集团 | 51.1  |  29.1  | -8.6  |  -9.0   |  -12.7  |
| 装修装饰 | 301113 | 雅艺科技 | 23.9  |  30.5  | -9.5  |  -13.7  |  -12.3  |
| 装修装饰 | 001212 | 中旗新材 | 41.4  |  59.0  | -10.0 |  -3.3   |   3.4   |
| 装修装饰 | 002989 | 中天精装 | 30.2  |  21.3  | -10.0 |  -9.2   |  -3.3   |
+----------+--------+----------+-------+--------+-------+---------+---------+
