[行业>市值]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
| 计算机设备 | 002415 | 海康威视 | 2878.0 |  31.5   | -4.0 |  -6.8   |  -5.6   |
| 计算机设备 | 002180 |  纳思达  | 703.9  |  39.9   | -1.9 |  -2.6   |  -3.3   |
| 计算机设备 | 002236 | 大华股份 | 440.1  |  30.9   | -3.7 |  -5.3   |  -3.6   |
| 计算机设备 | 603019 | 中科曙光 | 421.6  |  92.7   | -2.0 |  -3.0   |   6.7   |
| 计算机设备 | 000977 | 浪潮信息 | 338.4  |  25.3   | -5.2 |  -7.3   |  -4.0   |
| 计算机设备 | 000066 | 中国长城 | 295.8  |  -63.3  | -5.6 |  -7.4   |  -4.6   |
| 计算机设备 | 002152 | 广电运通 | 221.0  |  24.6   | -4.2 |  -4.4   |  -1.1   |
| 计算机设备 | 600764 | 中国海防 | 194.4  |  315.3  | 9.9  |   8.2   |  14.9   |
| 计算机设备 | 688208 | 道通科技 | 156.3  |  61.7   | -7.2 |  -1.3   |  11.7   |
| 计算机设备 | 600100 | 同方股份 | 144.7  |  -6.6   | -3.8 |  -4.0   |  -3.6   |
| 计算机设备 | 000034 | 神州数码 | 119.5  |  15.9   | -3.8 |  -5.7   |   3.1   |
| 计算机设备 | 300130 |  新国都  |  70.1  |  18.0   | -3.4 |  -3.1   |   1.8   |
| 计算机设备 | 300177 |  中海达  |  65.7  |  20.0   | -2.8 |   3.6   |   8.3   |
| 计算机设备 | 300455 | 康拓红外 |  65.0  |  188.1  | 0.2  |   0.2   |   5.6   |
| 计算机设备 | 300045 | 华力创通 |  52.1  |  761.0  | -2.6 |  -3.9   |   1.2   |
| 计算机设备 | 002197 | 证通电子 |  52.1  |  114.5  | -6.9 |  -7.3   |  -5.7   |
| 计算机设备 | 002376 |  新北洋  |  51.8  |  -35.0  | -1.1 |   2.2   |   8.2   |
| 计算机设备 | 002383 | 合众思壮 |  50.0  |  86.5   | -5.6 |  -5.6   |  -3.0   |
| 计算机设备 | 600855 | 航天长峰 |  49.8  |  -29.8  | -3.2 |  -4.4   |   0.3   |
| 计算机设备 | 002970 | 锐明技术 |  46.1  |  -19.4  | -4.6 |  -2.2   |   2.2   |
| 计算机设备 | 300531 |  优博讯  |  45.5  |  39.3   | -2.8 |  -2.1   |  -0.8   |
| 计算机设备 | 002512 | 达华智能 |  44.9  |  -29.2  | 0.8  |   0.5   |   8.3   |
| 计算机设备 | 300479 | 神思电子 |  40.0  | -212.9  | -8.2 |  -9.6   |  -5.1   |
| 计算机设备 | 002308 | 威创股份 |  37.0  |  62.5   | -7.1 |  -8.1   |  -5.1   |
| 计算机设备 | 300368 | 汇金股份 |  36.3  | -128.9  | -5.4 |  -6.3   |  -4.7   |
| 计算机设备 | 300771 | 智莱科技 |  35.2  |  21.3   | -5.7 |  -6.1   |  -6.2   |
| 计算机设备 | 002577 | 雷柏科技 |  32.7  |  72.8   | -4.7 |  -6.6   |  -2.8   |
| 计算机设备 | 300546 | 雄帝科技 |  32.1  |  -47.1  | -8.5 |  -11.3  |  -7.3   |
| 计算机设备 | 300155 |  安居宝  |  30.1  |  352.7  | -4.8 |  -3.8   |  -2.0   |
| 计算机设备 | 300551 | 古鳌科技 |  28.5  | -345.4  | -9.2 |  -11.2  |  -11.6  |
| 计算机设备 | 603660 | 苏州科达 |  26.6  |  -8.6   | -5.3 |  -2.4   |   2.1   |
| 计算机设备 | 300884 |  狄耐克  |  26.5  |  55.1   | -4.3 |  -1.3   |   2.1   |
| 计算机设备 | 301042 | 安联锐视 |  25.9  |  48.6   | -5.2 |  -1.8   |   6.5   |
| 计算机设备 | 603106 | 恒银科技 |  25.6  |  -34.9  | -4.5 |  -5.0   |  -3.2   |
| 计算机设备 | 002835 | 同为股份 |  24.4  | 1408.3  | -4.7 |  -4.9   |  -1.6   |
| 计算机设备 | 603516 | 淳中科技 |  24.4  |  65.2   | -4.7 |  -3.2   |   7.9   |
| 计算机设备 | 300042 | 朗科科技 |  24.4  |  72.8   | -4.0 |  -2.2   |   0.2   |
| 计算机设备 | 688288 | 鸿泉物联 |  22.7  |  -37.6  | -6.5 |  -0.5   |   3.5   |
| 计算机设备 | 002177 | *ST御银  |  19.5  |  -17.2  | -4.8 |  -7.6   |  -12.0  |
| 计算机设备 | 300270 | 中威电子 |  19.4  | -2336.3 | -4.9 |  -1.7   |   0.9   |
| 计算机设备 | 300449 | 汉邦高科 |  18.0  |  -44.9  | -3.2 |  -2.8   |  -4.9   |
| 计算机设备 | 003004 | 声迅股份 |  17.0  |  160.6  | -3.5 |  -5.2   |  -2.3   |
| 计算机设备 | 300807 | 天迈科技 |  14.8  |  -22.2  | -6.5 |  -5.1   |  -2.8   |
| 计算机设备 | 688086 | *ST紫晶  |  13.4  |  -3.3   | -4.6 |  -6.6   |  -3.3   |
| 计算机设备 | 001339 | 智微智能 |  0.0   |   0.0   | 0.0  |   0.0   |   0.0   |
+------------+--------+----------+--------+---------+------+---------+---------+
 




 [行业>单日涨幅]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
| 计算机设备 | 600764 | 中国海防 | 194.4  |  315.3  | 9.9  |   8.2   |  14.9   |
| 计算机设备 | 002512 | 达华智能 |  44.9  |  -29.2  | 0.8  |   0.5   |   8.3   |
| 计算机设备 | 300455 | 康拓红外 |  65.0  |  188.1  | 0.2  |   0.2   |   5.6   |
| 计算机设备 | 001339 | 智微智能 |  0.0   |   0.0   | 0.0  |   0.0   |   0.0   |
| 计算机设备 | 002376 |  新北洋  |  51.8  |  -35.0  | -1.1 |   2.2   |   8.2   |
| 计算机设备 | 002180 |  纳思达  | 703.9  |  39.9   | -1.9 |  -2.6   |  -3.3   |
| 计算机设备 | 603019 | 中科曙光 | 421.6  |  92.7   | -2.0 |  -3.0   |   6.7   |
| 计算机设备 | 300045 | 华力创通 |  52.1  |  761.0  | -2.6 |  -3.9   |   1.2   |
| 计算机设备 | 300177 |  中海达  |  65.7  |  20.0   | -2.8 |   3.6   |   8.3   |
| 计算机设备 | 300531 |  优博讯  |  45.5  |  39.3   | -2.8 |  -2.1   |  -0.8   |
| 计算机设备 | 600855 | 航天长峰 |  49.8  |  -29.8  | -3.2 |  -4.4   |   0.3   |
| 计算机设备 | 300449 | 汉邦高科 |  18.0  |  -44.9  | -3.2 |  -2.8   |  -4.9   |
| 计算机设备 | 300130 |  新国都  |  70.1  |  18.0   | -3.4 |  -3.1   |   1.8   |
| 计算机设备 | 003004 | 声迅股份 |  17.0  |  160.6  | -3.5 |  -5.2   |  -2.3   |
| 计算机设备 | 002236 | 大华股份 | 440.1  |  30.9   | -3.7 |  -5.3   |  -3.6   |
| 计算机设备 | 600100 | 同方股份 | 144.7  |  -6.6   | -3.8 |  -4.0   |  -3.6   |
| 计算机设备 | 000034 | 神州数码 | 119.5  |  15.9   | -3.8 |  -5.7   |   3.1   |
| 计算机设备 | 300042 | 朗科科技 |  24.4  |  72.8   | -4.0 |  -2.2   |   0.2   |
| 计算机设备 | 002415 | 海康威视 | 2878.0 |  31.5   | -4.0 |  -6.8   |  -5.6   |
| 计算机设备 | 002152 | 广电运通 | 221.0  |  24.6   | -4.2 |  -4.4   |  -1.1   |
| 计算机设备 | 300884 |  狄耐克  |  26.5  |  55.1   | -4.3 |  -1.3   |   2.1   |
| 计算机设备 | 603106 | 恒银科技 |  25.6  |  -34.9  | -4.5 |  -5.0   |  -3.2   |
| 计算机设备 | 002970 | 锐明技术 |  46.1  |  -19.4  | -4.6 |  -2.2   |   2.2   |
| 计算机设备 | 688086 | *ST紫晶  |  13.4  |  -3.3   | -4.6 |  -6.6   |  -3.3   |
| 计算机设备 | 002577 | 雷柏科技 |  32.7  |  72.8   | -4.7 |  -6.6   |  -2.8   |
| 计算机设备 | 002835 | 同为股份 |  24.4  | 1408.3  | -4.7 |  -4.9   |  -1.6   |
| 计算机设备 | 603516 | 淳中科技 |  24.4  |  65.2   | -4.7 |  -3.2   |   7.9   |
| 计算机设备 | 300155 |  安居宝  |  30.1  |  352.7  | -4.8 |  -3.8   |  -2.0   |
| 计算机设备 | 002177 | *ST御银  |  19.5  |  -17.2  | -4.8 |  -7.6   |  -12.0  |
| 计算机设备 | 300270 | 中威电子 |  19.4  | -2336.3 | -4.9 |  -1.7   |   0.9   |
| 计算机设备 | 000977 | 浪潮信息 | 338.4  |  25.3   | -5.2 |  -7.3   |  -4.0   |
| 计算机设备 | 301042 | 安联锐视 |  25.9  |  48.6   | -5.2 |  -1.8   |   6.5   |
| 计算机设备 | 603660 | 苏州科达 |  26.6  |  -8.6   | -5.3 |  -2.4   |   2.1   |
| 计算机设备 | 300368 | 汇金股份 |  36.3  | -128.9  | -5.4 |  -6.3   |  -4.7   |
| 计算机设备 | 000066 | 中国长城 | 295.8  |  -63.3  | -5.6 |  -7.4   |  -4.6   |
| 计算机设备 | 002383 | 合众思壮 |  50.0  |  86.5   | -5.6 |  -5.6   |  -3.0   |
| 计算机设备 | 300771 | 智莱科技 |  35.2  |  21.3   | -5.7 |  -6.1   |  -6.2   |
| 计算机设备 | 688288 | 鸿泉物联 |  22.7  |  -37.6  | -6.5 |  -0.5   |   3.5   |
| 计算机设备 | 300807 | 天迈科技 |  14.8  |  -22.2  | -6.5 |  -5.1   |  -2.8   |
| 计算机设备 | 002197 | 证通电子 |  52.1  |  114.5  | -6.9 |  -7.3   |  -5.7   |
| 计算机设备 | 002308 | 威创股份 |  37.0  |  62.5   | -7.1 |  -8.1   |  -5.1   |
| 计算机设备 | 688208 | 道通科技 | 156.3  |  61.7   | -7.2 |  -1.3   |  11.7   |
| 计算机设备 | 300479 | 神思电子 |  40.0  | -212.9  | -8.2 |  -9.6   |  -5.1   |
| 计算机设备 | 300546 | 雄帝科技 |  32.1  |  -47.1  | -8.5 |  -11.3  |  -7.3   |
| 计算机设备 | 300551 | 古鳌科技 |  28.5  | -345.4  | -9.2 |  -11.2  |  -11.6  |
+------------+--------+----------+--------+---------+------+---------+---------+
