[行业>市值]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 证券 | 600030 | 中信证券 | 2786.0 |  13.3  | -2.8 |  -5.4   |  -4.4   |
| 证券 | 601995 | 中金公司 | 1989.0 |  29.9  | -1.2 |  -5.1   |  -5.0   |
| 证券 | 601066 | 中信建投 | 1923.0 |  31.2  | -4.3 |  -5.6   |  -3.4   |
| 证券 | 601211 | 国泰君安 | 1254.0 |  9.8   | -2.0 |  -3.1   |  -2.8   |
| 证券 | 600837 | 海通证券 | 1191.0 |  19.9  | -2.0 |  -2.6   |  -1.4   |
| 证券 | 600999 | 招商证券 | 1172.0 |  19.7  | -3.0 |  -3.2   |  -1.7   |
| 证券 | 601688 | 华泰证券 | 1164.0 |  13.1  | -2.7 |  -3.8   |  -2.8   |
| 证券 | 000776 | 广发证券 | 1164.0 |  22.3  | -2.9 |  -5.7   |  -5.2   |
| 证券 | 000166 | 申万宏源 | 1007.0 |  23.5  | -1.9 |  -3.4   |  -2.4   |
| 证券 | 002736 | 国信证券 | 857.4  |  27.9  | -2.4 |  -3.6   |  -2.5   |
| 证券 | 601881 | 中国银河 | 850.5  |  13.7  | -2.7 |  -4.7   |  -3.6   |
| 证券 | 600958 | 东方证券 | 700.1  |  76.7  | -3.6 |  -5.1   |  -4.1   |
| 证券 | 601788 | 光大证券 | 644.1  |  24.2  | -5.5 |  -7.5   |  -5.4   |
| 证券 | 601901 | 方正证券 | 512.9  |  26.9  | -3.6 |  -5.6   |  -4.2   |
| 证券 | 600918 | 中泰证券 | 490.6  |  55.8  | -2.8 |  -3.8   |  -3.4   |
| 证券 | 601377 | 兴业证券 | 415.2  |  66.4  | -2.8 |  -4.9   |  -4.0   |
| 证券 | 601236 | 红塔证券 | 401.4  | -14.0  | -4.2 |  -4.7   |   0.7   |
| 证券 | 002945 | 华林证券 | 387.5  |  65.3  | -6.3 |  -8.3   |  -7.5   |
| 证券 | 601878 | 浙商证券 | 386.3  |  26.6  | -5.2 |  -7.3   |  -4.9   |
| 证券 | 600061 | 国投资本 | 381.0  | 149.7  | -2.1 |  -3.6   |  -3.4   |
| 证券 | 601696 | 中银证券 | 329.2  |  34.3  | -4.9 |  -6.8   |  -4.4   |
| 证券 | 601108 | 财通证券 | 322.7  |  51.4  | -3.6 |  -5.4   |  -4.4   |
| 证券 | 601555 | 东吴证券 | 315.0  |  69.2  | -4.0 |  -5.7   |  -4.3   |
| 证券 | 600109 | 国金证券 | 299.8  |  60.2  | -4.5 |  -5.8   |  -4.3   |
| 证券 | 000783 | 长江证券 | 289.8  | 154.7  | -3.5 |  -4.2   |  -3.0   |
| 证券 | 601456 | 国联证券 | 288.3  |  38.2  | -5.1 |  -6.0   |  -5.6   |
| 证券 | 601990 | 南京证券 | 283.8  |  56.7  | -3.5 |  -4.3   |  -2.8   |
| 证券 | 002673 | 西部证券 | 275.8  | -409.3 | -2.8 |  -3.9   |  -2.4   |
| 证券 | 000728 | 国元证券 | 270.6  |  18.1  | -2.7 |  -2.7   |  -2.4   |
| 证券 | 002939 | 长城证券 | 263.2  | -84.1  | -4.5 |  -8.1   |  -3.5   |
| 证券 | 601198 | 东兴证券 | 254.7  | 211.3  | -3.3 |  -4.5   |  -3.3   |
| 证券 | 601162 | 天风证券 | 249.6  | -74.0  | -3.7 |  -4.3   |  -3.7   |
| 证券 | 600369 | 西南证券 | 247.2  | -48.1  | -2.1 |  -3.1   |  -1.3   |
| 证券 | 600906 | 财达证券 | 246.6  |  80.0  | -5.2 |  -6.1   |  -4.8   |
| 证券 | 002797 | 第一创业 | 242.9  |  84.5  | -5.1 |  -6.2   |  -4.8   |
| 证券 | 600909 | 华安证券 | 196.4  |  46.1  | -3.2 |  -4.1   |  -3.9   |
| 证券 | 600095 | 湘财股份 | 192.1  | -77.4  | -3.6 |  -5.3   |  -3.2   |
| 证券 | 002500 | 山西证券 | 189.2  |  72.7  | -3.5 |  -4.4   |  -4.5   |
| 证券 | 002926 | 华西证券 | 188.7  | -27.8  | -3.0 |  -4.4   |  -3.9   |
| 证券 | 601099 |  太平洋  | 184.7  | 499.6  | -2.9 |  -3.2   |  -2.2   |
| 证券 | 000750 | 国海证券 | 182.9  |  87.5  | -3.5 |  -4.0   |  -2.3   |
| 证券 | 601375 | 中原证券 | 172.7  | 234.2  | -4.1 |  -4.6   |  -3.6   |
| 证券 | 000686 | 东北证券 | 156.8  | -15.1  | -3.0 |  -3.7   |  -1.8   |
| 证券 | 002670 | 国盛金控 | 155.8  | -100.5 | -4.0 |  -5.0   |  -5.2   |
| 证券 | 600155 | 华创阳安 | 132.7  | 122.3  | -4.4 |  -6.0   |  -4.5   |
| 证券 | 000712 | 锦龙股份 | 124.7  | -14.9  | -5.9 |  -7.9   |  -6.2   |
| 证券 | 600621 | 华鑫股份 | 124.3  |  38.6  | -4.6 |  -5.9   |  -4.2   |
| 证券 | 600864 | 哈投股份 |  98.2  |  -5.2  | -4.5 |  -4.8   |  -3.9   |
+------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 证券 | 601995 | 中金公司 | 1989.0 |  29.9  | -1.2 |  -5.1   |  -5.0   |
| 证券 | 000166 | 申万宏源 | 1007.0 |  23.5  | -1.9 |  -3.4   |  -2.4   |
