[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 贸易行业 | 600153 | 建发股份 | 329.2 |  8.2   | -5.4 |  -6.5   |  -3.9   |
| 贸易行业 | 002505 | 鹏都农牧 | 212.9 | 157.3  | -5.1 |  -10.9  |  -4.8   |
| 贸易行业 | 600739 | 辽宁成大 | 202.4 |  18.3  | -2.7 |  -4.9   |  -1.3   |
| 贸易行业 | 002091 | 江苏国泰 | 153.2 |  8.8   | -4.8 |  -5.8   |  -3.6   |
| 贸易行业 | 300755 | 华致酒行 | 151.0 |  15.2  | -4.4 |  -6.8   |  -7.1   |
| 贸易行业 | 600755 | 厦门国贸 | 149.0 |  5.3   | -3.0 |  -3.0   |  -1.2   |
| 贸易行业 | 601028 | 玉龙股份 | 138.6 |  45.8  | -0.9 |  -1.7   |   0.1   |
| 贸易行业 | 002127 | 南极电商 | 115.9 |  20.8  | -5.2 |  -7.1   |  -5.0   |
| 贸易行业 | 000829 | 天音控股 | 101.2 |  87.0  | -7.8 |  -9.3   |  -7.2   |
| 贸易行业 | 000061 |  农产品  | 98.6  |  35.2  | -3.3 |  -2.8   |  -2.2   |
| 贸易行业 | 600058 | 五矿发展 | 98.1  |  18.8  | -6.4 |  -8.6   |  -10.8  |
| 贸易行业 | 603071 | 物产环能 | 95.0  |  9.5   | -6.6 |  -8.3   |  -5.0   |
| 贸易行业 | 000019 | 深粮控股 | 93.1  |  16.9  | 5.3  |   5.1   |   7.5   |
| 贸易行业 | 600710 |  苏美达  | 76.8  |  8.5   | -5.2 |  -7.4   |  -5.3   |
| 贸易行业 | 301099 | 雅创电子 | 72.3  |  46.7  | -3.8 |  -3.3   |  -2.2   |
| 贸易行业 | 600278 | 东方创业 | 63.0  |  17.8  | -2.9 |  -5.4   |  -4.7   |
| 贸易行业 | 300184 | 力源信息 | 59.0  |  14.5  | -4.7 |  -5.2   |  -2.3   |
| 贸易行业 | 600981 | 汇鸿集团 | 59.0  | 1932.7 | -3.7 |  -5.4   |  -5.0   |
| 贸易行业 | 000626 | 远大控股 | 53.7  | 120.5  | -4.2 |  -6.9   |  -4.3   |
| 贸易行业 | 300975 | 商络电子 | 51.0  |  18.2  | -4.5 |  -5.2   |  -1.2   |
| 贸易行业 | 002640 | *ST跨境  | 46.3  | -113.9 | -4.2 |  -2.9   |  -2.9   |
| 贸易行业 | 600826 | 兰生股份 | 40.8  | -12.7  | -5.0 |  -5.5   |  -2.9   |
| 贸易行业 | 000151 | 中成股份 | 40.0  | 709.8  | -7.3 |  -7.3   |  -8.6   |
| 贸易行业 | 600822 | 上海物贸 | 39.2  | 134.8  | -3.3 |  -3.2   |  -3.2   |
| 贸易行业 | 600647 | 同达创业 | 32.4  | 283.0  | 10.0 |  10.0   |  10.0   |
| 贸易行业 | 603003 | 龙宇燃油 | 29.8  |  33.2  | -5.1 |  -5.0   |  -3.3   |
| 贸易行业 | 001316 | 润贝航科 | 28.4  |  37.8  | -5.8 |  -5.2   |  -4.0   |
| 贸易行业 | 600301 | 南化股份 | 28.2  | 162.3  | -4.5 |  -8.0   |  -17.4  |
| 贸易行业 | 600753 | 东方银星 | 27.8  | 902.5  | -6.2 |  -7.0   |  -7.4   |
| 贸易行业 | 600241 |  ST时万  | 23.4  |  24.1  | -2.6 |   1.3   |   2.7   |
| 贸易行业 | 600149 | 廊坊发展 | 21.2  | -76.8  | -8.8 |  -12.7  |  -7.0   |
| 贸易行业 | 600128 | 弘业股份 | 20.6  | 130.1  | -4.2 |  -5.5   |  -5.5   |
| 贸易行业 | 600250 | 南纺股份 | 15.2  | -10.2  | -5.2 |  -6.9   |  -7.2   |
| 贸易行业 | 600608 |  ST沪科  | 14.3  | 172.0  | -3.3 |  -6.9   |  -3.3   |
+----------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 贸易行业 | 600647 | 同达创业 | 32.4  | 283.0  | 10.0 |  10.0   |  10.0   |
| 贸易行业 | 000019 | 深粮控股 | 93.1  |  16.9  | 5.3  |   5.1   |   7.5   |
| 贸易行业 | 601028 | 玉龙股份 | 138.6 |  45.8  | -0.9 |  -1.7   |   0.1   |
| 贸易行业 | 600241 |  ST时万  | 23.4  |  24.1  | -2.6 |   1.3   |   2.7   |
| 贸易行业 | 600739 | 辽宁成大 | 202.4 |  18.3  | -2.7 |  -4.9   |  -1.3   |
| 贸易行业 | 600278 | 东方创业 | 63.0  |  17.8  | -2.9 |  -5.4   |  -4.7   |
| 贸易行业 | 600755 | 厦门国贸 | 149.0 |  5.3   | -3.0 |  -3.0   |  -1.2   |
| 贸易行业 | 600822 | 上海物贸 | 39.2  | 134.8  | -3.3 |  -3.2   |  -3.2   |
| 贸易行业 | 000061 |  农产品  | 98.6  |  35.2  | -3.3 |  -2.8   |  -2.2   |
| 贸易行业 | 600608 |  ST沪科  | 14.3  | 172.0  | -3.3 |  -6.9   |  -3.3   |
| 贸易行业 | 600981 | 汇鸿集团 | 59.0  | 1932.7 | -3.7 |  -5.4   |  -5.0   |
| 贸易行业 | 301099 | 雅创电子 | 72.3  |  46.7  | -3.8 |  -3.3   |  -2.2   |
| 贸易行业 | 000626 | 远大控股 | 53.7  | 120.5  | -4.2 |  -6.9   |  -4.3   |
| 贸易行业 | 002640 | *ST跨境  | 46.3  | -113.9 | -4.2 |  -2.9   |  -2.9   |
| 贸易行业 | 600128 | 弘业股份 | 20.6  | 130.1  | -4.2 |  -5.5   |  -5.5   |
| 贸易行业 | 300755 | 华致酒行 | 151.0 |  15.2  | -4.4 |  -6.8   |  -7.1   |
| 贸易行业 | 600301 | 南化股份 | 28.2  | 162.3  | -4.5 |  -8.0   |  -17.4  |
| 贸易行业 | 300975 | 商络电子 | 51.0  |  18.2  | -4.5 |  -5.2   |  -1.2   |
| 贸易行业 | 300184 | 力源信息 | 59.0  |  14.5  | -4.7 |  -5.2   |  -2.3   |
| 贸易行业 | 002091 | 江苏国泰 | 153.2 |  8.8   | -4.8 |  -5.8   |  -3.6   |
| 贸易行业 | 600826 | 兰生股份 | 40.8  | -12.7  | -5.0 |  -5.5   |  -2.9   |
| 贸易行业 | 002505 | 鹏都农牧 | 212.9 | 157.3  | -5.1 |  -10.9  |  -4.8   |
| 贸易行业 | 603003 | 龙宇燃油 | 29.8  |  33.2  | -5.1 |  -5.0   |  -3.3   |
| 贸易行业 | 600710 |  苏美达  | 76.8  |  8.5   | -5.2 |  -7.4   |  -5.3   |
| 贸易行业 | 002127 | 南极电商 | 115.9 |  20.8  | -5.2 |  -7.1   |  -5.0   |
| 贸易行业 | 600250 | 南纺股份 | 15.2  | -10.2  | -5.2 |  -6.9   |  -7.2   |
| 贸易行业 | 600153 | 建发股份 | 329.2 |  8.2   | -5.4 |  -6.5   |  -3.9   |
| 贸易行业 | 001316 | 润贝航科 | 28.4  |  37.8  | -5.8 |  -5.2   |  -4.0   |
| 贸易行业 | 600753 | 东方银星 | 27.8  | 902.5  | -6.2 |  -7.0   |  -7.4   |
| 贸易行业 | 600058 | 五矿发展 | 98.1  |  18.8  | -6.4 |  -8.6   |  -10.8  |
| 贸易行业 | 603071 | 物产环能 | 95.0  |  9.5   | -6.6 |  -8.3   |  -5.0   |
| 贸易行业 | 000151 | 中成股份 | 40.0  | 709.8  | -7.3 |  -7.3   |  -8.6   |
| 贸易行业 | 000829 | 天音控股 | 101.2 |  87.0  | -7.8 |  -9.3   |  -7.2   |
| 贸易行业 | 600149 | 廊坊发展 | 21.2  | -76.8  | -8.8 |  -12.7  |  -7.0   |
+----------+--------+----------+-------+--------+------+---------+---------+
