[行业>市值]
+----------+--------+-------------+-------+---------+-------+---------+---------+
|   行业   |  代码  |    名称     | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+-------+---------+-------+---------+---------+
| 软件开发 | 002230 |  科大讯飞   | 942.3 |  212.6  | -4.7  |  -6.0   |  -1.8   |
| 软件开发 | 688111 |  金山办公   | 782.5 |  78.0   | -2.5  |  -8.0   |  -5.1   |
| 软件开发 | 600588 |  用友网络   | 683.3 |  -43.5  | -3.4  |  -5.2   |  -1.5   |
| 软件开发 | 600570 |  恒生电子   | 600.6 | -363.6  | -2.8  |  -3.8   |  -0.3   |
| 软件开发 | 002410 |   广联达    | 538.1 |  123.7  | -3.8  |  -6.0   |  -4.8   |
| 软件开发 | 601360 |   三六零    | 503.7 |  56.8   | -5.1  |  -5.8   |  -4.3   |
| 软件开发 | 300033 |   同花顺    | 440.8 |  98.5   | -3.7  |  -6.4   |  -4.3   |
| 软件开发 | 301269 |   C华大九   | 432.7 |  540.9  |  4.8  |  143.8  |  143.8  |
| 软件开发 | 688777 |  中控技术   | 395.8 |  165.2  |  0.5  |  -0.2   |   1.6   |
| 软件开发 | 300454 |   深信服    | 387.5 |  -18.7  | -3.1  |  -6.7   |  -0.7   |
| 软件开发 | 688188 |  柏楚电子   | 367.8 |  89.5   | -0.3  |   2.4   |   3.4   |
| 软件开发 | 002268 |   卫士通    | 354.4 | -230.4  | -4.0  |  -5.7   |  -4.6   |
| 软件开发 | 688561 |  奇安信-U   | 331.5 |  -17.2  | -4.0  |  -5.6   |  -3.5   |
| 软件开发 | 002405 |  四维图新   | 325.6 |  690.7  | -4.3  |  -0.4   |   2.4   |
| 软件开发 | 002153 |  石基信息   | 282.4 |  229.9  | -4.2  |  -5.8   |  -4.4   |
| 软件开发 | 301236 |  软通动力   | 208.2 |  54.6   | -7.2  |  -9.5   |  -10.4  |
| 软件开发 | 300803 |   指南针    | 204.5 |  19.2   | -6.9  |  -4.8   |  -3.7   |
| 软件开发 | 002065 |  东华软件   | 193.3 |  40.6   | -3.7  |  -3.5   |  -1.8   |
| 软件开发 | 688083 |  中望软件   | 182.0 | -230.8  | -1.6  |  -6.5   |   3.2   |
| 软件开发 | 688327 | 云从科技-UW | 170.3 |  -36.8  | -5.0  |  -1.7   |   3.8   |
| 软件开发 | 002439 |  启明星辰   | 168.8 |  -43.3  | -4.5  |  -6.4   |  -4.6   |
| 软件开发 | 300253 |  卫宁健康   | 159.8 |  125.8  | -6.2  |  -7.3   |  -5.7   |
| 软件开发 | 688232 |  新点软件   | 137.3 |  -94.5  | -1.5  |  -0.4   |  10.7   |
| 软件开发 | 300773 |   拉卡拉    | 134.0 |  13.2   | -6.1  |  -7.1   |  -4.5   |
| 软件开发 | 603927 |   中科软    | 133.3 |  462.0  | -3.8  |  -4.8   |  -3.6   |
| 软件开发 | 601519 |   大智慧    | 117.5 |  -62.6  | -4.5  |  -4.9   |  -2.4   |
| 软件开发 | 600728 |  佳都科技   | 107.4 |  72.5   | -5.4  |  -6.0   |  -3.0   |
| 软件开发 | 002212 |   天融信    | 104.2 |  -40.2  | -5.2  |  -6.0   |  -3.6   |
| 软件开发 | 688023 |  安恒信息   | 103.1 |  -13.6  | -4.4  |  -4.1   |  -1.8   |
| 软件开发 | 300188 |  美亚柏科   | 102.9 |  -44.5  | -4.2  |  -3.4   |  -1.5   |
| 软件开发 | 002063 |  远光软件   | 102.6 |  346.2  | -5.1  |  -3.0   |   0.2   |
| 软件开发 | 300451 |  创业慧康   | 102.1 |  27.7   | -5.0  |  -6.4   |  -4.3   |
| 软件开发 | 600602 |  云赛智联   | 94.4  |  32.1   | -6.5  |  -6.5   |  -3.5   |
| 软件开发 | 300229 |   拓尔思    | 92.6  |  110.2  | -6.3  |  -2.3   |  -0.8   |
| 软件开发 | 300036 |  超图软件   | 89.2  |  190.6  | -4.2  |  -3.5   |   0.1   |
| 软件开发 | 300525 |  博思软件   | 88.9  |  -51.7  | -3.2  |  -3.9   |  -1.9   |
| 软件开发 | 300768 |  迪普科技   | 86.3  |  105.2  | -3.7  |  -6.5   |  -2.3   |
| 软件开发 | 603039 |   ST泛微    | 86.0  |  142.1  | -4.8  |  -8.8   |  -8.8   |
| 软件开发 | 002261 |  拓维信息   | 82.5  |  51.0   | -3.5  |  -2.8   |  -2.1   |
| 软件开发 | 688318 |  财富趋势   | 80.3  |  44.8   | -4.5  |  -3.9   |  -0.7   |
| 软件开发 | 688225 |  亚信安全   | 79.4  |  -25.4  | -4.9  |  -5.8   |  -2.2   |
| 软件开发 | 000503 |  国新健康   | 79.2  |  -40.1  | -4.1  |  -4.3   |  -2.5   |
| 软件开发 | 300379 |   东方通    | 79.1  |  -42.1  | -6.0  |  -2.8   |  -1.9   |
| 软件开发 | 300369 |  绿盟科技   | 79.0  |  -17.2  | -3.7  |  -3.6   |  -1.1   |
| 软件开发 | 300075 |  数字政通   | 78.5  |  51.7   | -8.0  |  -8.6   |  -5.2   |
| 软件开发 | 300799 |  左江科技   | 73.1  |  -70.0  | -4.2  |  -1.8   |   6.1   |
| 软件开发 | 300098 |   高新兴    | 73.0  |  -22.6  | -6.7  |  12.6   |  14.4   |
| 软件开发 | 300085 |   银之杰    | 70.9  |  -53.0  | -5.3  |  -4.8   |  -2.6   |
| 软件开发 | 300663 |  科蓝软件   | 70.1  |  294.0  | -5.0  |  -4.9   |  -2.4   |
| 软件开发 | 002280 |  联络互动   | 67.9  |  -5.8   | -6.6  |  -9.0   |  -6.6   |
| 软件开发 | 300348 |  长亮科技   | 66.9  | -169.5  | -5.0  |  -5.3   |  -2.3   |
| 软件开发 | 300598 |  诚迈科技   | 66.9  |  -36.4  | -7.8  |  -7.2   |  -8.3   |
| 软件开发 | 300352 |   北信源    | 65.7  |  670.2  | -4.8  |  -4.6   |  -3.4   |
| 软件开发 | 301162 |  国能日新   | 65.7  |  309.4  | -1.2  |  10.0   |  10.2   |
| 软件开发 | 301302 |  华如科技   | 65.4  |  -50.7  | -4.3  |  -4.2   |  -8.1   |
| 软件开发 | 301221 |  光庭信息   | 64.4  | 1124.3  | -3.9  |   2.5   |  19.1   |
| 软件开发 | 300377 |   赢时胜    | 63.1  |  -42.9  | -5.3  |  -5.7   |  -3.2   |
| 软件开发 | 300579 |  数字认证   | 62.5  |  747.2  | -6.7  |  -7.1   |  -5.4   |
| 软件开发 | 301195 |    C北路    | 61.4  |  46.8   |  4.1  |  -1.6   |  -1.6   |
| 软件开发 | 002987 |   京北方    | 59.1  |  60.9   | -6.0  |  -6.2   |  -3.6   |
| 软件开发 | 301117 |  佳缘科技   | 58.7  | -341.0  |  3.8  |   6.7   |  29.8   |
| 软件开发 | 301179 |  泽宇智能   | 58.4  |  52.4   | -4.5  |  -1.9   |   1.9   |
| 软件开发 | 603990 |  麦迪科技   | 57.6  |  153.9  | -4.2  |   4.3   |  22.0   |
| 软件开发 | 300552 |  万集科技   | 57.4  |  465.1  | -6.0  |  -4.7   |   1.8   |
| 软件开发 | 688207 | 格灵深瞳-U  | 56.7  |  -96.8  | -6.4  |  -1.2   |   3.4   |
| 软件开发 | 603206 |  嘉环科技   | 52.6  |  46.0   | -8.0  |  -9.5   |  -7.5   |
| 软件开发 | 300468 |  四方精创   | 52.1  |  142.1  | -7.7  |  -9.1   |  -6.5   |
| 软件开发 | 002298 |  中电兴发   | 52.0  |  19.5   | -6.3  |  -5.1   |  -5.4   |
| 软件开发 | 300520 |  科大国创   | 51.5  |  54.6   |  5.9  |  19.5   |  25.4   |
| 软件开发 | 603859 |  能科科技   | 51.3  |  40.9   | -3.8  |  -1.9   |   1.1   |
| 软件开发 | 300366 |  创意信息   | 50.1  |  37.9   | -5.8  |  -4.8   |  -2.8   |
| 软件开发 | 301153 |  中科江南   | 49.0  | -1063.9 | -7.6  |  -9.2   |  -5.4   |
| 软件开发 | 603508 |  思维列控   | 48.8  |  17.8   | -4.3  |  -5.2   |  -3.5   |
| 软件开发 | 300378 |  鼎捷软件   | 48.0  |  69.7   | -2.8  |   2.0   |   2.9   |
| 软件开发 | 300365 |  恒华科技   | 47.0  |  -64.9  | -3.2  |  -4.0   |  -4.6   |
| 软件开发 | 688095 |  福昕软件   | 46.5  |  233.1  | -4.4  |  -0.8   |   5.9   |
| 软件开发 | 000948 |  南天信息   | 46.3  |  -87.3  | -6.0  |  -5.2   |  -4.5   |
| 软件开发 | 300659 |  中孚信息   | 45.8  |  -8.5   | -5.1  |  -6.7   |  -2.2   |
| 软件开发 | 300386 |  飞天诚信   | 45.1  | -174.5  | -5.8  |  -6.6   |  -5.0   |
| 软件开发 | 002528 |   英飞拓    | 44.2  |  -12.5  | -5.1  |  -1.6   |   2.5   |
| 软件开发 | 688369 |  致远互联   | 43.9  |  -39.3  | -0.4  |   1.3   |   2.8   |
| 软件开发 | 688588 |  凌志软件   | 43.2  |  30.3   | -6.2  |  -5.3   |  -1.3   |
