[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 通信设备 | 000063 | 中兴通讯 | 1099.0 |  12.4  | -3.3 |  -6.6   |  -6.2   |
| 通信设备 | 600522 | 中天科技 | 775.4  |  19.1  | -1.3 |   1.1   |  -4.0   |
| 通信设备 | 300628 | 亿联网络 | 682.0  |  35.0  | 0.5  |  -1.3   |   0.2   |
| 通信设备 | 600487 | 亨通光电 | 369.2  |  26.8  | -2.2 |  -0.3   |  -5.6   |
| 通信设备 | 603236 | 移远通信 | 309.0  |  62.5  | 4.4  |   6.5   |  10.2   |
| 通信设备 | 300308 | 中际旭创 | 259.1  |  29.8  | -1.8 |  -3.1   |  -5.5   |
| 通信设备 | 601869 | 长飞光纤 | 251.6  |  30.9  | -0.2 |  -2.3   |   7.3   |
| 通信设备 | 603712 |  七一二  | 238.9  | 277.9  | -1.6 |  -2.0   |   0.4   |
| 通信设备 | 000547 | 航天发展 | 221.6  |  38.4  | 10.0 |  18.6   |  25.3   |
| 通信设备 | 002465 | 海格通信 | 203.0  |  97.2  | -2.3 |  -2.9   |  -2.5   |
| 通信设备 | 003031 | 中瓷电子 | 202.8  | 142.2  | 0.6  |  -1.8   |   1.3   |
| 通信设备 | 600562 | 国睿科技 | 198.4  |  57.5  | -1.7 |  -2.3   |  -1.8   |
| 通信设备 | 300627 | 华测导航 | 183.2  |  68.6  | -1.0 |   3.5   |   4.9   |
| 通信设备 | 002151 | 北斗星通 | 169.7  |  95.3  | 5.0  |   5.9   |   7.5   |
| 通信设备 | 600498 | 烽火通信 | 168.0  | 126.8  | -3.1 |  -3.5   |  -0.9   |
| 通信设备 | 000032 | 深桑达Ａ  | 161.6  | -31.5  | -4.4 |  -7.3   |  -3.5   |
| 通信设备 | 300638 |  广和通  | 156.9  |  37.5  | -3.4 |  -0.4   |   4.4   |
| 通信设备 | 600435 | 北方导航 | 137.5  |  97.2  | -1.9 |  -2.6   |   0.8   |
| 通信设备 | 300101 | 振芯科技 | 134.4  |  49.7  | 0.3  |   0.5   |  11.2   |
| 通信设备 | 300394 | 天孚通信 | 134.3  |  38.6  | 4.8  |   8.0   |  12.5   |
| 通信设备 | 688100 | 威胜信息 | 131.9  |  34.6  | -2.9 |  -2.6   |   7.6   |
| 通信设备 | 002281 | 光迅科技 | 128.7  |  22.5  | -3.0 |   3.0   |   5.3   |
| 通信设备 | 600776 | 东方通信 | 126.9  | 577.6  | -6.7 |  -5.2   |  -3.5   |
| 通信设备 | 002396 | 星网锐捷 | 126.5  |  26.3  | -4.8 |  -4.8   |  -2.2   |
| 通信设备 | 300502 |  新易盛  | 124.1  |  23.4  | -4.2 |  -3.5   |  -1.2   |
| 通信设备 | 002897 | 意华股份 | 112.4  |  62.6  | -4.9 |   3.6   |  23.1   |
| 通信设备 | 600734 |  ST实达  | 105.4  | -46.4  | -4.9 |  -5.1   |  -9.0   |
| 通信设备 | 688027 | 国盾量子 |  99.2  | -126.4 | 7.6  |  14.3   |  24.8   |
| 通信设备 | 003040 |  楚天龙  |  96.7  |  59.3  | -3.7 |  -8.0   |   3.3   |
| 通信设备 | 002583 |  海能达  |  93.0  | -31.6  | -3.9 |  -3.8   |  -0.8   |
| 通信设备 | 300762 | 上海瀚讯 |  85.7  | -105.4 | -1.7 |  -1.3   |   6.2   |
| 通信设备 | 300065 |  海兰信  |  84.8  | -73.0  | 0.5  |  -2.1   |   1.0   |
| 通信设备 | 600775 | 南京熊猫 |  82.5  | -121.7 | -4.5 |  -2.7   |   1.4   |
| 通信设备 | 688668 | 鼎通科技 |  80.4  |  45.9  | -2.4 |   2.1   |   6.5   |
| 通信设备 | 002413 | 雷科防务 |  77.5  |  74.3  | -0.5 |  -0.2   |   4.7   |
| 通信设备 | 688311 | 盟升电子 |  73.6  | -148.0 | -1.6 |  -4.1   |  10.2   |
| 通信设备 | 002446 | 盛路通信 |  71.7  |  28.9  | -3.3 |  -4.6   |  -1.1   |
| 通信设备 | 002194 | 武汉凡谷 |  69.0  |  16.0  | -5.2 |  -5.4   |  -3.7   |
| 通信设备 | 300397 | 天和防务 |  67.3  | -233.8 | 20.0 |  18.9   |  25.0   |
| 通信设备 | 300620 | 光库科技 |  65.5  |  71.3  | 9.5  |  12.4   |  18.5   |
| 通信设备 | 600990 | 四创电子 |  65.2  | -20.7  | -2.3 |  -4.0   |   1.1   |
| 通信设备 | 300134 | 大富科技 |  62.2  | -54.1  | -3.8 |  -2.1   |   1.8   |
| 通信设备 | 300590 | 移为通信 |  61.5  |  36.2  | -4.3 |  -3.8   |  -0.8   |
| 通信设备 | 002491 | 通鼎互联 |  60.5  |  24.7  | -4.5 |  -3.8   |  -2.0   |
| 通信设备 | 300565 | 科信技术 |  59.9  | -118.2 | 12.9 |  11.5   |  31.0   |
| 通信设备 | 603118 | 共进股份 |  58.7  |  29.2  | -2.2 |  -1.5   |   0.9   |
| 通信设备 | 002935 | 天奥电子 |  57.7  | -119.1 | -4.5 |  -6.7   |  -2.5   |
| 通信设备 | 000851 | 高鸿股份 |  57.7  | 700.2  | -5.3 |  -3.9   |  -1.6   |
| 通信设备 | 002104 | 恒宝股份 |  56.4  | -279.4 | -7.5 |  -11.3  |  -7.8   |
| 通信设备 | 300629 |  新劲刚  |  56.3  |  40.9  | 1.7  |  36.0   |  45.6   |
| 通信设备 | 002017 | 东信和平 |  55.7  | 165.0  | -5.2 |  -4.0   |  -1.3   |
