[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 通用设备 | 000039 | 中集集团 | 453.3 |   6.6   | -4.0  |  -5.4   |  -4.5   |
| 通用设备 | 688017 | 绿的谐波 | 325.1 |  222.7  | -2.1  |  -0.1   |  15.3   |
| 通用设备 | 301029 |  怡合达  | 312.8 |  77.4   |  1.5  |   4.4   |  -3.3   |
| 通用设备 | 600481 | 双良节能 | 276.1 |  57.1   | -4.7  |  -2.4   |   2.5   |
| 通用设备 | 002444 | 巨星科技 | 268.3 |  36.7   | 10.0  |  22.4   |  30.8   |
| 通用设备 | 002747 |  埃斯顿  | 241.7 |  100.6  | -5.7  |   3.1   |   6.3   |
| 通用设备 | 601369 | 陕鼓动力 | 225.7 |  20.2   | -2.3  |   2.7   |   1.7   |
| 通用设备 | 301268 |  铭利达  | 207.0 |  91.5   | -4.3  |  -8.2   |  -3.5   |
| 通用设备 | 300024 |  机器人  | 167.9 |  -71.9  | -5.0  |   0.7   |   7.9   |
| 通用设备 | 688333 |  铂力特  | 167.5 | -129.2  | -0.5  |   0.3   |  -0.6   |
| 通用设备 | 603915 | 国茂股份 | 156.8 |  60.6   | -1.7  |  11.3   |  29.1   |
| 通用设备 | 300257 | 开山股份 | 150.9 |  35.9   | -1.6  |  -0.3   |   1.9   |
| 通用设备 | 300260 | 新莱应材 | 146.8 |  46.0   |  6.7  |   8.1   |  10.8   |
| 通用设备 | 605123 | 派克新材 | 138.8 |  30.3   | -3.7  |  -1.0   |  -4.9   |
| 通用设备 | 603985 | 恒润股份 | 136.6 |  270.2  | -5.4  |  -3.5   |  -3.0   |
| 通用设备 | 300080 | 易成新能 | 128.8 |  119.1  | -6.3  |  -5.4   |   0.7   |
| 通用设备 | 002158 | 汉钟精机 | 128.7 |  26.2   |  0.3  |   0.5   |  -2.4   |
| 通用设备 | 000837 | 秦川机床 | 126.9 |  52.8   | 10.0  |  33.1   |  62.6   |
| 通用设备 | 300953 | 震裕科技 | 122.8 |  54.7   | -3.5  |  -2.6   |  -3.7   |
