[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 造纸印刷 | 002078 | 太阳纸业 | 307.4 |  11.4   | -0.5  |  -3.8   |  -3.9   |
| 造纸印刷 | 002831 | 裕同科技 | 250.3 |  28.4   | -2.9  |  -3.5   |   2.2   |
| 造纸印刷 | 603733 | 仙鹤股份 | 185.7 |  31.8   | -3.5  |  -4.2   |  -5.2   |
| 造纸印刷 | 000488 | 晨鸣纸业 | 155.5 |  34.1   | -3.7  |  -6.0   |  -5.1   |
| 造纸印刷 | 600567 | 山鹰国际 | 123.7 |  15.5   | -2.9  |  -3.6   |  -2.2   |
| 造纸印刷 | 600966 | 博汇纸业 | 95.6  |  13.2   | -3.8  |  -5.5   |  -3.1   |
| 造纸印刷 | 600963 | 岳阳林纸 | 95.1  |  19.1   | -6.7  |  -10.2  |  -9.1   |
| 造纸印刷 | 600433 | 冠豪高新 | 69.9  |  45.7   | -6.9  |  -7.8   |  -6.7   |
| 造纸印刷 | 605007 | 五洲特纸 | 68.8  |  16.7   | -5.3  |  -8.5   |  -8.5   |
| 造纸印刷 | 603429 | 集友股份 | 68.0  |  47.1   | -5.8  |  -5.4   |  -6.7   |
| 造纸印刷 | 600308 | 华泰股份 | 65.0  |   8.5   | -3.0  |  -4.5   |  -3.6   |
| 造纸印刷 | 000815 |  美利云  | 62.1  | -1130.8 | -9.7  |  -13.0  |  -10.8  |
| 造纸印刷 | 605377 | 华旺科技 | 59.9  |  13.3   | -2.2  |  -4.6   |  -3.7   |
| 造纸印刷 | 600103 | 青山纸业 | 56.5  |  21.9   | -3.5  |  -5.4   |  -3.5   |
| 造纸印刷 | 002067 | 景兴纸业 | 43.2  |  13.9   | -4.2  |  -2.2   |  -0.8   |
| 造纸印刷 | 002117 | 东港股份 | 37.5  |  20.7   | -5.5  |  -7.5   |  -6.7   |
| 造纸印刷 | 603165 | 荣晟环保 | 37.5  |  11.7   | -4.9  |  -7.4   |  -3.6   |
| 造纸印刷 | 002229 | 鸿博股份 | 35.5  |  -69.5  | -10.0 |   3.6   |   3.2   |
| 造纸印刷 | 603058 | 永吉股份 | 30.5  |  -31.5  | -6.3  |  -8.8   |  -10.2  |
| 造纸印刷 | 605500 | 森林包装 | 29.6  |  21.1   | -4.5  |  -5.5   |  -5.0   |
| 造纸印刷 | 002012 | 凯恩股份 | 25.8  |  45.6   | -6.1  |  -6.0   |  -5.0   |
| 造纸印刷 | 002521 | 齐峰新材 | 25.4  |  30.9   | -4.8  |  -5.7   |  -3.4   |
| 造纸印刷 | 603607 | 京华激光 | 25.2  |  18.5   | -4.0  |  -5.9   |  -0.3   |
| 造纸印刷 | 300883 |  龙利得  | 22.8  |  51.3   | -6.2  |  -7.7   |  -6.1   |
| 造纸印刷 | 600793 | 宜宾纸业 | 21.0  |  123.5  | -5.6  |  -7.6   |  -4.0   |
| 造纸印刷 | 600356 | 恒丰纸业 | 20.4  |  22.5   | -3.8  |  -3.8   |  -2.4   |
