[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 酿酒行业 | 000858 |  五粮液  | 6818.0 |  15.8  | -1.6 |  -6.1   |  -6.6   |
| 酿酒行业 | 600809 | 山西汾酒 | 3251.0 |  21.9  | -1.9 |  -6.9   |  -9.0   |
| 酿酒行业 | 000568 | 泸州老窖 | 3226.0 |  28.1  | -2.1 |  -4.3   |  -6.2   |
| 酿酒行业 | 002304 | 洋河股份 | 2500.0 |  12.5  | -1.9 |  -3.0   |  -3.0   |
| 酿酒行业 | 600600 | 青岛啤酒 | 1450.0 |  32.2  | -1.6 |   5.8   |   6.1   |
| 酿酒行业 | 000596 | 古井贡酒 | 1322.0 |  34.4  | 6.5  |   8.3   |   6.7   |
| 酿酒行业 | 600132 | 重庆啤酒 | 609.1  |  44.7  | -1.7 |  -0.2   |  -1.1   |
| 酿酒行业 | 603369 |  今世缘  | 584.6  |  14.6  | -0.3 |   4.1   |   6.5   |
| 酿酒行业 | 600702 | 舍得酒业 | 538.9  |  25.4  | -2.0 |  -7.5   |  -10.3  |
| 酿酒行业 | 000799 |  酒鬼酒  | 471.8  |  22.6  | -2.8 |  -6.0   |  -7.2   |
| 酿酒行业 | 603198 | 迎驾贡酒 | 432.0  |  19.6  | -2.9 |  -3.7   |  -5.0   |
| 酿酒行业 | 600779 |  水井坊  | 339.0  |  45.9  | -3.4 |  -6.4   |  -10.9  |
| 酿酒行业 | 603589 |  口子窖  | 296.8  |  15.3  | -3.3 |  -4.4   |  -4.7   |
| 酿酒行业 | 002568 | 百润股份 | 272.9  |  74.4  | -4.2 |  -6.4   |  -7.8   |
| 酿酒行业 | 600559 | 老白干酒 | 237.3  |  22.3  | -2.5 |  -4.1   |  -5.0   |
| 酿酒行业 | 000729 | 燕京啤酒 | 233.1  | 6745.1 | -3.7 |  -2.5   |  -5.0   |
| 酿酒行业 | 000869 |  张裕Ａ   | 181.4  |  15.6  | -3.2 |  -4.5   |  -6.9   |
| 酿酒行业 | 002461 | 珠江啤酒 | 167.5  |  59.0  | -4.1 |  -3.4   |  -4.2   |
| 酿酒行业 | 000860 | 顺鑫农业 | 165.3  |  39.6  | -4.5 |  -7.8   |  -6.9   |
