[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 钢铁行业 | 600019 | 宝钢股份 | 1218.0 |  8.2  | -2.0 |  -3.4   |   0.0   |
| 钢铁行业 | 000708 | 中信特钢 | 996.8  | 12.8  | -1.0 |  -2.1   |  -1.6   |
| 钢铁行业 | 600010 | 包钢股份 | 957.3  | 72.3  | -4.1 |  -4.1   |  -1.9   |
| 钢铁行业 | 000629 | 攀钢钒钛 | 573.0  | 30.5  | -8.4 |  -6.7   |  -5.7   |
| 钢铁行业 | 002756 | 永兴材料 | 569.9  | 17.6  | -3.6 |  -3.4   |  -4.4   |
| 钢铁行业 | 600295 | 鄂尔多斯 | 346.2  |  6.5  | -6.1 |  -6.0   |  -1.9   |
| 钢铁行业 | 600399 | 抚顺特钢 | 344.9  | 101.0 | -1.5 |  -3.9   |  -5.2   |
| 钢铁行业 | 000959 | 首钢股份 | 323.0  |  7.7  | -2.6 |  -3.3   |  -2.1   |
| 钢铁行业 | 000932 | 华菱钢铁 | 307.4  |  3.6  | -2.6 |  -2.4   |  -1.6   |
| 钢铁行业 | 000709 | 河钢股份 | 281.4  | 22.6  | -4.7 |  -5.4   |  -7.3   |
| 钢铁行业 | 000825 | 太钢不锈 | 272.3  |  5.3  | -3.3 |  -4.0   |  -3.5   |
| 钢铁行业 | 000898 | 鞍钢股份 | 271.7  |  4.6  | -3.0 |  -4.3   |  -3.0   |
| 钢铁行业 | 600808 | 马钢股份 | 234.0  |  4.7  | -3.2 |  -4.1   |  -4.8   |
| 钢铁行业 | 600282 | 南钢股份 | 181.8  |  6.3  | -3.0 |  -3.0   |  -2.3   |
| 钢铁行业 | 600022 | 山东钢铁 | 175.1  |  7.4  | -3.0 |  -3.6   |  -3.6   |
| 钢铁行业 | 002978 | 安宁股份 | 173.4  | 12.2  | -4.3 |  -4.5   |  -7.9   |
| 钢铁行业 | 002318 | 久立特材 | 172.4  | 22.2  | -0.9 |   3.7   |   6.7   |
| 钢铁行业 | 000778 | 新兴铸管 | 165.6  |  7.3  | -4.2 |  -7.2   |  -7.4   |
| 钢铁行业 | 001203 | 大中矿业 | 161.7  |  9.1  | -4.9 |  -5.9   |  -4.3   |
| 钢铁行业 | 601969 | 海南矿业 | 158.7  | 20.5  | -4.7 |  -7.0   |  -3.2   |
| 钢铁行业 | 600126 | 杭钢股份 | 155.7  | 10.0  | -3.8 |  -5.3   |  -3.1   |
| 钢铁行业 | 600507 | 方大特钢 | 154.8  |  7.2  | -0.9 |  -1.2   |   0.0   |
| 钢铁行业 | 601005 | 重庆钢铁 | 153.4  |  8.7  | -3.4 |  -4.4   |  -4.4   |
| 钢铁行业 | 000761 | 本钢板材 | 143.8  |  8.3  | -1.7 |   0.9   |   2.9   |
| 钢铁行业 | 600782 | 新钢股份 | 141.3  |  3.4  | -2.4 |  -2.0   |  -0.2   |
| 钢铁行业 | 002110 | 三钢闽光 | 135.3  |  6.4  | -1.4 |   0.0   |   1.3   |
| 钢铁行业 | 002545 | 东方铁塔 | 120.5  | 15.0  | -4.7 |  -6.7   |  -4.5   |
| 钢铁行业 | 603995 | 甬金股份 | 120.0  | 22.9  | -1.9 |  -3.7   |  -6.9   |
| 钢铁行业 | 600307 | 酒钢宏兴 | 110.9  | 254.0 | -3.3 |  -4.3   |  -2.8   |
| 钢铁行业 | 601686 | 友发集团 | 102.3  | 19.6  | -3.1 |  -3.4   |  -0.7   |
| 钢铁行业 | 601003 | 柳钢股份 |  95.3  | -4.7  | -2.9 |  -1.6   |  -1.3   |
| 钢铁行业 | 002075 | 沙钢股份 |  94.0  | 11.9  | -5.5 |  -6.4   |  -6.2   |
| 钢铁行业 | 000717 | 韶钢松山 |  81.2  | 18.8  | -1.8 |  -2.0   |  -0.6   |
| 钢铁行业 | 000923 | 河钢资源 |  79.8  |  7.0  | -3.1 |  -4.8   |  -1.8   |
| 钢铁行业 | 688186 | 广大特材 |  70.8  | 84.8  | -6.5 |  -5.5   |  -6.8   |
| 钢铁行业 | 600581 | 八一钢铁 |  70.1  | -5.2  | -4.0 |  -5.0   |  -1.7   |
| 钢铁行业 | 600231 | 凌钢股份 |  68.5  | 13.5  | -3.2 |  -4.4   |  -3.6   |
| 钢铁行业 | 600569 | 安阳钢铁 |  66.1  | -3.0  | -3.4 |  -3.4   |  -2.1   |
| 钢铁行业 | 002478 | 常宝股份 |  44.4  | 28.5  | -4.1 |  -4.8   |  -3.1   |
| 钢铁行业 | 000655 | 金岭矿业 |  43.6  | 26.7  | -5.0 |  -8.8   |  -5.8   |
| 钢铁行业 | 600117 | 西宁特钢 |  37.5  | -4.7  | -2.7 |  -3.2   |  -1.6   |
| 钢铁行业 | 002443 | 金洲管道 |  36.7  | 19.0  | -5.2 |  -6.6   |  -3.8   |
| 钢铁行业 | 605158 | 华达新材 |  33.3  | 28.3  | -4.0 |  -2.2   |  -1.2   |
| 钢铁行业 | 603878 | 武进不锈 |  26.8  | 20.7  | -4.2 |  -7.3   |  -6.0   |
| 钢铁行业 | 300881 | 盛德鑫泰 |  23.9  | 41.7  | -4.2 |  -5.8   |  -4.0   |
+----------+--------+----------+--------+-------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 钢铁行业 | 002318 | 久立特材 | 172.4  | 22.2  | -0.9 |   3.7   |   6.7   |
| 钢铁行业 | 600507 | 方大特钢 | 154.8  |  7.2  | -0.9 |  -1.2   |   0.0   |
| 钢铁行业 | 000708 | 中信特钢 | 996.8  | 12.8  | -1.0 |  -2.1   |  -1.6   |
| 钢铁行业 | 002110 | 三钢闽光 | 135.3  |  6.4  | -1.4 |   0.0   |   1.3   |
| 钢铁行业 | 600399 | 抚顺特钢 | 344.9  | 101.0 | -1.5 |  -3.9   |  -5.2   |
| 钢铁行业 | 000761 | 本钢板材 | 143.8  |  8.3  | -1.7 |   0.9   |   2.9   |
| 钢铁行业 | 000717 | 韶钢松山 |  81.2  | 18.8  | -1.8 |  -2.0   |  -0.6   |
| 钢铁行业 | 603995 | 甬金股份 | 120.0  | 22.9  | -1.9 |  -3.7   |  -6.9   |
| 钢铁行业 | 600019 | 宝钢股份 | 1218.0 |  8.2  | -2.0 |  -3.4   |   0.0   |
| 钢铁行业 | 600782 | 新钢股份 | 141.3  |  3.4  | -2.4 |  -2.0   |  -0.2   |
| 钢铁行业 | 000959 | 首钢股份 | 323.0  |  7.7  | -2.6 |  -3.3   |  -2.1   |
| 钢铁行业 | 000932 | 华菱钢铁 | 307.4  |  3.6  | -2.6 |  -2.4   |  -1.6   |
| 钢铁行业 | 600117 | 西宁特钢 |  37.5  | -4.7  | -2.7 |  -3.2   |  -1.6   |
| 钢铁行业 | 601003 | 柳钢股份 |  95.3  | -4.7  | -2.9 |  -1.6   |  -1.3   |
| 钢铁行业 | 600282 | 南钢股份 | 181.8  |  6.3  | -3.0 |  -3.0   |  -2.3   |
| 钢铁行业 | 000898 | 鞍钢股份 | 271.7  |  4.6  | -3.0 |  -4.3   |  -3.0   |
| 钢铁行业 | 600022 | 山东钢铁 | 175.1  |  7.4  | -3.0 |  -3.6   |  -3.6   |
| 钢铁行业 | 000923 | 河钢资源 |  79.8  |  7.0  | -3.1 |  -4.8   |  -1.8   |
| 钢铁行业 | 601686 | 友发集团 | 102.3  | 19.6  | -3.1 |  -3.4   |  -0.7   |
| 钢铁行业 | 600808 | 马钢股份 | 234.0  |  4.7  | -3.2 |  -4.1   |  -4.8   |
| 钢铁行业 | 600231 | 凌钢股份 |  68.5  | 13.5  | -3.2 |  -4.4   |  -3.6   |
| 钢铁行业 | 000825 | 太钢不锈 | 272.3  |  5.3  | -3.3 |  -4.0   |  -3.5   |
| 钢铁行业 | 600307 | 酒钢宏兴 | 110.9  | 254.0 | -3.3 |  -4.3   |  -2.8   |
| 钢铁行业 | 600569 | 安阳钢铁 |  66.1  | -3.0  | -3.4 |  -3.4   |  -2.1   |
| 钢铁行业 | 601005 | 重庆钢铁 | 153.4  |  8.7  | -3.4 |  -4.4   |  -4.4   |
| 钢铁行业 | 002756 | 永兴材料 | 569.9  | 17.6  | -3.6 |  -3.4   |  -4.4   |
| 钢铁行业 | 600126 | 杭钢股份 | 155.7  | 10.0  | -3.8 |  -5.3   |  -3.1   |
| 钢铁行业 | 605158 | 华达新材 |  33.3  | 28.3  | -4.0 |  -2.2   |  -1.2   |
| 钢铁行业 | 600581 | 八一钢铁 |  70.1  | -5.2  | -4.0 |  -5.0   |  -1.7   |
| 钢铁行业 | 002478 | 常宝股份 |  44.4  | 28.5  | -4.1 |  -4.8   |  -3.1   |
| 钢铁行业 | 600010 | 包钢股份 | 957.3  | 72.3  | -4.1 |  -4.1   |  -1.9   |
| 钢铁行业 | 603878 | 武进不锈 |  26.8  | 20.7  | -4.2 |  -7.3   |  -6.0   |
| 钢铁行业 | 000778 | 新兴铸管 | 165.6  |  7.3  | -4.2 |  -7.2   |  -7.4   |
| 钢铁行业 | 300881 | 盛德鑫泰 |  23.9  | 41.7  | -4.2 |  -5.8   |  -4.0   |
| 钢铁行业 | 002978 | 安宁股份 | 173.4  | 12.2  | -4.3 |  -4.5   |  -7.9   |
| 钢铁行业 | 601969 | 海南矿业 | 158.7  | 20.5  | -4.7 |  -7.0   |  -3.2   |
| 钢铁行业 | 000709 | 河钢股份 | 281.4  | 22.6  | -4.7 |  -5.4   |  -7.3   |
| 钢铁行业 | 002545 | 东方铁塔 | 120.5  | 15.0  | -4.7 |  -6.7   |  -4.5   |
| 钢铁行业 | 001203 | 大中矿业 | 161.7  |  9.1  | -4.9 |  -5.9   |  -4.3   |
| 钢铁行业 | 000655 | 金岭矿业 |  43.6  | 26.7  | -5.0 |  -8.8   |  -5.8   |
| 钢铁行业 | 002443 | 金洲管道 |  36.7  | 19.0  | -5.2 |  -6.6   |  -3.8   |
| 钢铁行业 | 002075 | 沙钢股份 |  94.0  | 11.9  | -5.5 |  -6.4   |  -6.2   |
| 钢铁行业 | 600295 | 鄂尔多斯 | 346.2  |  6.5  | -6.1 |  -6.0   |  -1.9   |
| 钢铁行业 | 688186 | 广大特材 |  70.8  | 84.8  | -6.5 |  -5.5   |  -6.8   |
| 钢铁行业 | 000629 | 攀钢钒钛 | 573.0  | 30.5  | -8.4 |  -6.7   |  -5.7   |
+----------+--------+----------+--------+-------+------+---------+---------+
