[行业>市值]
+------+--------+----------+--------+------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |  pe  | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+------+------+---------+---------+
| 银行 | 601288 | 农业银行 | 9835.0 | 3.5  | -1.1 |  -1.4   |  -1.8   |
| 银行 | 601988 | 中国银行 | 8891.0 | 3.9  | -0.7 |  -1.6   |  -2.3   |
| 银行 | 600036 | 招商银行 | 8552.0 | 5.9  | -1.8 |  -5.2   |  -5.4   |
| 银行 | 601658 | 邮储银行 | 4231.0 | 4.2  | -1.9 |  -3.6   |  -4.4   |
| 银行 | 601166 | 兴业银行 | 3611.0 | 3.3  | -1.0 |  -2.9   |  -1.2   |
| 银行 | 601328 | 交通银行 | 3394.0 | 3.6  | -0.4 |  -1.5   |  -1.7   |
| 银行 | 000001 | 平安银行 | 2379.0 | 4.6  | -1.3 |  -4.8   |  -4.4   |
| 银行 | 600000 | 浦发银行 | 2096.0 | 2.7  | -1.2 |  -2.6   |  -2.9   |
| 银行 | 601998 | 中信银行 | 2094.0 | 3.0  | -1.1 |  -2.3   |  -3.6   |
| 银行 | 002142 | 宁波银行 | 1916.0 | 8.4  | -2.0 |  -8.6   |  -9.4   |
| 银行 | 600016 | 民生银行 | 1567.0 | 2.9  | -0.8 |  -2.2   |  -0.8   |
| 银行 | 601818 | 光大银行 | 1535.0 | 3.3  | -1.4 |  -2.4   |  -2.4   |
| 银行 | 601009 | 南京银行 | 1064.0 | 5.2  | -0.6 |   0.1   |   1.2   |
| 银行 | 600919 | 江苏银行 | 1035.0 | 3.9  | -2.6 |  -2.5   |  -1.8   |
| 银行 | 601169 | 北京银行 | 871.1  | 3.0  | -1.0 |  -1.7   |  -2.1   |
| 银行 | 601229 | 上海银行 | 829.7  | 3.5  | -1.5 |  -2.8   |  -2.7   |
| 银行 | 600926 | 杭州银行 | 823.7  | 6.2  | -2.6 |  -3.1   |  -0.9   |
| 银行 | 600015 | 华夏银行 | 777.1  | 3.5  | -1.0 |  -2.5   |  -1.9   |
