[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 食品饮料 | 603288 | 海天味业 | 3790.0 |  51.8  | 0.5  |  -4.2   |  -3.6   |
| 食品饮料 | 300999 |  金龙鱼  | 2442.0 | 533.3  | -2.5 |  -3.6   |  -4.5   |
| 食品饮料 | 600887 | 伊利股份 | 2259.0 |  16.1  | -1.5 |  -4.0   |  -3.6   |
| 食品饮料 | 000895 | 双汇发展 | 888.3  |  15.2  | -3.3 |  -3.5   |  -3.1   |
| 食品饮料 | 605499 | 东鹏饮料 | 634.4  |  46.0  | -0.8 |   0.5   |  -2.1   |
| 食品饮料 | 603345 | 安井食品 | 427.1  |  52.2  | -2.3 |  -4.4   |  -4.8   |
| 食品饮料 | 600298 | 安琪酵母 | 391.4  |  31.3  | 0.7  |  -3.0   |  -1.4   |
| 食品饮料 | 603517 | 绝味食品 | 330.0  |  92.6  | 0.5  |  -1.9   |   2.7   |
| 食品饮料 | 600873 | 梅花生物 | 328.0  |  6.4   | -3.8 |  -3.2   |  -2.0   |
| 食品饮料 | 300146 | 汤臣倍健 | 299.4  |  11.3  | -4.8 |  -6.9   |  -8.2   |
| 食品饮料 | 002507 | 涪陵榨菜 | 284.0  |  27.5  | -2.4 |   4.4   |   2.7   |
| 食品饮料 | 600872 | 中炬高新 | 268.7  |  42.4  | -2.7 |  -5.5   |  -5.8   |
| 食品饮料 | 002557 | 洽洽食品 | 253.5  |  30.5  | 1.3  |   2.7   |  -0.8   |
| 食品饮料 | 603156 | 养元饮品 | 245.9  |  11.7  | -3.6 |  -5.6   |  -4.8   |
| 食品饮料 | 002597 | 金禾实业 | 222.9  |  12.6  | -3.0 |  -3.5   |  -5.3   |
| 食品饮料 | 603317 | 天味食品 | 191.8  |  47.8  | -0.1 |  -2.3   |  -5.0   |
| 食品饮料 | 600882 | 妙可蓝多 | 190.5  |  64.8  | -1.1 |  -6.8   |  -10.2  |
| 食品饮料 | 603866 | 桃李面包 | 182.6  |  25.6  | -3.0 |  -4.3   |  -2.4   |
| 食品饮料 | 600597 | 光明乳业 | 166.4  |  25.1  | -2.9 |  -2.9   |  -0.2   |
| 食品饮料 | 600737 | 中粮糖业 | 153.6  |  16.7  | -3.0 |  -2.8   |  -0.7   |
| 食品饮料 | 300741 | 华宝股份 | 147.5  |  17.1  | -3.9 |  -3.4   |  -7.5   |
| 食品饮料 | 603027 | 千禾味业 | 147.2  |  66.6  | -2.9 |  -5.3   |  -6.2   |
| 食品饮料 | 002216 | 三全食品 | 147.1  |  14.1  | -2.2 |  -4.3   |  -4.6   |
| 食品饮料 | 603235 | 天新药业 | 143.6  |  20.1  | -6.7 |  -10.0  |  -12.1  |
| 食品饮料 | 002840 | 华统股份 | 135.9  | -38.6  | -2.4 |   3.8   |   6.5   |
| 食品饮料 | 300973 | 立高食品 | 134.0  |  83.7  | -4.4 |  -9.0   |  -15.1  |
| 食品饮料 | 603043 | 广州酒家 | 128.2  |  61.1  | -3.4 |  -3.4   |  -1.2   |
| 食品饮料 | 002626 |  金达威  | 124.7  |  25.9  | -5.2 |  -7.4   |  -7.9   |
| 食品饮料 | 002847 | 盐津铺子 | 120.2  |  48.9  | 2.8  |   4.7   |   5.5   |
| 食品饮料 | 603170 | 宝立食品 | 114.4  |  68.3  | -4.7 |  -16.2  |  11.5   |
| 食品饮料 | 600305 | 恒顺醋业 | 109.8  |  35.5  | -3.2 |  -5.7   |  -7.1   |
| 食品饮料 | 002726 | 龙大美食 | 103.7  | 110.7  | -3.4 |  -5.6   |  -6.6   |
| 食品饮料 | 002481 | 双塔食品 |  96.5  |  46.8  | -3.6 |  -1.9   |  -4.1   |
| 食品饮料 | 002946 |  新乳业  |  94.2  |  54.2  | -3.8 |  -5.0   |  -3.6   |
| 食品饮料 | 605339 | 南侨食品 |  93.2  |  44.0  | -4.1 |  -4.7   |  -5.0   |
| 食品饮料 | 603719 | 良品铺子 |  92.8  |  24.9  | -3.8 |  -4.9   |  -5.1   |
| 食品饮料 | 000848 | 承德露露 |  86.9  |  9.2   | -3.6 |  -4.7   |  -4.6   |
| 食品饮料 | 301206 | 三元生物 |  83.4  |  33.2  | -6.4 |  -8.5   |  -7.9   |
| 食品饮料 | 300401 | 花园生物 |  83.2  |  13.8  | -5.2 |  -4.2   |  -3.0   |
| 食品饮料 | 300765 |  新诺威  |  80.0  |  18.0  | -5.6 |  -6.2   |  -7.9   |
| 食品饮料 | 300783 | 三只松鼠 |  79.6  |  12.3  | -4.8 |  -9.3   |  -8.8   |
| 食品饮料 | 605198 | 德利股份 |  76.5  |  59.1  | -1.1 |  -4.3   |  -2.8   |
| 食品饮料 | 301116 | 益客食品 |  74.0  | -22.0  | -7.4 |  -7.2   |  -6.3   |
| 食品饮料 | 600429 | 三元股份 |  69.6  |  41.9  | -3.6 |  -4.6   |  -5.2   |
| 食品饮料 | 605388 | 均瑶健康 |  67.1  |  91.8  | -6.9 |  -3.9   |   0.8   |
| 食品饮料 | 600073 | 上海梅林 |  67.0  |  8.3   | -3.1 |  -4.7   |  -4.7   |
| 食品饮料 | 605338 | 巴比食品 |  66.9  | 1151.4 | -1.9 |  -3.7   |  -4.0   |
| 食品饮料 | 600381 | 青海春天 |  65.8  | -69.8  | -8.3 |  -8.3   |  -10.2  |
| 食品饮料 | 605337 |  李子园  |  65.5  |  40.1  | -5.9 |  -8.6   |  -10.9  |
| 食品饮料 | 605077 | 华康股份 |  57.3  |  28.5  | -0.8 |   5.0   |  13.5   |
| 食品饮料 | 605089 |  味知香  |  55.8  |  39.1  | -4.7 |  -8.1   |  -9.8   |
| 食品饮料 | 002329 | 皇氏集团 |  55.6  |  18.2  | -6.7 |  -3.6   |   2.1   |
| 食品饮料 | 002991 | 甘源食品 |  55.2  |  61.3  | -1.6 |  -3.8   |  -3.5   |
| 食品饮料 | 002695 |  煌上煌  |  54.9  |  37.5  | -3.5 |  -4.5   |  -4.5   |
| 食品饮料 | 605300 | 佳禾食品 |  54.2  |  78.7  | -5.0 |  -7.4   |  -7.7   |
| 食品饮料 | 600300 | 维维股份 |  53.2  |  43.8  | -3.0 |  -4.8   |  -4.2   |
| 食品饮料 | 300829 | 金丹科技 |  52.2  |  30.2  | -6.1 |  -6.1   |  -0.7   |
| 食品饮料 | 300791 | 仙乐健康 |  51.0  |  87.1  | -3.9 |  -3.4   |   0.7   |
| 食品饮料 | 300997 |  欢乐家  |  51.0  |  24.8  | -6.0 |  -7.7   |  -5.8   |
| 食品饮料 | 688089 |  嘉必优  |  49.6  |  53.4  | -0.6 |   2.1   |   3.8   |
| 食品饮料 | 605016 | 百龙创园 |  49.4  |  31.5  | -2.8 |   0.3   |   6.9   |
| 食品饮料 | 002570 |  贝因美  |  49.2  |  61.2  | -3.8 |  -6.2   |  -6.4   |
| 食品饮料 | 603711 |  香飘飘  |  48.5  | -20.3  | -2.6 |  -11.1  |  -5.3   |
| 食品饮料 | 600189 |  泉阳泉  |  48.4  | -102.8 | -4.9 |  -5.8   |   2.7   |
| 食品饮料 | 002852 |  道道全  |  47.4  | -21.9  | 1.2  |   8.3   |  14.9   |
| 食品饮料 | 001318 | 阳光乳业 |  46.5  |  47.4  | -8.6 |  -6.5   |  -8.4   |
| 食品饮料 | 002330 |  得利斯  |  46.5  |  38.0  | -7.4 |  -7.1   |  -6.4   |
| 食品饮料 | 002650 | 加加食品 |  45.6  | 1185.9 | -3.4 |  -4.8   |  -5.7   |
| 食品饮料 | 000639 | 西王食品 |  43.0  | -52.4  | -3.9 |  -4.8   |  -3.9   |
| 食品饮料 | 600186 | 莲花健康 |  42.9  |  73.2  | -5.5 |  -7.7   |  -7.0   |
| 食品饮料 | 600866 | 星湖科技 |  41.8  |  45.7  | -4.9 |  -4.9   |  -5.3   |
| 食品饮料 | 605179 | 一鸣食品 |  41.7  | -26.1  | -5.5 |  -6.4   |  -6.1   |
